Scenario,Mode,UseSteady,UseUnitDwell,UseRamp,TotalCost_USD,StartupShutdownCost_USD,FuelCost_USD,LoadShedding_MWh,WindCurtailment_MWh,WallTime_sec,SubproblemSolveTime_sec,JuliaAllocated_MB,AvgOverlap_h,MaxOverlap_h,MinOverlap_h,LimitingFactorCounts,CostGap_vs_All_pct,SolveTimeDelta_vs_NoOverlap_sec,CalibrationTime_excluded_sec,ReferenceTime_excluded_sec
ieee118_extreme_ramp,NoOverlap,false,false,false,1.5130848641276369e7,37978.999999625,1.5092092445716545e7,41.0442016817494,6.502611840088351,15.3284987,14.956000089645386,9525.53600692749,0.0,0,0,none=7,3.6549,0.0,159.7641363,22.521620700000003
ieee118_extreme_ramp,SteadyOnly,true,false,false,1.456513564587926e7,36429.999999924614,1.4527928450319136e7,40.53016760905247,3.186306938208741,22.7930245,22.781999588012695,12926.464354515076,4.0,7,0,steady=7,-0.2205,7.826,159.7641363,22.521620700000003
ieee118_extreme_ramp,UnitOnly,false,true,false,1.4613636306223227e7,34568.0,1.4578291110663027e7,40.67608361613534,5.307437286282105,16.8967929,16.887999773025513,12539.054759025574,3.5714285714285716,7,0,none=1; unit_dwell=6,0.1117,1.932,159.7641363,22.521620700000003
ieee118_extreme_ramp,RampOnly,false,false,true,1.4613970990104625e7,35780.0,1.4577413794544427e7,40.64644854754092,3.9792838198831553,16.3244781,16.317000150680542,12395.43951511383,3.4285714285714284,6,0,none=1; ramp=6,0.114,1.361,159.7641363,22.521620700000003
ieee118_extreme_ramp,Steady+Unit,true,true,false,1.460610794137845e7,35388.0,1.4569942745818252e7,40.5634660355487,2.30110913953797,21.8035497,21.795999765396118,14016.983477592468,5.142857142857143,8,0,steady=5; unit_dwell=2,0.0602,6.84,159.7641363,22.521620700000003
ieee118_extreme_ramp,Steady+Ramp,true,false,true,1.4557878753982654e7,35060.0,1.4522041558422457e7,40.563466035548714,2.5966735800334497,21.6692293,21.66200017929077,13333.980408668518,4.428571428571429,7,0,ramp=1; steady=4; steady+ramp=2,-0.2702,6.706,159.7641363,22.521620700000003
ieee118_extreme_ramp,Unit+Ramp,false,true,true,1.5208243189286157e7,36801.0,1.5170664993725957e7,40.53016760905236,7.898912026679846,19.7219995,19.712000370025635,13060.587223052979,4.142857142857143,7,0,ramp=3; unit_dwell=3; unit_dwell+ramp=1,4.1851,4.756,159.7641363,22.521620700000003
ieee118_extreme_ramp,Steady+Unit+Ramp,true,true,true,1.4597325142635396e7,34618.0,1.4561929947075197e7,40.5634660355487,2.30110913953797,23.7249484,23.717000007629395,13870.341353416443,5.0,7,0,ramp=1; steady=4; steady+ramp=1; unit_dwell=1,0.0,8.761,159.7641363,22.521620700000003
ieee118_normal,NoOverlap,false,false,false,1.4035802804681724e7,28370.0,1.4006656566735398e7,6.455805895020628,1.5046266954093928,21.8930647,21.283999919891357,9525.513699531555,0.0,0,0,none=7,0.3045,0.0,236.7951648,46.419164900000006
ieee118_normal,SteadyOnly,true,false,false,1.399618137543793e7,29156.0,1.39662491374916e7,6.455805895020626,0.5698734958479595,33.2780085,33.24500012397766,13453.170901298523,4.571428571428571,7,0,steady=7,0.0214,11.961,236.7951648,46.419164900000006
ieee118_normal,UnitOnly,false,true,false,1.403453759675205e7,29580.0,1.4004181358805725e7,6.45580589502061,1.6398712435723355,26.2570129,26.22100043296814,13337.886695861816,4.428571428571429,7,0,none=1; unit_dwell=6,0.2955,4.937,236.7951648,46.419164900000006
ieee118_normal,RampOnly,false,false,true,1.4116742095504593e7,28158.0,1.4087807857558275e7,6.455805895020617,0.0,18.7085529,18.699000358581543,11728.828570365906,2.7142857142857144,4,0,none=1; ramp=6,0.883,-2.585,236.7951648,46.419164900000006
ieee118_normal,Steady+Unit,true,true,false,1.3993187423299007e7,28616.0,1.3963795185352683e7,6.547490796895422,0.4109960636597888,18.5210512,18.51300024986267,14271.87542629242,5.428571428571429,7,0,steady=4; steady+unit_dwell=1; unit_dwell=2,0.0,-2.771,236.7951648,46.419164900000006
ieee118_normal,Steady+Ramp,true,false,true,1.399618137543793e7,29156.0,1.39662491374916e7,6.455805895020626,0.5698734958479595,19.9122682,19.90499973297119,13453.150027275085,4.571428571428571,7,0,steady=7,0.0214,-1.379,236.7951648,46.419164900000006
ieee118_normal,Unit+Ramp,false,true,true,1.4008181954306988e7,26360.0,1.3981045716360662e7,6.455805895020642,1.8398712435723386,19.5034681,19.49500012397766,13597.065561294556,4.714285714285714,7,0,ramp=1; unit_dwell=6,0.1072,-1.789,236.7951648,46.419164900000006
ieee118_normal,Steady+Unit+Ramp,true,true,true,1.3993187423299007e7,28616.0,1.3963795185352683e7,6.547490796895422,0.4109960636597888,18.0989401,18.090999841690063,14271.87509059906,5.428571428571429,7,0,steady=4; steady+unit_dwell=1; unit_dwell=2,0.0,-3.193,236.7951648,46.419164900000006
