Mode,Interval_ID,Start_Hour,T_steady,T_unit,T_ramp,Ramp_Event_Detected,Raw_Selected_Overlap_h,Final_Overlap_h,Limiting_Factor,Total_Solved_Horizon_h,Subproblem_SolveTime_sec
NoOverlap,1,1,4,0,6,true,0,0,none,24,3.2079999446868896
NoOverlap,2,25,5,7,3,true,0,0,none,24,1.7420001029968262
NoOverlap,3,49,8,3,3,true,0,0,none,24,2.421999931335449
NoOverlap,4,73,3,3,3,true,0,0,none,24,1.500999927520752
NoOverlap,5,97,8,0,6,true,0,0,none,24,2.305999994277954
NoOverlap,6,121,4,7,3,true,0,0,none,24,1.9630000591278076
NoOverlap,7,145,8,4,0,false,0,0,none,24,1.814000129699707
SteadyOnly,1,1,4,0,6,true,4,4,steady,28,3.929999828338623
SteadyOnly,2,25,5,7,3,true,5,5,steady,29,4.135999917984009
SteadyOnly,3,49,7,4,3,true,7,7,steady,31,2.9739999771118164
SteadyOnly,4,73,3,2,3,true,3,3,steady,27,3.3600001335144043
SteadyOnly,5,97,6,4,6,true,6,6,steady,30,4.7829999923706055
SteadyOnly,6,121,3,3,3,true,3,3,steady,27,1.303999900817871
SteadyOnly,7,145,9,4,0,false,9,0,steady,24,2.294999837875366
UnitOnly,1,1,4,0,6,true,0,2,none,26,1.446000099182129
UnitOnly,2,25,6,6,3,true,6,6,unit_dwell,30,4.236000061035156
UnitOnly,3,49,8,4,3,true,4,4,unit_dwell,28,3.2170000076293945
UnitOnly,4,73,3,2,3,true,2,2,unit_dwell,26,1.6509997844696045
UnitOnly,5,97,7,4,6,true,4,4,unit_dwell,28,3.015000104904175
UnitOnly,6,121,3,7,3,true,7,7,unit_dwell,31,1.4689998626708984
UnitOnly,7,145,8,4,0,false,4,0,unit_dwell,24,1.8539998531341553
RampOnly,1,1,4,0,6,true,6,6,ramp,30,2.445000171661377
RampOnly,2,25,5,3,3,true,3,3,ramp,27,1.7039999961853027
RampOnly,3,49,8,4,3,true,3,3,ramp,27,2.506999969482422
RampOnly,4,73,3,2,3,true,3,3,ramp,27,2.2049999237060547
RampOnly,5,97,8,0,6,true,6,6,ramp,30,3.4170000553131104
RampOnly,6,121,3,6,3,true,3,3,ramp,27,1.8420000076293945
RampOnly,7,145,9,4,0,false,0,0,none,24,2.197000026702881
Steady+Unit,1,1,4,0,6,true,4,4,steady,28,3.6610000133514404
Steady+Unit,2,25,5,7,3,true,7,7,unit_dwell,31,1.7810001373291016
Steady+Unit,3,49,8,4,3,true,8,8,steady,32,3.263000011444092
Steady+Unit,4,73,3,2,3,true,3,3,steady,27,3.86899995803833
Steady+Unit,5,97,7,4,6,true,7,7,steady,31,5.926999807357788
Steady+Unit,6,121,3,7,3,true,7,7,unit_dwell,31,1.4859998226165771
Steady+Unit,7,145,8,4,0,false,8,0,steady,24,1.809000015258789
Steady+Ramp,1,1,4,0,6,true,6,6,ramp,30,2.5950000286102295
Steady+Ramp,2,25,5,3,3,true,5,5,steady,29,2.7100000381469727
Steady+Ramp,3,49,7,4,3,true,7,7,steady,31,2.8919999599456787
Steady+Ramp,4,73,3,0,3,true,3,3,steady+ramp,27,3.946000099182129
Steady+Ramp,5,97,7,4,6,true,7,7,steady,31,5.992000102996826
Steady+Ramp,6,121,3,7,3,true,3,3,steady+ramp,27,1.2709999084472656
Steady+Ramp,7,145,9,4,0,false,9,0,steady,24,2.25600004196167
Unit+Ramp,1,1,4,0,6,true,6,6,ramp,30,2.502000093460083
Unit+Ramp,2,25,5,3,3,true,3,3,unit_dwell+ramp,27,1.7100000381469727
Unit+Ramp,3,49,8,4,3,true,4,4,unit_dwell,28,3.1579999923706055
Unit+Ramp,4,73,3,2,3,true,3,3,ramp,27,1.9210000038146973
Unit+Ramp,5,97,7,4,6,true,6,6,ramp,30,6.961000204086304
Unit+Ramp,6,121,4,7,3,true,7,7,unit_dwell,31,1.5529999732971191
Unit+Ramp,7,145,8,4,0,false,4,0,unit_dwell,24,1.9070000648498535
Steady+Unit+Ramp,1,1,4,0,6,true,6,6,ramp,30,2.572999954223633
Steady+Unit+Ramp,2,25,5,3,3,true,5,5,steady,29,3.1630001068115234
Steady+Unit+Ramp,3,49,7,4,3,true,7,7,steady,31,3.3380000591278076
Steady+Unit+Ramp,4,73,3,0,3,true,3,3,steady+ramp,27,4.2200000286102295
Steady+Unit+Ramp,5,97,7,4,6,true,7,7,steady,31,6.769000053405762
Steady+Unit+Ramp,6,121,3,7,3,true,7,7,unit_dwell,31,1.6499998569488525
Steady+Unit+Ramp,7,145,8,4,0,false,8,0,steady,24,2.003999948501587
