Hour,Load
1.0,3474.1
2.0,2964.15
3.0,2513.62
4.0,1648.47
5.0,1387.45
6.0,2572.55
7.0,2985.78
8.0,3650.01
9.0,5059.31
10.0,4719.53
11.0,6119.09
12.0,5053.38
13.0,4316.15
14.0,4045.46
15.0,4350.93
16.0,4365.58
17.0,4059.98
18.0,4822.72
19.0,4742.18
20.0,3929.21
21.0,4130.25
22.0,4852.39
23.0,4084.06
24.0,4078.82
25.0,4109.27
26.0,3607.15
27.0,3464.65
28.0,2472.76
29.0,2027.55
30.0,3293.16
31.0,3960.83
32.0,4461.61
33.0,4342.57
34.0,4242.24
35.0,5474.35
36.0,5130.49
37.0,4709.92
38.0,4932.96
39.0,5039.37
40.0,5676.06
41.0,5426.45
42.0,6168.38
43.0,6782.73
44.0,7066.88
45.0,6128.48
46.0,6388.51
47.0,5451.37
48.0,5349.16
49.0,2991.33
50.0,2747.74
51.0,2408.02
52.0,1597.46
53.0,1319.41
54.0,2319.53
55.0,2393.59
56.0,2344.3
57.0,3113.74
58.0,2889.79
59.0,3648.37
60.0,3272.65
61.0,3204.84
62.0,3502.31
63.0,3763.2
64.0,3769.84
65.0,3864.46
66.0,3896.74
67.0,4355.45
68.0,4082.38
69.0,4047.06
70.0,4295.35
71.0,3859.74
72.0,3811.57
73.0,4687.46
74.0,3597.72
75.0,3098.95
76.0,1869.3
77.0,1538.12
78.0,2252.81
79.0,2567.54
80.0,3391.5
81.0,4711.35
82.0,5692.57
83.0,7571.54
84.0,7247.01
85.0,6729.57
86.0,6697.37
87.0,6246.48
88.0,5708.31
89.0,6277.33
90.0,7212.78
91.0,6648.93
92.0,6880.96
93.0,6054.49
94.0,6966.55
95.0,6205.37
96.0,5799.16
97.0,3447.01
98.0,3222.94
99.0,2820.79
100.0,1786.57
101.0,1535.72
102.0,2425.32
103.0,3066.34
104.0,3870.07
105.0,4896.86
106.0,4051.46
107.0,3905.33
108.0,3321.91
109.0,2811.75
110.0,2645.55
111.0,2822.4
112.0,3609.39
113.0,4452.47
114.0,4382.66
115.0,4327.28
116.0,4861.82
117.0,4811.81
118.0,4800.75
119.0,4093.98
120.0,4107.18
121.0,4486.64
122.0,3866.67
123.0,3306.55
124.0,1987.61
125.0,1576.88
126.0,2695.23
127.0,3293.3
128.0,4043.71
129.0,4737.42
130.0,4906.1
131.0,6992.73
132.0,7906.44
133.0,7498.49
134.0,7089.74
135.0,7781.36
136.0,8591.78
137.0,6686.44
138.0,6610.42
139.0,6638.96
140.0,7582.52
141.0,7177.98
142.0,7719.2
143.0,6327.23
144.0,6070.64
145.0,2958.68
146.0,2592.67
147.0,2318.21
148.0,1472.59
149.0,1313.11
150.0,2358.61
151.0,2907.61
152.0,3724.73
153.0,4405.75
154.0,3934.31
155.0,3931.59
156.0,3379.75
157.0,2941.33
158.0,2738.32
159.0,3368.58
160.0,4020.46
161.0,3884.47
162.0,3812.93
163.0,4018.52
164.0,4131.61
165.0,3987.42
166.0,4155.15
167.0,3793.82
168.0,3523.01
