Mode,Interval_ID,Start_Hour,T_steady,T_unit,T_ramp,Ramp_Event_Detected,Raw_Selected_Overlap_h,Final_Overlap_h,Limiting_Factor,Total_Solved_Horizon_h,Subproblem_SolveTime_sec
NoOverlap,1,1,4,0,3,true,0,0,none,24,2.2039999961853027
NoOverlap,2,25,6,6,3,true,0,0,none,24,3.2720000743865967
NoOverlap,3,49,7,6,4,true,0,0,none,24,3.444000005722046
NoOverlap,4,73,5,7,3,true,0,0,none,24,3.2619998455047607
NoOverlap,5,97,7,3,3,true,0,0,none,24,3.499000072479248
NoOverlap,6,121,7,7,3,true,0,0,none,24,1.5379998683929443
NoOverlap,7,145,9,4,0,false,0,0,none,24,4.065000057220459
SteadyOnly,1,1,4,0,3,true,4,4,steady,28,4.766000032424927
SteadyOnly,2,25,4,7,3,true,4,4,steady,28,4.128999948501587
SteadyOnly,3,49,7,7,4,true,7,7,steady,31,6.549000024795532
SteadyOnly,4,73,6,6,3,true,6,6,steady,30,5.378000020980835
SteadyOnly,5,97,6,7,3,true,6,6,steady,30,5.558000087738037
SteadyOnly,6,121,5,6,3,true,5,5,steady,29,2.2880001068115234
SteadyOnly,7,145,9,4,0,false,9,0,steady,24,4.57699990272522
UnitOnly,1,1,4,0,3,true,0,2,none,26,4.14300012588501
UnitOnly,2,25,5,7,3,true,7,7,unit_dwell,31,4.2769999504089355
UnitOnly,3,49,7,5,4,true,5,5,unit_dwell,29,5.88700008392334
UnitOnly,4,73,5,7,3,true,7,7,unit_dwell,31,2.995000123977661
UnitOnly,5,97,7,4,3,true,4,4,unit_dwell,28,5.046000003814697
UnitOnly,6,121,5,6,3,true,6,6,unit_dwell,30,1.7660000324249268
UnitOnly,7,145,9,4,0,false,4,0,unit_dwell,24,2.1070001125335693
RampOnly,1,1,4,0,3,true,3,3,ramp,27,2.815000057220459
RampOnly,2,25,5,7,3,true,3,3,ramp,27,2.827000141143799
RampOnly,3,49,7,6,4,true,4,4,ramp,28,4.473999977111816
RampOnly,4,73,6,7,3,true,3,3,ramp,27,2.1070001125335693
RampOnly,5,97,7,7,3,true,3,3,ramp,27,2.4839999675750732
RampOnly,6,121,6,6,3,true,3,3,ramp,27,1.6540000438690186
RampOnly,7,145,9,4,0,false,0,0,none,24,2.3380000591278076
Steady+Unit,1,1,4,0,3,true,4,4,steady,28,3.0989999771118164
Steady+Unit,2,25,4,7,3,true,7,7,unit_dwell,31,2.930999994277954
Steady+Unit,3,49,7,6,4,true,7,7,steady,31,3.4570000171661377
Steady+Unit,4,73,6,7,3,true,7,7,unit_dwell,31,1.4650001525878906
Steady+Unit,5,97,7,4,3,true,7,7,steady,31,3.2660000324249268
Steady+Unit,6,121,6,6,3,true,6,6,steady+unit_dwell,30,1.8350000381469727
Steady+Unit,7,145,9,4,0,false,9,0,steady,24,2.4600000381469727
Steady+Ramp,1,1,4,0,3,true,4,4,steady,28,2.869999885559082
Steady+Ramp,2,25,4,7,3,true,4,4,steady,28,2.421999931335449
Steady+Ramp,3,49,7,7,4,true,7,7,steady,31,4.001999855041504
Steady+Ramp,4,73,6,6,3,true,6,6,steady,30,3.2799999713897705
Steady+Ramp,5,97,6,7,3,true,6,6,steady,30,3.180999994277954
Steady+Ramp,6,121,5,6,3,true,5,5,steady,29,1.3029999732971191
Steady+Ramp,7,145,9,4,0,false,9,0,steady,24,2.8470001220703125
Unit+Ramp,1,1,4,0,3,true,3,3,ramp,27,2.69599986076355
Unit+Ramp,2,25,5,7,3,true,7,7,unit_dwell,31,2.4740002155303955
Unit+Ramp,3,49,7,6,4,true,6,6,unit_dwell,30,5.9079999923706055
Unit+Ramp,4,73,5,7,3,true,7,7,unit_dwell,31,1.4140000343322754
Unit+Ramp,5,97,7,4,3,true,4,4,unit_dwell,28,2.9709999561309814
Unit+Ramp,6,121,5,6,3,true,6,6,unit_dwell,30,2.117000102996826
Unit+Ramp,7,145,9,4,0,false,4,0,unit_dwell,24,1.9149999618530273
Steady+Unit+Ramp,1,1,4,0,3,true,4,4,steady,28,2.8959999084472656
Steady+Unit+Ramp,2,25,4,7,3,true,7,7,unit_dwell,31,2.8339998722076416
Steady+Unit+Ramp,3,49,7,6,4,true,7,7,steady,31,3.4670000076293945
Steady+Unit+Ramp,4,73,6,7,3,true,7,7,unit_dwell,31,1.4070000648498535
Steady+Unit+Ramp,5,97,7,4,3,true,7,7,steady,31,3.197999954223633
Steady+Unit+Ramp,6,121,6,6,3,true,6,6,steady+unit_dwell,30,1.805999994277954
Steady+Unit+Ramp,7,145,9,4,0,false,9,0,steady,24,2.4830000400543213
