Hour,Load
1.0,3552.89
2.0,3179.85
3.0,2684.29
4.0,1718.32
5.0,1420.47
6.0,2348.32
7.0,2978.96
8.0,3707.18
9.0,4475.21
10.0,4637.76
11.0,5369.86
12.0,4897.32
13.0,4387.66
14.0,4101.76
15.0,4437.51
16.0,4799.75
17.0,4599.67
18.0,4913.53
19.0,5097.65
20.0,4961.96
21.0,5163.97
22.0,5292.86
23.0,4643.73
24.0,4447.49
25.0,3615.26
26.0,3370.85
27.0,2874.55
28.0,1810.92
29.0,1508.2
30.0,2341.1
31.0,3211.12
32.0,4281.32
33.0,4872.4
34.0,5173.1
35.0,5718.51
36.0,5536.99
37.0,5147.74
38.0,4846.86
39.0,4727.24
40.0,5116.75
41.0,4949.9
42.0,5057.18
43.0,5689.32
44.0,6304.24
45.0,5845.68
46.0,5565.81
47.0,4979.43
48.0,4749.28
49.0,3149.78
50.0,2992.4
51.0,2611.43
52.0,1685.73
53.0,1377.78
54.0,2161.31
55.0,2860.88
56.0,3446.94
57.0,4056.87
58.0,4270.3
59.0,4699.92
60.0,4534.06
61.0,3957.01
62.0,3682.59
63.0,3961.66
64.0,4246.01
65.0,4389.62
66.0,4222.92
67.0,4743.44
68.0,4999.54
69.0,5132.55
70.0,4910.95
71.0,4491.4
72.0,4221.94
73.0,4053.16
74.0,3398.15
75.0,2963.24
76.0,1826.94
77.0,1510.1
78.0,2160.92
79.0,2749.45
80.0,3459.27
81.0,4239.23
82.0,4291.55
83.0,4016.5
84.0,4052.3
85.0,3861.77
86.0,3716.36
87.0,4107.71
88.0,4791.93
89.0,5259.75
90.0,5566.59
91.0,5579.35
92.0,6194.33
93.0,5876.2
94.0,6006.81
95.0,5605.62
96.0,5136.99
97.0,3609.33
98.0,3429.55
99.0,2954.09
100.0,1850.29
101.0,1549.26
102.0,2290.02
103.0,3092.2
104.0,3778.46
105.0,4349.55
106.0,4469.22
107.0,4598.23
108.0,4667.73
109.0,4256.32
110.0,4015.45
111.0,4326.03
112.0,4768.99
113.0,4957.64
114.0,4756.48
115.0,4975.11
116.0,5848.4
117.0,5904.99
118.0,5470.93
119.0,4783.04
120.0,4548.44
121.0,3922.2
122.0,3592.29
123.0,3141.5
124.0,1937.43
125.0,1552.28
126.0,2465.66
127.0,3259.65
128.0,3996.47
129.0,4403.18
130.0,4789.2
131.0,5026.85
132.0,5011.99
133.0,4837.02
134.0,4394.49
135.0,5055.51
136.0,6384.2
137.0,6304.17
138.0,6724.88
139.0,7138.52
140.0,7446.71
141.0,7446.71
142.0,7446.71
143.0,6579.74
144.0,5766.56
145.0,3108.76
146.0,2817.97
147.0,2475.93
148.0,1544.58
149.0,1347.01
150.0,2170.22
151.0,2893.79
152.0,3597.33
153.0,4055.42
154.0,4463.9
155.0,4763.85
156.0,4506.06
157.0,4114.36
158.0,3844.72
159.0,4107.73
160.0,4495.95
161.0,4435.06
162.0,4181.72
163.0,4533.49
164.0,5000.25
165.0,4968.8
166.0,4687.35
167.0,4309.6
168.0,3892.14
