Mode,Interval_ID,Start_Hour,T_steady,T_unit,T_ramp,Ramp_Event_Detected,Raw_Selected_Overlap_h,Final_Overlap_h,Limiting_Factor,Total_Solved_Horizon_h,Subproblem_SolveTime_sec
NoOverlap,1,1,7,4,8,true,0,0,none,24,0.08600020408630371
NoOverlap,2,25,11,0,4,true,0,0,none,24,0.07999992370605469
NoOverlap,3,49,11,0,3,true,0,0,none,24,0.06000018119812012
NoOverlap,4,73,11,0,4,true,0,0,none,24,0.09999990463256836
NoOverlap,5,97,11,0,10,true,0,0,none,24,0.059999942779541016
NoOverlap,6,121,11,0,3,true,0,0,none,24,0.07400012016296387
NoOverlap,7,145,11,0,0,false,0,0,none,24,0.05299997329711914
SteadyOnly,1,1,7,4,8,true,7,7,steady,31,0.12100005149841309
SteadyOnly,2,25,11,0,4,true,11,11,steady,35,0.12800002098083496
SteadyOnly,3,49,11,0,3,true,11,11,steady,35,0.11699986457824707
SteadyOnly,4,73,11,0,4,true,11,11,steady,35,0.12099981307983398
SteadyOnly,5,97,11,0,10,true,11,11,steady,35,0.13100004196166992
SteadyOnly,6,121,11,0,3,true,11,11,steady,35,0.125
SteadyOnly,7,145,11,2,0,false,11,0,steady,24,0.06800007820129395
UnitOnly,1,1,7,4,8,true,4,4,unit_dwell,28,0.1099998950958252
UnitOnly,2,25,11,0,4,true,0,2,none,26,0.10100007057189941
UnitOnly,3,49,11,0,3,true,0,2,none,26,0.09500002861022949
UnitOnly,4,73,11,0,4,true,0,2,none,26,0.09399986267089844
UnitOnly,5,97,11,0,10,true,0,2,none,26,0.07700014114379883
UnitOnly,6,121,11,0,3,true,0,2,none,26,0.11500000953674316
UnitOnly,7,145,11,0,0,false,0,0,none,24,0.06800007820129395
RampOnly,1,1,7,4,8,true,8,8,ramp,32,0.10700011253356934
RampOnly,2,25,11,0,4,true,4,4,ramp,28,0.10299992561340332
RampOnly,3,49,11,0,3,true,3,3,ramp,27,0.08999991416931152
RampOnly,4,73,11,0,4,true,4,4,ramp,28,0.1100001335144043
RampOnly,5,97,11,0,10,true,10,10,ramp,34,0.11399984359741211
RampOnly,6,121,11,0,3,true,3,3,ramp,27,0.1119999885559082
RampOnly,7,145,11,0,0,false,0,0,none,24,0.0690000057220459
Steady+Unit,1,1,7,4,8,true,7,7,steady,31,0.1420001983642578
Steady+Unit,2,25,11,0,4,true,11,11,steady,35,0.1380000114440918
Steady+Unit,3,49,11,0,3,true,11,11,steady,35,0.12800002098083496
Steady+Unit,4,73,11,0,4,true,11,11,steady,35,0.12600016593933105
Steady+Unit,5,97,11,0,10,true,11,11,steady,35,0.12299990653991699
Steady+Unit,6,121,11,0,3,true,11,11,steady,35,0.11500000953674316
Steady+Unit,7,145,11,2,0,false,11,0,steady,24,0.06999993324279785
Steady+Ramp,1,1,7,4,8,true,8,8,ramp,32,0.11399984359741211
Steady+Ramp,2,25,11,0,4,true,11,11,steady,35,0.13699984550476074
Steady+Ramp,3,49,11,0,3,true,11,11,steady,35,0.14599990844726562
Steady+Ramp,4,73,11,0,4,true,11,11,steady,35,0.12900018692016602
Steady+Ramp,5,97,11,0,10,true,11,11,steady,35,0.12199997901916504
Steady+Ramp,6,121,11,0,3,true,11,11,steady,35,0.1100001335144043
Steady+Ramp,7,145,11,2,0,false,11,0,steady,24,0.06800007820129395
Unit+Ramp,1,1,7,4,8,true,8,8,ramp,32,0.11699986457824707
Unit+Ramp,2,25,11,0,4,true,4,4,ramp,28,0.11099982261657715
Unit+Ramp,3,49,11,0,3,true,3,3,ramp,27,0.09799981117248535
Unit+Ramp,4,73,11,0,4,true,4,4,ramp,28,0.13499999046325684
Unit+Ramp,5,97,11,0,10,true,10,10,ramp,34,0.11899995803833008
Unit+Ramp,6,121,11,0,3,true,3,3,ramp,27,0.10599994659423828
Unit+Ramp,7,145,11,0,0,false,0,0,none,24,0.0690000057220459
Steady+Unit+Ramp,1,1,7,4,8,true,8,8,ramp,32,0.10899996757507324
Steady+Unit+Ramp,2,25,11,0,4,true,11,11,steady,35,0.13300013542175293
Steady+Unit+Ramp,3,49,11,0,3,true,11,11,steady,35,0.1399998664855957
Steady+Unit+Ramp,4,73,11,0,4,true,11,11,steady,35,0.12399983406066895
Steady+Unit+Ramp,5,97,11,0,10,true,11,11,steady,35,0.125
Steady+Unit+Ramp,6,121,11,0,3,true,11,11,steady,35,0.1099998950958252
Steady+Unit+Ramp,7,145,11,2,0,false,11,0,steady,24,0.06399989128112793
