Hour,Load
1.0,256.79
2.0,241.73
3.0,248.57
4.0,254.67
5.0,284.75
6.0,283.55
7.0,279.11
8.0,302.52
9.0,295.67
10.0,316.08
11.0,312.35
12.0,310.39
13.0,307.57
14.0,312.62
15.0,292.27
16.0,300.23
17.0,282.52
18.0,277.15
19.0,262.82
20.0,279.28
21.0,268.81
22.0,266.87
23.0,240.07
24.0,257.24
25.0,243.67
26.0,260.53
27.0,255.85
28.0,258.47
29.0,266.35
30.0,276.94
31.0,272.4
32.0,279.41
33.0,295.52
34.0,314.75
35.0,298.29
36.0,305.08
37.0,315.49
38.0,296.27
39.0,292.42
40.0,269.26
41.0,290.6
42.0,284.44
43.0,268.8
44.0,257.96
45.0,245.67
46.0,243.66
47.0,252.86
48.0,254.04
49.0,243.26
50.0,273.76
51.0,251.39
52.0,276.34
53.0,284.35
54.0,281.28
55.0,269.37
56.0,290.16
57.0,319.39
58.0,298.33
59.0,303.26
60.0,304.05
61.0,304.35
62.0,298.79
63.0,318.13
64.0,284.92
65.0,268.95
66.0,284.08
67.0,264.3
68.0,258.64
69.0,244.93
70.0,247.34
71.0,254.65
72.0,241.95
73.0,253.19
74.0,258.78
75.0,277.77
76.0,256.9
77.0,276.64
78.0,270.11
79.0,271.27
80.0,296.87
81.0,306.13
82.0,294.9
83.0,289.86
84.0,317.41
85.0,298.1
86.0,309.4
87.0,311.76
88.0,292.5
89.0,275.14
90.0,244.59
91.0,279.85
92.0,261.2
93.0,245.76
94.0,251.7
95.0,257.23
96.0,244.37
97.0,243.96
98.0,265.25
99.0,247.19
100.0,273.56
101.0,250.98
102.0,275.46
103.0,309.24
104.0,286.16
105.0,294.1
106.0,292.63
107.0,313.23
108.0,297.03
109.0,296.17
110.0,300.48
111.0,302.61
112.0,318.08
113.0,297.51
114.0,282.31
115.0,277.7
116.0,267.45
117.0,263.46
118.0,247.65
119.0,259.46
120.0,255.05
121.0,257.93
122.0,259.32
123.0,273.39
124.0,271.89
125.0,278.38
126.0,301.16
127.0,285.84
128.0,303.65
129.0,312.83
130.0,316.01
131.0,325.82
132.0,300.47
133.0,317.54
134.0,315.85
135.0,300.37
136.0,309.07
137.0,308.76
138.0,274.21
139.0,261.33
140.0,269.52
141.0,270.29
142.0,250.97
143.0,279.07
144.0,252.78
145.0,232.44
146.0,269.81
147.0,270.97
148.0,291.46
149.0,275.99
150.0,280.49
151.0,298.25
152.0,299.93
153.0,314.89
154.0,309.39
155.0,310.95
156.0,317.69
157.0,312.28
158.0,320.93
159.0,283.33
160.0,309.38
161.0,286.05
162.0,290.04
163.0,276.88
164.0,264.52
165.0,270.02
166.0,257.17
167.0,267.99
168.0,237.17
