scenario,time,load_demand,served_load,thermal_generation,wind_available,wind_used,load_curtailment,wind_curtailment,storage_charge,storage_discharge,balance_error
1,1,2.1919,2.1919,0.9,2.3877530670161002,1.2919,0.0,1.0958530670161002,0.0,0.0,0.0
1,2,2.3535000000000004,2.3535000000000004,0.5,2.244887090045374,1.8535000000000004,0.0,0.39138709004537375,0.0,0.0,0.0
1,3,2.3467000000000002,2.3467000000000002,0.2,2.1727413165690224,2.1467,0.0,0.026041316569022144,0.0,0.0,0.0
1,4,2.3673,2.3673,0.21718252615064992,2.1501174738493503,2.1501174738493503,0.0,0.0,0.0,0.0,0.0
1,5,2.3906,2.3906,0.32121275904203817,2.069387240957962,2.069387240957962,0.0,0.0,0.0,0.0,0.0
1,6,2.4448,2.4448,0.636414365102375,1.8083856348976248,1.8083856348976248,0.0,0.0,0.0,0.0,0.0
1,7,2.7338999999999993,2.7338999999999993,0.631473045564495,2.1024269544355043,2.1024269544355043,0.0,0.0,0.0,0.0,0.0
1,8,2.904,2.904,0.9005734984592046,2.0034265015407953,2.0034265015407953,0.0,0.0,0.0,0.0,0.0
1,9,2.8355999999999995,2.8355999999999995,0.5200333847547647,2.3155666152452348,2.3155666152452348,0.0,0.0,0.0,0.0,0.0
1,10,2.8120000000000003,2.8120000000000003,0.6358496442255063,2.397426037795295,2.176150355774494,0.0,0.22127568202080117,0.0,0.0,0.0
1,11,3.2861000000000007,3.2861000000000007,1.102516310892173,2.1835836891078277,2.1835836891078277,0.0,0.0,0.0,0.0,0.0
1,12,3.2810000000000006,3.2810000001296737,1.1512319573526772,2.1297680427769965,2.1297680427769965,-1.296731541665796e-10,0.0,0.0,0.0,0.0
1,13,3.2618,3.2618,1.082529113761503,2.179270886238497,2.179270886238497,0.0,0.0,0.0,0.0,0.0
1,14,3.2360000000000007,3.2360000000000007,1.0415166880635987,2.194483311936402,2.194483311936402,0.0,0.0,0.0,0.0,0.0
1,15,3.2686,3.2686,0.8901376594288535,2.3784623405711467,2.3784623405711467,0.0,0.0,0.0,0.0,0.0
1,16,2.8779000000000003,2.8779000000000003,0.6146918180131924,2.263208181986808,2.263208181986808,0.0,0.0,0.0,0.0,0.0
1,17,2.6,2.6,0.3960997976615106,2.2039002023384895,2.2039002023384895,0.0,0.0,0.0,0.0,0.0
1,18,2.4674000000000005,2.4674000000000005,0.3611176474856461,2.1062823525143544,2.1062823525143544,0.0,0.0,0.0,0.0,0.0
1,19,2.5596999999999994,2.5596999999999994,0.3939201790475284,2.165779820952471,2.165779820952471,0.0,0.0,0.0,0.0,0.0
1,20,2.3735,2.3735,0.239660869388298,2.133839130611702,2.133839130611702,0.0,0.0,0.0,0.0,0.0
1,21,2.4331000000000005,2.4331000000000005,0.2809074897920286,2.386700907245931,2.1521925102079718,0.0,0.23450839703795925,0.0,0.0,0.0
1,22,2.8314000000000004,2.8314000000000004,0.6809074897920286,2.1504925102079717,2.1504925102079717,0.0,0.0,0.0,0.0,0.0
1,23,2.8305000000000002,2.8305000000000002,0.5597947389489155,2.2707052610510847,2.2707052610510847,0.0,0.0,0.0,0.0,0.0
1,24,2.4875,2.4875,0.39964815521235453,2.0878518447876453,2.0878518447876453,0.0,0.0,0.0,0.0,0.0
2,1,2.1919,2.1919,0.9,2.1958407256854526,1.2919,0.0,0.9039407256854527,0.0,0.0,0.0
2,2,2.3535000000000004,2.3535000000000004,0.2,2.252223544227413,2.1535,0.0,0.09872354422741286,0.0,0.0,0.0
2,3,2.3467000000000002,2.3467000000000002,0.2972360980942099,2.0494639019057903,2.0494639019057903,0.0,0.0,0.0,0.0,0.0
2,4,2.3673,2.3673,0.2235033892526408,2.1437966107473594,2.1437966107473594,0.0,0.0,0.0,0.0,0.0
2,5,2.3906,2.3906,0.23861357197407385,2.151986428025926,2.151986428025926,0.0,0.0,0.0,0.0,0.0
2,6,2.4448,2.4448,0.592568999224345,1.8522310007756548,1.8522310007756548,0.0,0.0,0.0,0.0,0.0
2,7,2.7338999999999993,2.7338999999999993,0.6288074944088016,2.1050925055911978,2.1050925055911978,0.0,0.0,0.0,0.0,0.0
2,8,2.904,2.904,0.8999999999999999,2.1951576011719425,2.004,0.0,0.19115760117194247,0.0,0.0,0.0
2,9,2.8355999999999995,2.8355999999999995,0.5666666666666667,2.3190939256322163,2.268933333333333,0.0,0.05016059229888348,0.0,0.0,0.0
2,10,2.8120000000000003,2.8120000000000003,0.751127033306534,2.254010637079339,2.0608729666934664,0.0,0.19313767038587282,0.0,0.0,0.0
2,11,3.2861000000000007,3.2861000001244154,1.1844603666398674,2.101639633484548,2.101639633484548,-1.2441463439737882e-10,0.0,0.0,0.0,0.0
2,12,3.2810000000000006,3.2810000000000006,1.0337951841034498,2.2472048158965507,2.2472048158965507,0.0,0.0,0.0,0.0,0.0
2,13,3.2618,3.2618,1.059170734437271,2.202629265562729,2.202629265562729,0.0,0.0,0.0,0.0,0.0
2,14,3.2360000000000007,3.2360000000000007,0.972765603051009,2.2632343969489916,2.2632343969489916,0.0,0.0,0.0,0.0,0.0
2,15,3.2686,3.2686,0.8726421474260926,2.3959578525739076,2.3959578525739076,0.0,0.0,0.0,0.0,0.0
2,16,2.8779000000000003,2.8779000000000003,0.583843119985969,2.2940568800140313,2.2940568800140313,0.0,0.0,0.0,0.0,0.0
2,17,2.6,2.6,0.45809308569384344,2.1419069143061567,2.1419069143061567,0.0,0.0,0.0,0.0,0.0
2,18,2.4674000000000005,2.4674000000000005,0.31964846745492315,2.1477515325450773,2.1477515325450773,0.0,0.0,0.0,0.0,0.0
2,19,2.5596999999999994,2.5596999999999994,0.44218100838111907,2.1175189916188804,2.1175189916188804,0.0,0.0,0.0,0.0,0.0
2,20,2.3735,2.3735,0.5,2.082319307522101,1.8735,0.0,0.20881930752210123,0.0,0.0,0.0
2,21,2.4331000000000005,2.4331000000000005,0.2,2.2946755644079806,2.2331000000000003,0.0,0.06157556440798012,0.0,0.0,0.0
2,22,2.8314000000000004,2.8314000000000004,0.5333333333333333,2.3355614412960333,2.298066666666667,0.0,0.03749477462936626,0.0,0.0,0.0
2,23,2.8305000000000002,2.8305000000000002,0.6569309400116423,2.173569059988358,2.173569059988358,0.0,0.0,0.0,0.0,0.0
2,24,2.4875,2.4875,0.3898724667993281,2.0976275332006717,2.0976275332006717,0.0,0.0,0.0,0.0,0.0
