scenario,time,unit_1_dispatch,unit_2_dispatch,unit_3_dispatch
1,1,0.9,0.0,0.0
2,1,0.9,0.0,0.0
1,2,0.0,0.1277108046060591,0.0
2,2,0.0,0.1289572915062065,0.0
1,3,0.0,0.12256676547704703,0.0
2,3,0.0,0.26166776111282175,0.0
1,4,0.0,0.2509274839484408,0.0
2,4,0.0,0.17523176622553693,1.5473990740615048e-9
1,5,0.0,0.1,0.11031299562247385
2,5,0.0,0.19791414932356607,0.2
1,6,0.0,0.31209600221079076,0.2
2,6,0.0,0.2678015189789049,0.2
1,7,0.0,0.3301644386184363,0.2
2,7,0.0,0.3856080178028087,0.2
1,8,0.0,0.6466540914034471,0.2
2,8,0.0,0.4858748288548835,0.2
1,9,0.0,0.33428113759752537,0.2
2,9,0.0,0.3397977108494749,0.2
1,10,0.0,0.4609969411516532,0.1
2,10,0.0,0.37950145512335304,0.1
1,11,1.019696517596646,0.1,0.0
2,11,0.9,0.1,0.0
1,12,1.1010714587110435,0.1,0.0
2,12,0.9881345458165903,0.1,0.0
1,13,0.9882496830889299,4.642200068794011e-9,0.0
2,13,0.9903329396339656,4.642200068794011e-9,0.0
1,14,1.1192414522017249,4.6422000687940104e-9,0.09999999535779994
2,14,0.9,4.6422000687940104e-9,0.09999999535779994
1,15,0.9,4.642200068794011e-9,0.09999999535779994
2,15,0.9,4.642200068794011e-9,0.09999999535779994
1,16,0.0,0.45259553744370756,0.2
2,16,0.0,0.40305665104093896,0.2
1,17,0.0,0.1927059136023092,0.2
2,17,0.0,0.12549181884044386,0.2
1,18,0.0,0.2590866149146074,0.1
2,18,0.0,0.18945185092892758,0.1
1,19,0.0,0.4813086390262651,0.0
2,19,0.0,0.47421470882564387,0.0
1,20,0.0,0.22796830891802777,0.0
2,20,0.0,0.2076985576896071,0.0
1,21,0.0,0.1,0.0
2,21,0.0,0.1,0.0
1,22,0.0,0.4374572213193627,0.2
2,22,0.0,0.3887349142162849,0.2
1,23,0.0,0.4459311143186914,0.2
2,23,0.0,0.35244372057123313,0.2
1,24,0.0,0.2247788861620965,0.2
2,24,0.0,0.16247797914706805,0.2
