algorithm,scenarios,iteration,active_scenarios,lower_bound,upper_bound,gap,added_scenarios,ram_mb
benders,2,1,2,350.0,1.1113944029802973e6,0.9996850802918738,,1273.140625
benders,2,2,2,2290.0,1.1113944029802973e6,0.997939525343247,,1041.53125
benders,2,3,2,3509.999997725,1.1113944029802973e6,0.9968418052229618,,1037.171875
benders,2,4,2,3510.0,1.1113944029802973e6,0.9968418052209148,,1030.828125
benders,2,5,2,3510.0,1.1113944029802973e6,0.9968418052209148,,1025.890625
benders,2,6,2,3510.0,1.1113944029802973e6,0.9968418052209148,,1011.5625
benders,2,7,2,3510.0,1.1113944029802973e6,0.9968418052209148,,1010.109375
benders,2,8,2,3770.0,295740.4430979184,0.9872523353197958,,1000.984375
benders,2,9,2,237089.9108756961,295740.4430979184,0.19831759095121476,,996.875
benders,2,10,2,237237.9775423627,295740.4430979184,0.1978169267028114,,998.25
benders,2,11,2,237380.91087569605,295740.4430979184,0.1973336200172745,,998.4375
benders,2,12,2,244585.7994648291,295740.4430979184,0.17297141742625732,,992.421875
benders,2,13,2,245913.57754236276,295740.4430979184,0.168481743766407,,970.8125
benders,2,14,2,246100.26643125064,295740.4430979184,0.1678504845211998,,968.296875
benders,2,15,2,248776.0775423628,295740.4430979184,0.15880264823924373,,955.46875
benders,2,16,2,249168.64420902944,295740.4430979184,0.15747524552572528,,955.328125
benders,2,17,2,249171.04420902947,295740.4430979184,0.15746713030152776,,940.28125
benders,2,18,2,250227.51087569614,295740.4430979184,0.1538948536943905,,919.125
benders,2,19,2,255072.93420902948,295740.4430979184,0.13751081341041535,,911.828125
benders,2,20,2,255998.87623103295,295740.4430979184,0.13437988545108392,,896.515625
benders,2,21,2,257661.00956436602,295740.4430979184,0.12875964184856412,,871.234375
benders,2,22,2,258737.8762310329,295740.4430979184,0.1251183858357479,,867.578125
benders,2,23,2,259505.3335714323,295740.4430979184,0.12252334901103225,,868.046875
benders,2,24,2,270172.26345090684,295740.4430979184,0.08645479589837361,,868.921875
