algorithm,scenarios,iteration,active_scenarios,lower_bound,upper_bound,gap,added_scenarios,ram_mb
benders,20,1,20,350.0,1.1419848426191038e6,0.9996935160713718,,1321.34375
benders,20,2,20,124054.58261910372,1.1419848426191038e6,0.8913693264654196,,1330.796875
benders,20,3,20,133287.54261891218,1.1419848426191038e6,0.8832843154782116,,1335.40625
benders,20,4,20,134510.58222233914,1.1419848426191038e6,0.8822133383883398,,1337.296875
benders,20,5,20,143743.5426190488,1.1419848426191038e6,0.874128327053578,,1341.921875
ccg,20,1,3,96928.83169211917,2.5930767938275316e13,0.9999999962620146,7;18,1322.234375
ccg,20,2,5,124730.17244780927,175834.02583318643,0.29063688408959426,2;20,1338.171875
ccg,20,3,7,127019.69969765439,163471.44329259728,0.2229853903563755,11;1,1372.40625
ccg,20,4,9,127019.69969765439,156092.51437034868,0.18625374054472088,5;6,1426.71875
ccg,20,5,11,127019.69969765439,156092.51437034868,0.18625374054472088,9;12,1582.671875
benders,50,1,50,350.0,1.1307980687078128e6,0.9996904840831576,,1672.59375
benders,50,2,50,265965.4887078125,1.1307980687078128e6,0.7647984232830343,,1676.890625
benders,50,3,50,275198.4487078123,1.1307980687078128e6,0.7566334287933087,,1661.96875
benders,50,4,50,276421.4885321337,1.1307980687078128e6,0.755551856531943,,1657.21875
benders,50,5,50,285654.4484530236,1.1307980687078128e6,0.7473868621121768,,1652.203125
ccg,50,1,3,102831.21957606002,173313.19386827352,0.406674025898897,35;28,1696.75
ccg,50,2,5,132508.79931162065,173313.19386827352,0.23543732387408867,20;29,1696.84375
ccg,50,3,7,132508.79931162065,150707.30862599745,0.12075399315515845,7;38,1270.625
ccg,50,4,9,132508.79931162065,150707.30862599745,0.12075399315515845,37;18,1339.6875
ccg,50,5,11,132508.79931162065,150707.30862599745,0.12075399315515845,40;39,1402.625
