algorithm,scenarios,iteration,active_scenarios,lower_bound,upper_bound,gap,added_scenarios,ram_mb
benchmark_uc,20,1,20,129596.03713143409,129596.03713143409,0.0,,1593.734375
benders,20,1,20,350.0,1.139769560248672e6,0.9996929203821487,,1518.453125
benders,20,2,20,101483.28691533842,1.139769560248672e6,0.9109615746413617,,1450.796875
benders,20,3,20,110716.24691533,1.139769560248672e6,0.9028608494404106,,1446.625
benders,20,4,20,111939.28657685455,1.139769560248672e6,0.9017877907238252,,1447.421875
benders,20,5,20,121172.24657890643,1.139769560248672e6,0.8936870655210664,,1448.625
ccg,20,1,3,105237.40227666467,163365.91959957374,0.355817893138496,20;18,1323.265625
ccg,20,2,5,105237.40227666467,163365.91959957374,0.355817893138496,15;7,1381.75
ccg,20,3,7,117339.8155910161,160145.85005950878,0.26729406008534745,13;16,1422.84375
ccg,20,4,9,117339.8155910161,160145.85005950878,0.26729406008534745,1;2,1508.03125
ccg,20,5,11,124259.08710213612,160145.84237405038,0.22408796094668496,6;19,1587.21875
benchmark_uc,50,1,50,1.109097340776581e6,1.109097340776581e6,0.0,,1017.421875
benders,50,1,50,350.0,1.1239284151626425e6,0.9996885922659504,,1392.96875
benders,50,2,50,259164.57302930846,1.1239284151626425e6,0.7694118508494383,,1395.9375
benders,50,3,50,268397.5330293084,1.1239284151626425e6,0.761196950438138,,1403.109375
benders,50,4,50,269620.5728584162,1.1239284151626425e6,0.7601087674074333,,1518.5625
benders,50,5,50,278853.5327828358,1.1239284151626425e6,0.7518938670633795,,1520.765625
ccg,50,1,3,112653.29691469479,324862.9836066586,0.6532282759190943,47;37,1613.703125
ccg,50,2,5,138350.97821158127,164739.9697265428,0.16018572516800433,10;35,1740.703125
ccg,50,3,7,138350.97821158127,164419.70927166942,0.15854991579419736,11;8,1755.125
ccg,50,4,9,138350.97821158127,151625.9591028888,0.087550845315425,9;31,1728.109375
ccg,50,5,11,138350.97821158127,151625.9591028888,0.087550845315425,1;2,1746.140625
