algorithm,scenarios,iteration,active_scenarios,lower_bound,upper_bound,gap,added_scenarios,ram_mb
benchmark_uc,2,1,2,116557.50639980531,116557.50639980531,0.0,,1529.84375
benders,2,1,2,260.0,1.1273325043955804e6,0.9997693670678474,,1439.296875
benders,2,2,2,2290.0,1.1273325043955804e6,0.9979686561045041,,1389.078125
benders,2,3,2,2290.0,1.1273325043955804e6,0.9979686561045041,,1389.453125
benders,2,4,2,2290.0,1.1273325043955804e6,0.9979686561045041,,1389.53125
benders,2,5,2,2290.0,362981.4508678545,0.9936911376724112,,1389.53125
benders,2,6,2,200569.23975674325,362981.4508678545,0.44743942348114896,,1391.671875
benders,2,7,2,200746.1397567433,362981.4508678545,0.4469520707539597,,1387.390625
benders,2,8,2,200751.5397567433,362981.4508678545,0.44693719396070464,,1373.1875
benders,2,9,2,200927.83975674328,362981.4508678545,0.4464514942105439,,1373.515625
benders,2,10,2,200938.63975674324,362981.4508678545,0.4464217406240339,,1373.625
benders,2,11,2,201038.83975674325,362981.4508678545,0.446145693460301,,1367.546875
benders,2,12,2,201215.73975674325,362981.4508678545,0.44565834073311184,,1366.78125
benders,2,13,2,201218.73975674322,362981.4508678545,0.44565007584797023,,1366.875
benders,2,14,2,201385.63975674327,362981.4508678545,0.44519027273792,,1366.90625
benders,2,15,2,201395.0397567433,362981.4508678545,0.44516437609780923,,1367.046875
benders,2,16,2,201397.43975674326,362981.4508678545,0.445157764189696,,1367.171875
benders,2,17,2,201408.23975674278,362981.4508678545,0.4451280106031872,,1368.25
benders,2,18,2,201454.43975674233,362981.4508678545,0.4450007313720062,,1368.25
benders,2,19,2,201474.53975674324,362981.4508678545,0.44494535664155427,,1368.28125
benders,2,20,2,204033.67309007677,362981.4508678545,0.437895042287452,,1369.0
benders,2,21,2,211053.65309007664,362981.4508678545,0.41855526615510036,,1369.203125
benders,2,22,2,211053.65309007664,362981.4508678545,0.41855526615510036,,1369.453125
benders,2,23,2,211053.65309007664,208519.64665805365,0.012152362967343266,,1369.75
benders,2,24,2,211053.65309007664,-4.347830463963848e6,1.0485422913423845,,1351.96875
ccg,2,1,2,97739.11377165276,1.1803261478959722e6,0.9171931300964585,,1272.90625
benchmark_uc,6,1,6,121002.02928230038,121002.02928230038,0.0,,1369.921875
benders,6,1,6,260.0,1.146378995547677e6,0.9997731989141379,,1381.21875
benders,6,2,6,3330.0,1.146378995547677e6,0.9970952014875271,,1382.890625
benders,6,3,6,4810.0,1.146378995547677e6,0.9958041799268157,,1383.390625
benders,6,4,6,4810.0,1.146378995547677e6,0.9958041799268157,,1383.65625
benders,6,5,6,6128.312797946357,1.146378995547677e6,0.9946542000309302,,1383.875
benders,6,6,6,6128.312797946357,1.146378995547677e6,0.9946542000309302,,1384.015625
benders,6,7,6,6128.312797946357,1.146378995547677e6,0.9946542000309302,,1384.03125
benders,6,8,6,8874.80381404757,293190.87817834824,0.9697302867327996,,1384.234375
benders,6,9,6,242772.53965982966,293190.87817834824,0.17196421263719228,,1384.34375
benders,6,10,6,242902.63869402325,293190.87817834824,0.17152047770586878,,1384.40625
benders,6,11,6,268043.83817834826,293190.87817834824,0.0857701991145074,,1384.5625
benders,6,12,6,274034.0326437419,293190.87817834824,0.06533915943622177,,1384.734375
benders,6,13,6,282376.20410427416,284269.0664818373,0.006658699805022308,,1384.8125
benders,6,14,6,283159.549615424,283344.1140720723,0.0006513791798784707,,1382.875
ccg,6,1,3,99382.92887596854,1.274195348131905e13,0.9999999922003381,6;4,1391.25
ccg,6,2,5,127444.34596004667,153630.04960716635,0.17044649607226156,3,1391.96875
ccg,6,3,6,130129.33905779924,153630.04960716635,0.15296949138079238,,1378.546875
