scenario,time,unit_1_dispatch,unit_2_dispatch,unit_3_dispatch
1,1,0.9,0.0,0.0
2,1,0.9,0.0,0.0
1,2,0.9,0.0,0.1
2,2,0.9,0.0,0.1
1,3,0.0,0.1,0.1
2,3,0.0,0.1,0.16166776111282175
1,4,0.0,0.1,0.15092748394844074
2,4,0.0,0.1,0.1
1,5,0.0,0.1,0.11031299562247385
2,5,0.0,0.1979141493235661,0.2
1,6,0.0,0.3120960022107908,0.2
2,6,0.0,0.2678015189789049,0.2
1,7,0.9,0.1,0.1
2,7,0.9,0.1,0.1
1,8,0.9,0.0,0.0
2,8,0.9,0.0,0.0
1,9,0.9,0.0,0.0
2,9,0.9,0.0,0.0
1,10,0.9,0.0,0.0
2,10,0.9,0.0,0.0
1,11,1.0196965175966475,0.0,0.1
2,11,0.9,0.0,0.1
1,12,1.1010714587110435,0.0,0.1
2,12,0.9881345458165903,0.0,0.1
1,13,0.9,0.0,0.1
2,13,0.9,0.0,0.1
1,14,1.1192414522017247,0.0,0.1
2,14,0.9,0.0,0.1
1,15,0.9,0.0,0.0
2,15,0.9460912807700725,0.0,0.0
1,16,0.9,0.1,0.0
2,16,0.9,0.1,0.0
1,17,0.0,0.3927059136023092,0.0
2,17,0.0,0.32549181884044387,0.0
1,18,0.0,0.3590866149146077,0.0
2,18,0.0,0.2894518509289279,0.0
1,19,0.0,0.4813086390262651,0.0
2,19,0.0,0.47421470882564387,0.0
1,20,0.0,0.22796830891802777,0.0
2,20,0.0,0.2076985576896071,0.0
1,21,0.0,0.1,0.0
2,21,0.0,0.1,0.0
1,22,0.0,0.4374572213193628,0.2
2,22,0.0,0.38873491421628503,0.2
1,23,0.0,0.4459311143186915,0.2
2,23,0.0,0.3524437205712332,0.2
1,24,0.0,0.22477888616209651,0.2
2,24,0.0,0.16247797914706807,0.2
