scenario,time,load_1_curtailment,load_2_curtailment,load_3_curtailment,wind_1_curtailment,wind_2_curtailment
1,1,0.0,0.0,0.0,0.0,0.8923353127034602
2,1,0.0,0.0,0.0,1.0032924482294332,0.0
1,2,0.0,0.0,0.0,0.8722891953939409,0.0
2,2,0.0,0.0,0.0,0.8710427084937935,0.0
1,3,0.0,0.0,0.0,0.07743323452295298,0.0
2,3,0.0,0.0,0.0,0.0,0.0
1,4,0.0,0.0,0.0,0.0,0.0
2,4,0.0,0.0,0.0,0.0,0.02476823222706398
1,5,0.0,0.0,0.0,0.0,0.0
2,5,0.0,0.0,0.0,0.0,0.0
1,6,0.0,0.0,0.0,0.0,0.0
2,6,0.0,0.0,0.0,0.0,0.0
1,7,0.0,0.0,0.0,0.5698355374700651,0.0
2,7,0.0,0.0,0.0,0.5143919582856927,0.0
1,8,0.0,0.0,0.0,0.05334590859655297,0.0
2,8,0.0,0.0,0.0,0.21412517114511653,0.0
1,9,0.0,0.0,0.0,0.36571886240247464,0.0
2,9,0.0,0.0,0.0,0.3602022891505251,0.0
1,10,0.0,0.0,0.0,0.3390030588483467,0.0
2,10,0.0,0.0,0.0,0.42049854487664684,0.0
1,11,0.0,0.0,0.0,0.0,0.0
2,11,0.0,0.0,0.0,0.023763501477865212,0.0
1,12,0.0,0.0,0.0,0.0,0.0
2,12,0.0,0.0,0.0,0.0,0.0
1,13,0.0,0.0,0.0,0.011750312268870022,0.0
2,13,0.0,0.0,0.0,0.009667055723834306,0.0
1,14,0.0,0.0,0.0,0.0,0.0
2,14,0.0,0.0,0.0,0.03106413760212101,0.0
1,15,0.0,0.0,0.0,0.0052891601903725105,0.0
2,15,0.0,0.0,0.0,0.0,0.0
1,16,0.0,0.0,0.0,0.0,0.3474044625562924
2,16,0.0,0.0,0.0,0.0,0.396943348959061
1,17,0.0,0.0,0.0,0.0,0.0
2,17,0.0,0.0,0.0,0.0,0.0
1,18,0.0,0.0,0.0,0.0,0.0
2,18,0.0,0.0,0.0,0.0,0.0
1,19,0.0,0.0,0.0,0.0,0.0
2,19,0.0,0.0,0.0,0.0,0.0
1,20,0.0,0.0,0.0,0.0,0.0
2,20,0.0,0.0,0.0,0.0,0.0
1,21,0.0,0.0,0.0,0.09462670655868158,0.0
2,21,0.0,0.0,0.0,0.046868681783993976,0.0
1,22,0.0,0.0,0.0,0.0,0.0
2,22,0.0,0.0,0.0,0.0,0.0
1,23,0.0,0.0,0.0,0.0,0.0
2,23,0.0,0.0,0.0,0.0,0.0
1,24,0.0,0.0,0.0,0.0,0.0
2,24,0.0,0.0,0.0,0.0,0.0
