time,unit_1_startup_cost,unit_2_startup_cost,unit_3_startup_cost,unit_1_shutdown_cost,unit_2_shutdown_cost,unit_3_shutdown_cost
1,-0.0,0.0,0.0,-0.0,-0.0,-0.0
2,0.0,0.0,260.0,0.0,0.0,0.0
3,0.0,350.0,0.0,560.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,560.0,0.0,0.0,0.0,0.0,6.021989634614227e-5
8,0.0,0.0,6.021989634844217e-5,0.0,350.0,260.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,260.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,260.0
16,0.0,350.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,560.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,260.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
