algorithm,scenarios,iteration,active_scenarios,lower_bound,upper_bound,gap,added_scenarios,ram_mb
benchmark_uc,2,1,2,152036.84197254595,152036.84197254595,0.0,,1683.296875
benders,2,1,2,260.0,1.1510155694551012e6,0.9997741125247134,,1510.609375
benders,2,2,2,2290.0,1.1510155694551012e6,0.9980104526282976,,1518.515625
benders,2,3,2,2809.999997725,1.1510155694551012e6,0.9975586776814385,,1519.046875
benders,2,4,2,2810.0,302806.47186302533,0.9907201454985354,,1519.46875
benders,2,5,2,204374.3951963581,302806.47186302533,0.32506596064719506,,1520.640625
benders,2,6,2,204700.29519635858,302806.47186302533,0.32398969567176605,,1521.171875
benders,2,7,2,204711.09519635863,302806.47186302533,0.32395402932707545,,1522.328125
benders,2,8,2,207895.11643381565,302806.47186302533,0.3134389923866272,,1522.4375
benders,2,9,2,207895.11643381565,302806.47186302533,0.3134389923866272,,1522.8125
benders,2,10,2,207895.11643381565,302806.47186302533,0.3134389923866272,,1523.71875
benders,2,11,2,207895.11643381565,302806.47186302533,0.3134389923866272,,1523.875
benders,2,12,2,207895.11643381565,302806.47186302533,0.3134389923866272,,1523.9375
benders,2,13,2,207895.11643381565,302806.47186302533,0.3134389923866272,,1524.328125
benders,2,14,2,207895.11643381565,302806.47186302533,0.3134389923866272,,1523.484375
benders,2,15,2,207895.11643381565,302806.47186302533,0.3134389923866272,,1523.875
benders,2,16,2,207895.11643381565,302806.47186302533,0.3134389923866272,,1523.96875
benders,2,17,2,207895.11643381565,302806.47186302533,0.3134389923866272,,1524.125
benders,2,18,2,207895.11643381565,302806.47186302533,0.3134389923866272,,1524.203125
benders,2,19,2,207895.11643381565,302806.47186302533,0.3134389923866272,,1524.984375
benders,2,20,2,207895.11643381565,302806.47186302533,0.3134389923866272,,1525.875
benders,2,21,2,209321.8036007537,302806.47186302533,0.30872744458464135,,1526.53125
benders,2,22,2,209321.8036007537,302806.47186302533,0.30872744458464135,,1526.65625
benders,2,23,2,209321.8036007537,193966.76468312196,0.07916324707811494,,1526.59375
benders,2,24,2,210879.16820431204,193966.76468312196,0.08719227517524562,,1528.578125
ccg,2,1,1,71769.05940915756,5.387952109221946e13,0.9999999986679714,2,1542.703125
ccg,2,2,2,152036.84197254595,152036.84126773363,4.635799564295151e-9,,1557.921875
