metric,clustered_pcm_repaired,single_unit_pcm,difference,difference_pct
startup_cost,42878.0,43908.0,-1030.0,-2.345813974674319
shutdown_cost,42218.0,43048.0,-830.0,-1.9280802824753762
production_cost,23261976.8452,23374589.3327,-112612.48750000075,-0.4817731165118736
up_reserve,705.6,705.6,0.0,0.0
down_reserve,144.6669,144.6669,0.0,0.0
load_shedding,14.68471,14.64057,0.04414000000000051,0.3014909938615813
wind_curtailment,257.41741,253.32954,4.087870000000009,1.6136570571280433
economic_cost,23347072.8452,23461545.3327,-114472.48750000075,-0.4879153775964298
thermal_energy,10835.510890000001,10831.46725,4.043640000001687,0.03733233833118673
online_unit_hours,5669.0,5832.0,-163.0,-2.7949245541838135
solver_reported_seconds,129.66,66.51,63.14999999999999,94.94812810103741
optimization_solves,14,7,7,100.0
commitment_different_cells,1219.0,0.0,1219.0,nan
thermal_output_MAE,0.10486538139329805,0.0,0.10486538139329805,nan
thermal_output_RMSE,0.42028188210870565,0.0,0.42028188210870565,nan
thermal_output_max_abs,3.5,0.0,3.5,nan
network_feedback_windows,7.0,0.0,7.0,nan
