Metric,Clustered_PCM,Single_Unit_PCM,Cluster_minus_Single,Cluster_delta_pct
Wall_time_sec,33.5747909,48.6939023,-15.1191114,-31.049
Startup_cost,10333.0,6578.0,3755.0,57.084
Shutdown_cost,8588.0,5668.0,2920.0,51.517
Production_cost,3305148.6272,2883724.11211,421424.51509,14.614
Operating_cost,3324069.62722,2896089.95929,427979.66793,14.778
Load_shedding,0.0,0.0,0.0,0.0
Wind_curtailment,211.82504,29.50372,182.32132,617.960
Thermal_output_sum,1388.62032,1383.83721,4.78311,0.346
Wind_output_sum,312.35048,494.67179,-182.32131,-36.856
Hydro_output_sum,177.53792,573.53824,-396.00032,-69.045
