profile,method,run,Interval_ID,Start_Hour,Execution_Window_h,Steady_State_Overlap_h,Unit_Dwell_Overlap_h,Ramp_Event_Detected,Ramp_Overlap_h,Raw_Max_Overlap_h,Limiting_Factor,Final_Adaptive_Overlap_h,Total_Solved_Horizon_h,Overlap_SelectionTime_sec,Subproblem_SolveTime_sec,Optimization_Status,Reference_Cost_Gap_pct,Reference_Repair_Applied
baseline,adaptive_overlap,1,1,1,24,10,0,false,0,10,steady,10,34,0.6710000038146973,10.749000072479248,OK,,
baseline,adaptive_overlap,1,2,25,24,9,6,false,0,9,steady,9,33,0.13700008392333984,4.668999910354614,OK,,
baseline,adaptive_overlap,1,3,49,24,12,1,false,0,12,steady,12,36,0.0,5.022000074386597,OK,,
baseline,adaptive_overlap,1,4,73,24,9,4,false,0,9,steady,9,33,0.0019998550415039062,7.874000072479248,OK,,
baseline,adaptive_overlap,1,5,97,24,10,1,false,0,10,steady,10,34,0.0009999275207519531,5.425000190734863,OK,,
baseline,adaptive_overlap,1,6,121,24,9,1,false,0,9,steady,9,33,0.0,5.453000068664551,OK,,
baseline,adaptive_overlap,1,7,145,24,7,1,false,0,7,steady,7,31,0.0,4.400000095367432,OK,,
baseline,clustered_adaptive_overlap,1,1,1,24,12,0,false,0,12,steady,12,36,0.6640000343322754,15.956000089645386,OK,0.0,false
baseline,clustered_adaptive_overlap,1,2,25,24,6,6,false,0,6,steady+unit_dwell,6,30,0.1380000114440918,10.963000059127808,OK,0.0,false
baseline,clustered_adaptive_overlap,1,3,49,24,12,1,false,0,12,steady,12,36,0.0,13.601999998092651,OK,0.0,false
baseline,clustered_adaptive_overlap,1,4,73,24,6,3,false,0,6,steady,6,30,0.0009999275207519531,9.38700008392334,OK,0.0,false
baseline,clustered_adaptive_overlap,1,5,97,24,8,2,false,0,8,steady,8,32,0.0,11.671000003814697,OK,0.0,false
baseline,clustered_adaptive_overlap,1,6,121,24,4,4,false,0,4,steady+unit_dwell,4,28,0.0009999275207519531,7.300999879837036,OK,0.0,false
baseline,clustered_adaptive_overlap,1,7,145,24,12,1,false,0,12,steady,12,36,0.0009999275207519531,13.618000030517578,OK,0.0,false
smooth,adaptive_overlap,1,1,1,24,7,0,false,0,7,steady,7,31,0.7130000591278076,7.127000093460083,OK,,
smooth,adaptive_overlap,1,2,25,24,2,4,false,0,4,unit_dwell,4,28,0.14099979400634766,3.820000171661377,OK,,
smooth,adaptive_overlap,1,3,49,24,12,7,false,0,12,steady,12,36,0.0010001659393310547,5.803999900817871,OK,,
smooth,adaptive_overlap,1,4,73,24,10,2,false,0,10,steady,10,34,0.0,4.602999925613403,OK,,
smooth,adaptive_overlap,1,5,97,24,12,7,false,0,12,steady,12,36,0.0,6.9070000648498535,OK,,
smooth,adaptive_overlap,1,6,121,24,10,3,false,0,10,steady,10,34,0.0,5.020000219345093,OK,,
smooth,adaptive_overlap,1,7,145,24,12,5,false,0,12,steady,12,36,0.0,5.7820000648498535,OK,,
smooth,clustered_adaptive_overlap,1,1,1,24,6,0,false,0,6,steady,6,30,0.6579999923706055,9.192999839782715,OK,0.0,false
smooth,clustered_adaptive_overlap,1,2,25,24,2,5,false,0,5,unit_dwell,5,29,0.13699984550476074,7.74399995803833,OK,0.0,false
smooth,clustered_adaptive_overlap,1,3,49,24,6,7,false,0,7,unit_dwell,7,31,0.0,14.417999982833862,OK,0.0,false
smooth,clustered_adaptive_overlap,1,4,73,24,2,4,false,0,4,unit_dwell,4,28,0.0010001659393310547,8.849999904632568,OK,0.0,false
smooth,clustered_adaptive_overlap,1,5,97,24,6,6,false,0,6,steady+unit_dwell,6,30,0.0,10.570000171661377,OK,0.0,false
smooth,clustered_adaptive_overlap,1,6,121,24,2,4,false,0,4,unit_dwell,4,28,0.0,6.015000104904175,OK,0.0,false
smooth,clustered_adaptive_overlap,1,7,145,24,6,3,false,0,6,steady,6,30,0.0,11.611999988555908,OK,0.0,false
extreme_ramp,adaptive_overlap,1,1,1,24,12,0,true,12,12,steady+ramp,12,36,0.753000020980835,18.111000061035156,OK,,
extreme_ramp,adaptive_overlap,1,2,25,24,7,4,true,12,12,ramp,12,36,0.15799999237060547,5.226999998092651,OK,,
extreme_ramp,adaptive_overlap,1,3,49,24,11,0,true,12,12,ramp,12,36,0.0,5.677999973297119,OK,,
extreme_ramp,adaptive_overlap,1,4,73,24,10,5,true,12,12,ramp,12,36,0.0010001659393310547,5.621999979019165,OK,,
extreme_ramp,adaptive_overlap,1,5,97,24,12,0,true,12,12,steady+ramp,12,36,0.0,6.331000089645386,OK,,
extreme_ramp,adaptive_overlap,1,6,121,24,7,2,true,12,12,ramp,12,36,0.0,8.89900016784668,OK,,
extreme_ramp,adaptive_overlap,1,7,145,24,11,0,true,12,12,ramp,12,36,0.0,6.765000104904175,OK,,
extreme_ramp,clustered_adaptive_overlap,1,1,1,24,12,0,true,12,12,steady+ramp,12,36,0.749000072479248,64.01999998092651,OK,0.0,false
extreme_ramp,clustered_adaptive_overlap,1,2,25,24,7,4,true,12,12,ramp,12,36,0.20799994468688965,72.33699989318848,OK,0.0,false
extreme_ramp,clustered_adaptive_overlap,1,3,49,24,11,0,true,12,12,ramp,12,36,0.0019998550415039062,58.66700005531311,OK,0.0,false
extreme_ramp,clustered_adaptive_overlap,1,4,73,24,10,6,true,12,12,ramp,12,36,0.0,98.82100009918213,OK,0.0,false
extreme_ramp,clustered_adaptive_overlap,1,5,97,24,12,0,true,12,12,steady+ramp,12,36,0.0,313.38899993896484,OK,0.0,false
extreme_ramp,clustered_adaptive_overlap,1,6,121,24,8,5,true,12,12,ramp,12,36,0.0,69.52900004386902,OK,0.0,false
extreme_ramp,clustered_adaptive_overlap,1,7,145,24,11,0,true,12,12,ramp,12,36,0.0,287.65499997138977,OK,0.0,false
