profile,method,solver,runs,successful_runs,success_rate_pct,median_wall_time_sec,median_simulation_time_sec,median_offline_training_time_sec,median_offline_preprocess_time_sec,median_allocated_mb,median_peak_rss_mb,median_total_cost,startup_shutdown_cost,fuel_cost,reserve_cost,load_shed_cost,wind_curtail_cost,physical_units,equivalent_units,state_reduction_pct,median_integer_variables,cluster_attempts,cluster_successes,cluster_fallbacks,mean_overlap_hours,max_overlap_hours,ramp_event_intervals,reference_repairs,mean_pre_repair_cost_gap_pct,speedup_vs_standard,wall_time_delta_pct,cost_delta_pct,allocated_delta_pct,peak_rss_delta_pct,integer_reduction_pct
baseline,standard,gurobi,1,1,100.0,92.7938889,42.03399991989136,0.0,0.0,37006.768527030945,1997.71875,1.627596232615e7,89804.0,1.618609151653e7,0.0,0.0,66.80962,108.0,108.0,0.0,7776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
baseline,clustered_pcm,gurobi,1,0,0.0,,,0.0,0.0,,3850.1875,0.0,,,,,,108.0,31.0,71.2962962962963,2232.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,,,-100.0,,92.72920675145086,71.2962962962963
baseline,adaptive_overlap,gurobi,1,1,100.0,3541.3304714,44.403000354766846,3468.940999984741,0.0,4.762213174282074e6,2459.0859375,1.5846605714522481e7,86784.0,1.5759821079354387e7,0.0,0.0,0.6351680939557518,108.0,108.0,0.0,7776.0,0.0,0.0,0.0,9.428571428571429,12.0,0.0,0.0,0.0,0.9466477396584043,5.635914829400823,-2.637979881150787,12768.492342971256,23.094701769205493,0.0
baseline,clustered_adaptive_overlap,gurobi,1,1,100.0,7925.5813183,83.30299997329712,7816.085000038147,0.0,3.73795057330513e6,6286.15234375,1.5881968963732496e7,89646.0,1.5791834918424698e7,488.0453077971988,0.0,1.3971166598388076e-11,108.0,31.0,71.2962962962963,2232.0,7.0,7.0,0.0,8.571428571428571,12.0,0.0,0.0,0.0,0.5045916705684719,98.18004503986405,-2.4207070188684954,10000.721360133915,214.66653370250444,71.2962962962963
smooth,standard,gurobi,1,1,100.0,85.3424115,36.22500014305115,0.0,0.0,37014.71653652191,1908.98828125,1.417770663973e7,54210.0,1.412349663973e7,0.0,0.0,0.0,108.0,108.0,0.0,7776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
smooth,clustered_pcm,gurobi,1,1,100.0,74.7200082,59.81099987030029,0.0,0.0,15490.089519500732,2429.40234375,1.416741450303e7,54046.0,1.411280035004e7,568.15298,0.0,1.0e-5,108.0,31.0,71.2962962962963,2232.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6056578258448244,65.10972983881003,-0.07259380491876355,-58.151538174777386,27.261249721199675,71.2962962962963
smooth,adaptive_overlap,gurobi,1,1,100.0,3227.5450573,39.91800045967102,3160.4489998817444,0.0,4.763163014615059e6,2461.53125,1.4299706078429926e7,56380.0,1.4243326078429926e7,0.0,0.0,0.0,108.0,108.0,0.0,7776.0,0.0,0.0,0.0,9.571428571428571,12.0,0.0,0.0,0.0,0.9074853380907469,10.194617811004436,0.8605019260170543,12768.295262818807,28.944282905089214,0.0
smooth,clustered_adaptive_overlap,gurobi,1,1,100.0,8548.9919603,69.19799995422363,8453.421999931335,0.0,3.4792619279050827e6,5710.875,1.427093535777074e7,61634.0,1.4208698982398264e7,602.3753724767635,0.0,1.2437609992821986e-11,108.0,31.0,71.2962962962963,2232.0,7.0,7.0,0.0,5.428571428571429,7.0,0.0,0.0,0.0,0.5234977913670189,91.0227734464137,0.6575726272928017,9299.671950674383,199.15715335143577,71.2962962962963
extreme_ramp,standard,gurobi,1,0,0.0,,,0.0,0.0,,1943.1328125,0.0,,,,,,108.0,108.0,0.0,7776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
extreme_ramp,clustered_pcm,gurobi,1,0,0.0,,,0.0,0.0,,3652.0234375,0.0,,,,,,108.0,31.0,71.2962962962963,2232.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,87.94512727111905,71.2962962962963
extreme_ramp,adaptive_overlap,gurobi,1,1,100.0,4446.0945656,57.5450005531311,4361.467000007629,0.0,4.733719445317268e6,2463.828125,2.119186261989532e7,149992.0,2.104165857797848e7,0.0,190.73120468153212,21.31071215945272,108.0,108.0,0.0,7776.0,0.0,0.0,0.0,12.0,12.0,7.0,0.0,0.0,,,,,26.79669187563576,0.0
extreme_ramp,clustered_adaptive_overlap,gurobi,1,1,100.0,16684.5934412,965.3739998340607,15690.588999986649,0.003000020980834961,9.287262688898087e6,7682.69140625,2.118206219976053e7,154440.0,2.1027229199168723e7,175.97654660009582,192.43120468153228,24.59284052449287,108.0,31.0,71.2962962962963,2232.0,7.0,4.0,3.0,12.0,12.0,7.0,0.0,0.0,,,,,295.3765464114409,71.2962962962963
