Interval_ID,Boundary_Hour,Unit_ID,On_Status,Consecutive_State_Hours
1,24,1,1,5
1,24,2,1,5
1,24,3,1,5
1,24,4,1,19
1,24,5,1,12
1,24,6,1,2
1,24,7,1,19
1,24,8,1,5
1,24,9,1,5
1,24,10,1,4
1,24,11,1,4
1,24,12,1,2
1,24,13,1,4
1,24,14,1,10
1,24,15,1,2
1,24,16,1,19
1,24,17,1,2
1,24,18,1,2
1,24,19,1,10
1,24,20,1,14
1,24,21,1,19
1,24,22,1,10
1,24,23,1,20
1,24,24,0,8
1,24,25,1,20
1,24,26,1,20
1,24,27,1,12
1,24,28,1,12
1,24,29,1,4
1,24,30,1,10
1,24,31,1,2
1,24,32,1,5
1,24,33,1,2
1,24,34,1,10
1,24,35,1,10
1,24,36,1,19
1,24,37,1,10
1,24,38,1,2
1,24,39,1,19
1,24,40,1,20
1,24,41,1,4
1,24,42,1,2
1,24,43,1,14
1,24,44,1,20
1,24,45,1,4
1,24,46,1,2
1,24,47,1,10
1,24,48,1,10
1,24,49,1,2
1,24,50,1,4
1,24,51,1,10
1,24,52,1,10
1,24,53,1,19
1,24,54,1,4
1,24,55,1,5
1,24,56,1,5
1,24,57,1,5
1,24,58,1,19
1,24,59,1,12
1,24,60,1,2
1,24,61,1,19
1,24,62,1,5
1,24,63,1,5
1,24,64,1,14
1,24,65,1,4
1,24,66,1,4
1,24,67,1,2
1,24,68,1,10
1,24,69,1,2
1,24,70,1,20
1,24,71,1,2
1,24,72,1,2
1,24,73,1,10
1,24,74,1,14
1,24,75,1,19
1,24,76,1,10
1,24,77,1,20
1,24,78,0,8
1,24,79,0,8
1,24,80,1,4
1,24,81,1,12
1,24,82,1,12
1,24,83,1,4
1,24,84,1,10
1,24,85,1,2
1,24,86,1,5
1,24,87,1,2
1,24,88,1,10
1,24,89,1,10
1,24,90,1,19
1,24,91,1,10
1,24,92,1,2
1,24,93,1,20
1,24,94,0,8
1,24,95,1,2
1,24,96,1,2
1,24,97,1,14
1,24,98,1,20
1,24,99,1,12
1,24,100,1,2
1,24,101,1,10
1,24,102,1,10
1,24,103,1,2
1,24,104,1,4
1,24,105,1,10
1,24,106,1,10
1,24,107,1,19
1,24,108,1,4
2,48,1,1,5
2,48,2,1,5
2,48,3,1,5
2,48,4,1,12
2,48,5,1,12
2,48,6,1,5
2,48,7,1,19
2,48,8,1,5
2,48,9,1,5
2,48,10,1,28
2,48,11,1,28
2,48,12,1,5
2,48,13,1,5
2,48,14,1,19
2,48,15,1,5
2,48,16,1,19
2,48,17,1,5
2,48,18,1,5
2,48,19,1,19
2,48,20,1,38
2,48,21,1,43
2,48,22,1,19
2,48,23,1,19
2,48,24,1,19
2,48,25,1,44
2,48,26,1,19
2,48,27,1,36
2,48,28,1,36
2,48,29,1,28
2,48,30,1,10
2,48,31,1,5
2,48,32,1,5
2,48,33,1,5
2,48,34,1,19
2,48,35,1,19
2,48,36,1,12
2,48,37,1,19
2,48,38,1,2
2,48,39,1,12
2,48,40,1,44
2,48,41,1,5
2,48,42,1,5
2,48,43,1,12
2,48,44,1,12
2,48,45,1,28
2,48,46,1,5
2,48,47,1,19
2,48,48,1,19
2,48,49,1,5
2,48,50,1,4
2,48,51,1,19
2,48,52,1,19
2,48,53,1,19
2,48,54,1,4
2,48,55,1,5
2,48,56,1,5
2,48,57,1,5
2,48,58,1,12
2,48,59,1,12
