profile,method,run,solver,status,wall_time_sec,simulation_time_sec,offline_training_time_sec,offline_preprocess_time_sec,allocated_mb,peak_rss_mb,total_cost,startup_shutdown_cost,fuel_cost,reserve_cost,load_shed_cost,wind_curtail_cost,physical_units,equivalent_units,state_reduction_pct,commitment_integer_variables,cluster_attempts,cluster_successes,cluster_fallbacks,overlap_windows_h,average_overlap_hours,max_overlap_hours,ramp_event_intervals,reference_repairs,pre_repair_cost_gap_pct
baseline,standard,1,gurobi,FAILED,,,0.0,0.0,,4960.26953125,0.0,,,,,,1080.0,1080.0,0.0,77760.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
baseline,clustered_pcm,1,gurobi,FAILED,,,0.0,0.0,,4973.98828125,0.0,,,,,,1080.0,31.0,97.12962962962963,2232.0,3.0,2.0,1.0,,0.0,0.0,0.0,0.0,0.0
baseline,adaptive_overlap,1,gurobi,OK,192283.8106568,1198.470999956131,191061.69799995422,0.0,1.3985654921835613e8,9291.1953125,1.1961721264289196e8,321012.0,1.1929619926389149e8,0.0,0.0,1.3790004629236492,1080.0,1080.0,0.0,77760.0,0.0,0.0,0.0,7;4;7,6.0,7.0,0.0,0.0,0.0
baseline,clustered_adaptive_overlap,1,gurobi,OK,218200.5802676,62.13499999046326,218088.30599999428,0.0,1.0591331706499195e8,9423.8984375,1.2226821514266217e8,405070.0,1.2186286589257132e8,279.25009085594525,0.0,3.029225844098705e-13,1080.0,31.0,97.12962962962963,2232.0,3.0,3.0,0.0,2;6;2,3.3333333333333335,6.0,0.0,0.0,0.0
smooth,standard,1,gurobi,OK,612.2258845,567.329999923706,0.0,0.0,1.2242248202695847e6,5346.6640625,1.1285881129812e8,133410.0,1.1272540129812e8,0.0,0.0,0.0,1080.0,1080.0,0.0,77760.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
smooth,clustered_pcm,1,gurobi,OK,105.6370876,91.33899998664856,0.0,0.0009999275207519531,32757.915080070496,5201.66796875,1.1197736603079998e8,142370.0,1.1183469361366e8,302.41714,0.0,0.0,1080.0,31.0,97.12962962962963,2232.0,3.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
smooth,adaptive_overlap,1,gurobi,OK,66634.3306802,837.2019999027252,65769.73900008202,0.0,1.3996533023976898e8,7340.3671875,1.124010186733605e8,157320.0,1.122436986733605e8,0.0,0.0,0.0,1080.0,1080.0,0.0,77760.0,0.0,0.0,0.0,7;7;7,7.0,7.0,0.0,0.0,0.0
smooth,clustered_adaptive_overlap,1,gurobi,OK,49197.8273666,88.4430000782013,49051.167999982834,0.0,1.0117884936732674e8,9909.84375,1.1173242809996575e8,160910.0,1.1157121562668537e8,302.4732803881417,0.0,7.6132389833886e-12,1080.0,31.0,97.12962962962963,2232.0,3.0,3.0,0.0,2;4;3,3.0,4.0,0.0,0.0,0.0
extreme_ramp,standard,1,gurobi,FAILED,,,0.0,0.0,,4914.3125,0.0,,,,,,1080.0,1080.0,0.0,77760.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
extreme_ramp,clustered_pcm,1,gurobi,FAILED,,,0.0,0.0,,5112.546875,0.0,,,,,,1080.0,31.0,97.12962962962963,2232.0,2.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0
extreme_ramp,adaptive_overlap,1,gurobi,OK,113857.9806407,1421.4730005264282,112408.63799977303,0.0,1.3872402120421886e8,8813.73046875,1.3013294730876386e8,520330.0,1.2960999176384419e8,0.0,2598.727818050889,26.817101606931715,1080.0,1080.0,0.0,77760.0,0.0,0.0,0.0,3;12;2,5.666666666666667,12.0,1.0,0.0,0.0
extreme_ramp,clustered_adaptive_overlap,1,gurobi,OK,132412.6357015,2084.8890001773834,130287.32199978828,0.0029997825622558594,1.4107794429448318e8,9490.59765625,1.3013294730876386e8,520330.0,1.2960999176384419e8,0.0,2598.727818050889,26.817101606931715,1080.0,31.0,97.12962962962963,2232.0,3.0,0.0,3.0,3;12;2,5.666666666666667,12.0,1.0,0.0,0.0
