"Mean","Max","Min","Std","Index","Dataset","GroupLabel","Envelope_Min","Envelope_Max"
0,0,0,0,1,"Dataset 1","Little noise",0,0
-0.0128040821382862,-0.0121138262897462,-0.0135069474537697,0.000282453201672108,2,"Dataset 1","Little noise",-0.0269267422218916,0.0013185779453192
-0.0248981814354545,-0.024319771619636,-0.0255292682080333,0.000225750006576327,3,"Dataset 1","Little noise",-0.0361856817642709,-0.0136106811066382
-0.0367462191727766,-0.0362102005447574,-0.0374172448875142,0.000254523993361461,4,"Dataset 1","Little noise",-0.0494724188408497,-0.0240200195047036
-0.0478499131849938,-0.0474013603283539,-0.0484160130238335,0.000236017900335643,5,"Dataset 1","Little noise",-0.0596508082017759,-0.0360490181682116
-0.0586594300274079,-0.0580010767102541,-0.0594694509100974,0.000293652961820995,6,"Dataset 1","Little noise",-0.0733420781184577,-0.0439767819363582
-0.0687052628973604,-0.0681032294131107,-0.0692201847932986,0.000228342643402138,7,"Dataset 1","Little noise",-0.0801223950674673,-0.0572881307272535
-0.0787557867794753,-0.0781974278509471,-0.0793667194106847,0.000235892096390955,8,"Dataset 1","Little noise",-0.090550391599023,-0.0669611819599275
-0.0879192100757938,-0.0872504933334104,-0.0885177297322127,0.00025789969414441,9,"Dataset 1","Little noise",-0.100814194783014,-0.0750242253685733
-0.0970866580932872,-0.0965075212399819,-0.0976185885109805,0.000261610523088597,10,"Dataset 1","Little noise",-0.110167184247717,-0.0840061319388574
-0.105470777054971,-0.104806628045426,-0.106150921647388,0.000240999323427809,11,"Dataset 1","Little noise",-0.117520743226361,-0.0934208108835805
-0.113646700259754,-0.112892156077385,-0.114123540579613,0.000250369641686937,12,"Dataset 1","Little noise",-0.126165182344101,-0.101128218175407
-0.121222483630268,-0.120550927283609,-0.12181139171095,0.000275791704434115,13,"Dataset 1","Little noise",-0.135012068851974,-0.107432898408562
-0.128248508406519,-0.127637364636441,-0.128801162035143,0.00027817370929575,14,"Dataset 1","Little noise",-0.142157193871306,-0.114339822941731
-0.134840882338135,-0.134193166359154,-0.135279929558716,0.000253630066873097,15,"Dataset 1","Little noise",-0.14752238568179,-0.12215937899448
-0.141414820125423,-0.140909560114228,-0.141984992402828,0.000277570112399312,16,"Dataset 1","Little noise",-0.155293325745389,-0.127536314505457
