xdata,sfr_data,bfsfr_data,real_data
0.0,-0.0,-0.0,-0.003078656150394055
0.05,-0.011877399854860825,-0.014340171016385524,-0.0032802460450229915
0.1,-0.02321604348792352,-0.026855099147300564,-0.015180487105056628
0.15,-0.03403683022847357,-0.041977071883362374,-0.026520925641443364
0.2,-0.04435988826859383,-0.050818403377395314,-0.03757819700865449
0.25,-0.054204602598536586,-0.062427583486273225,-0.0481112510886942
0.3,-0.06358964193722354,-0.0759070413691509,-0.05880580805388976
0.35,-0.07253298469390597,-0.08207614335860186,-0.06899597213207127
0.4,-0.08105194399576536,-0.08591137492491387,-0.07805822434298827
0.45,-0.08916319181497236,-0.08860289722906636,-0.08667597237916551
0.5,-0.09688278222746635,-0.09739304430989831,-0.09528239584093094
0.55,-0.10422617383464487,-0.10478863592901662,-0.10346617406350127
0.6,-0.11120825137800772,-0.11441303537290097,-0.11092425914488444
0.65,-0.11784334657567008,-0.11835501787605082,-0.11800326311802561
0.7,-0.1241452582087005,-0.12090809356141681,-0.12479521435800409
0.75,-0.13012727148420317,-0.12139576491503665,-0.13123584264363916
0.8,-0.1358021767010653,-0.12643393940716116,-0.13692505360511117
0.85,-0.14118228724345644,-0.12523172318302436,-0.14230425115462672
0.9,-0.14627945692613054,-0.136974296564279,-0.14741317395014905
0.95,-0.15110509671486944,-0.13871379342782372,-0.15223634268088312
1.0,-0.15567019084443795,-0.14457695609395987,-0.157555575257482
1.05,-0.15998531235572155,-0.14709409061550846,-0.16258782217827372
1.1,-0.16406063807286111,-0.14645268225831126,-0.166993416196496
1.15,-0.1679059630405204,-0.15346167768915953,-0.17114641670225658
1.2,-0.17153071444062853,-0.16306078143021796,-0.1747999117908692
1.25,-0.17494396500733628,-0.16432259710805558,-0.17822971408880822
1.3,-0.1781544459581651,-0.17812773055871228,-0.1814568304887318
1.35,-0.18117055945873037,-0.18394664864252708,-0.1844784734628034
1.4,-0.18400039063778947,-0.17858788152394836,-0.18785889989538312
1.45,-0.1866517191687883,-0.18134646898844356,-0.19103336622135447
1.5,-0.18913203043343127,-0.1814820044262789,-0.19369716366793538
1.55,-0.1914485262823005,-0.18009474815181495,-0.19618207944325813
1.6,-0.19360813540704455,-0.17668752500825635,-0.19869034413640396
1.65,-0.19561752333801738,-0.17367075918578576,-0.20102865964304542
1.7,-0.197483102080872,-0.17640521645512347,-0.2031644870871876
1.75,-0.19921103940507212,-0.17877351489972007,-0.20514603075271196
1.8,-0.20080726779681973,-0.18382451746551404,-0.20710278763876014
1.85,-0.20227749308845125,-0.18670303682919928,-0.20891456422974394
1.9,-0.20362720277595603,-0.18918372239996223,-0.21046625826819496
1.95,-0.2048616740357957,-0.19490457784570558,-0.21188930837403336
2.0,-0.20598598145185176,-0.1929204041385021,-0.21259471676086072
2.05,-0.2070050044629097,-0.18716503051199254,-0.21320167523076575
2.1,-0.20792343454073092,-0.1909169187367412,-0.21430087756179803
2.15,-0.20874578210840936,-0.19074463280517562,-0.21529207070750983
2.2,-0.2094763832083137,-0.18893757257998214,-0.2164362982386069
2.25,-0.21011940592866124,-0.1908497678507674,-0.21747401576634337
2.3,-0.2106788565974037,-0.19207681380137026,-0.21827466204900053
2.35,-0.2111585857517344,-0.19086072547275812,-0.21898257062153412
2.4,-0.21156229389137093,-0.19044772132926965,-0.21854151207709988
2.45,-0.2118935370233226,-0.19081252618138259,-0.21804993026223163
2.5,-0.2121557320056949,-0.1934187668854749,-0.21822890128113515
2.55,-0.21235216169771132,-0.1983301889418646,-0.21833996939532302
2.6,-0.21248597992298457,-0.20353936262793126,-0.21836971621436377
2.65,-0.21256021625269417,-0.20255661630298366,-0.21833869043087054
2.7,-0.21257778061520385,-0.20377847255106452,-0.21846880895235296
2.75,-0.21254146773834925,-0.2050079501006627,-0.21853722210020882
2.8,-0.21245396143039696,-0.20451609534483356,-0.21826390027956338
2.85,-0.21231783870553078,-0.20400671580672258,-0.21794391674235825
2.9,-0.2121355737594065,-0.19793223914960512,-0.21775362858289435
2.95,-0.2119095418002267,-0.19942430557334184,-0.21751608111335655
3.0,-0.21164202274051575,-0.20138735627529866,-0.2177830004558318
3.05,-0.21133520475460052,-0.19851573277804482,-0.21799008193881578
3.1,-0.21099118770666025,-0.19732894798175837,-0.21788113104931608
3.15,-0.21061198645399307,-0.19559923901631465,-0.2177262947898915
3.2,-0.21019953403001812,-0.19432894591087532,-0.21733008992315836
3.25,-0.20975568471129014,-0.18923931052420895,-0.2168989946898039
3.3,-0.20928221697280536,-0.18436016673460587,-0.21602814343061305
3.35,-0.2087808363355144,-0.1798231912389935,-0.21513924919637015
3.4,-0.20825317811002433,-0.1803944562421591,-0.21452493106009438
3.45,-0.20770081004017926,-0.18376245509317365,-0.21388598860778163
3.5,-0.20712523485013373,-0.183474660886536,-0.21329856624527635
3.55,-0.2065278926984293,-0.19126096333802234,-0.2126872330784362
3.6,-0.2059101635424156,-0.18759817318129152,-0.2118128091199045
3.65,-0.20527336941622545,-0.18540764066909168,-0.21092513014872308
3.7,-0.2046187766254734,-0.1868752003607594,-0.2101005800226287
3.75,-0.20394759786164743,-0.18343429912599174,-0.20926259830923277
3.8,-0.20326099423910032,-0.17705060760971025,-0.20866904039554038
3.85,-0.20256007725744815,-0.17862489024682202,-0.20805606060790072
3.9,-0.20184591069205612,-0.1852389112092774,-0.207815081074256
3.95,-0.20111951241523068,-0.1786842980790292,-0.20754480248360088
4.0,-0.2003818561505918,-0.18373394132233664,-0.2058803785201675
4.05,-0.19963387316305886,-0.18124052213495556,-0.20423334805395693
4.1,-0.19887645388678246,-0.17821876325785213,-0.20306330893686217
4.15,-0.198110449493263,-0.17252632548221297,-0.20189599553982449
4.2,-0.19733667340179933,-0.1717799778000008,-0.20149016079180493
4.25,-0.196555902734387,-0.17627429334249506,-0.2010638292226854
4.3,-0.19576887971705403,-0.17859658576728482,-0.20043354838826866
4.35,-0.19497631302957144,-0.17255915339765923,-0.1997911160393438
4.4,-0.1941788791054254,-0.1672701225570118,-0.19884623051661862
4.45,-0.1933772233838292,-0.16644449698740882,-0.19790032899765428
4.5,-0.192571961515541,-0.16512998291072073,-0.1971880304413763
4.55,-0.19176368052412673,-0.1650444711537794,-0.19646833137286504
4.6,-0.1909529399243091,-0.16347988259979981,-0.19526670256706335
4.65,-0.1901402727989449,-0.16546939922371373,-0.19407427963158033
4.7,-0.1893261868361426,-0.16978362259766316,-0.19287632132777627
4.75,-0.18851116532795462,-0.16455272894484782,-0.19168835665615805
4.8,-0.1876956681320383,-0.16706301021750133,-0.19096774234616118
4.85,-0.18688013259763564,-0.16108274650588794,-0.19024278992492932
4.9,-0.1860649744571777,-0.16228643289656258,-0.18992328344982348
4.95,-0.18525058868472558,-0.15946724101900137,-0.18958757888381145
5.0,-0.18443735032249664,-0.1571921490452735,-0.1889748989744228
5.05,-0.1836256152766067,-0.15656482241930625,-0.18835630286293428
5.1,-0.18281572108316535,-0.1574172684882975,-0.18730318370088236
5.15,-0.18200798764577453,-0.1530295622014176,-0.18625903772822863
5.2,-0.1812027179455132,-0.152286100717153,-0.1856995823323716
5.25,-0.18040019872435362,-0.15166710248444656,-0.18513413620499494
5.3,-0.179600701143055,-0.1537019363675727,-0.18417631755127767
5.35,-0.17880448141437222,-0.15727284877815506,-0.18322600483301946
5.4,-0.17801178141254076,-0.1632111515223923,-0.1821200599414093
5.45,-0.17722282925989566,-0.1599499373633529,-0.18102705339346506
5.5,-0.17643783989142764,-0.1597748062763472,-0.1800429226051656
5.55,-0.17565701559812333,-0.1608426349045044,-0.17906851452261735
5.6,-0.17488054654982557,-0.16214493763393698,-0.17804653432618697
5.65,-0.17410861129838687,-0.1655866269573774,-0.177036140769254
5.7,-0.1733413772618139,-0.16421377922743383,-0.17617514181860847
5.75,-0.1725790011901264,-0.15808301809444503,-0.1753212299817373
5.8,-0.1718216296135809,-0.16169023526442838,-0.17473784409371243
5.85,-0.17106939927389106,-0.16204567917158538,-0.17415333335544497
5.9,-0.17032243753909881,-0.16515052473004974,-0.17301286262526777
5.95,-0.16958086280266738,-0.15923179007906157,-0.17188965999365735
6.0,-0.16884478486739293,-0.15688761808964735,-0.17126675255836873
6.05,-0.16811430531467195,-0.15637808769693948,-0.17064516592510204
6.1,-0.1673895178596876,-0.15072722002207606,-0.1702919624952306
6.15,-0.16667050869299463,-0.1546651872101065,-0.16993208941771004
6.2,-0.16595735680904955,-0.15588793426772166,-0.16923043865356055
6.25,-0.16525013432212124,-0.15394727805254546,-0.16853383583446163
6.3,-0.1645489067700682,-0.15111678736857345,-0.16803125825322074
6.35,-0.16385373340642798,-0.1531686138406054,-0.16752792899062358
6.4,-0.1631646674812405,-0.14742857523939681,-0.16676617672527172
6.45,-0.16248175651103747,-0.14650931974032588,-0.1660124793385915
6.5,-0.1618050425383588,-0.1434563368014853,-0.1659739099960634
6.55,-0.16113456238124185,-0.14434586515412473,-0.16592085272562523
6.6,-0.16047034787299364,-0.142500377638017,-0.16548041988187714
6.65,-0.15981242609263438,-0.14082128933857338,-0.16503888528181784
6.7,-0.1591608195863669,-0.1411565952004139,-0.1636615909175297
6.75,-0.15851554658037176,-0.13484288252343465,-0.1623135333231821
6.8,-0.15787662118528978,-0.13657568369694106,-0.1616252929403184
6.85,-0.15724405359264484,-0.13299329063049575,-0.1609446750977704
6.9,-0.15661785026356476,-0.13259900929515045,-0.159642442807296
6.95,-0.1559980141100601,-0.12844964617437274,-0.1583678173773453
7.0,-0.1553845446691106,-0.12570860098003644,-0.15808840891313317
7.05,-0.15477743826987353,-0.12693257556587706,-0.1578043462336415
7.1,-0.15417668819424932,-0.12361584646935897,-0.15729968217336132
7.15,-0.15358228483102837,-0.122060565751487,-0.15679800496606558
7.2,-0.1529942158239084,-0.12034900885594618,-0.15638301332832275
