xdata,sfr_data,bfsfr_data,real_data
0.0,-0.0,-0.0,-3.35788174604023e-5
0.05,-0.01437790593933883,-0.015502458704972183,-3.547601403598603e-5
0.1,-0.028308804705521773,-0.035510124101830055,-0.015144113317890881
0.15,-0.04180140833032801,-0.049909461146213155,-0.029764809255124012
0.2,-0.054864343153372984,-0.06522293994345184,-0.04391900173170367
0.25,-0.06750614848902003,-0.07779177596838639,-0.05760502445718212
0.3,-0.07973527538409186,-0.09287833390509319,-0.07087617781226094
0.35,-0.09156008546380984,-0.1017823282273132,-0.0836979066857541
0.4,-0.1029888498634806,-0.1157303747432854,-0.09601469750273964
0.45,-0.11402974824341533,-0.12733977481835695,-0.10790228676218984
0.5,-0.12469086788463173,-0.13901535360925157,-0.11936506754521224
0.55,-0.1349802028630128,-0.15186906258610228,-0.13041731106637638
0.6,-0.144905653299503,-0.1597928130157569,-0.1411317605139651
0.65,-0.15447502468410032,-0.1713197034304813,-0.15145263814809734
0.7,-0.16369602727135282,-0.17986224929612163,-0.16139175362263794
0.75,-0.17257627554517255,-0.19138509590174188,-0.1709548789198795
0.8,-0.18112328775076614,-0.2025850000438764,-0.18012450546369113
0.85,-0.18934448549158311,-0.2164216909256451,-0.1889357599621346
0.9,-0.1972471933891855,-0.22614892765872585,-0.1973433804789557
0.95,-0.20483863880400077,-0.23316758246817593,-0.20541024694848037
1.0,-0.21212595161492248,-0.23666262632939497,-0.21323135065290963
1.05,-0.21911616405586862,-0.24291250764731057,-0.2207263211410765
1.1,-0.2258162106072932,-0.2520098503309213,-0.2278269929178563
1.15,-0.23223292794082492,-0.256673425528148,-0.23461859101793853
1.2,-0.2383730549151899,-0.2622294995510996,-0.2411350999699921
1.25,-0.24424323262156944,-0.2696352175647822,-0.2473572732873597
1.3,-0.2498500044766848,-0.27726810532655166,-0.2532576525893926
1.35,-0.25519981636185685,-0.28479489339475966,-0.2588790521919892
1.4,-0.26029901680632717,-0.288051332439186,-0.2643136028278585
1.45,-0.26515385721325974,-0.2866487529843562,-0.269481914480079
1.5,-0.26977049212671317,-0.293852242953432,-0.2743077902934804
1.55,-0.27415497953810436,-0.29811393210792764,-0.27888271100238077
1.6,-0.2783132812305206,-0.3046669187536459,-0.2832636817202109
1.65,-0.2822512631594655,-0.3130898287339542,-0.2874061213127966
1.7,-0.2859746958685099,-0.3191434604305997,-0.2913163686501485
1.75,-0.2894892549384032,-0.3215882271419993,-0.29500096001247
1.8,-0.29280052146827895,-0.3254400079093365,-0.29845774485361576
1.85,-0.29591398258756596,-0.32849372719591186,-0.3017014433466235
1.9,-0.2988350319972465,-0.3301845609002869,-0.30475491483101436
1.95,-0.3015689705391811,-0.3311817097113717,-0.3076069725168543
2.0,-0.3041210067922048,-0.328236765378787,-0.3102255474211613
2.05,-0.30649625769378624,-0.3305174921984287,-0.3126549199913314
2.1,-0.30869974918598025,-0.3377803695768048,-0.31488374123082064
2.15,-0.31073641688455084,-0.34394462629123573,-0.31693475784154646
2.2,-0.31261110677006876,-0.3467466339562887,-0.31883913380595014
2.25,-0.3143285758998843,-0.35117614332795277,-0.32057591413295095
2.3,-0.3158934931398814,-0.35603947306048156,-0.3221840266852627
2.35,-0.3173104399149196,-0.3582430950088169,-0.3236342014974685
2.4,-0.3185839109769844,-0.3578958794164574,-0.32494213129769045
2.45,-0.3197183151899713,-0.35616797525395777,-0.3261017928650293
2.5,-0.3207179763301557,-0.35436349679322504,-0.3271047714019927
2.55,-0.3215871339014063,-0.3514807376004457,-0.32796918158083144
2.6,-0.3223299439641648,-0.3453423931591453,-0.3286826069408098
2.65,-0.3229504799773492,-0.3483426240742191,-0.32926683919527616
2.7,-0.32345273365224486,-0.3476491817420467,-0.32973295868703156
2.75,-0.3238406158175778,-0.3448795254798432,-0.3300784542688921
2.8,-0.32411795729489473,-0.34529950095652695,-0.3302780065762581
2.85,-0.32428850978348894,-0.34420465797745303,-0.3303657790614136
2.9,-0.3243559467540697,-0.34791574642860057,-0.3303252899398345
2.95,-0.32432386435040106,-0.3457779340604229,-0.3301813349627956
3.0,-0.3241957822982105,-0.34319339482066963,-0.33000168494364895
3.05,-0.3239751448206178,-0.34603734797694485,-0.3297250224464773
3.1,-0.3236653215594236,-0.34576793026779495,-0.329306509159014
3.15,-0.32326960850156145,-0.3453657441884643,-0.3287991105049145
3.2,-0.32279122891008266,-0.3457061353108058,-0.32823440419242333
3.25,-0.3222333342590225,-0.3478686676254857,-0.3275872309928606
3.3,-0.32159900517158097,-0.34398406774892104,-0.326837422837736
3.35,-0.32089125236097277,-0.350587555317603,-0.3260121670146182
3.4,-0.32011301757343774,-0.34974345566462,-0.32513856648228046
3.45,-0.3192671745327935,-0.3461430088020638,-0.3241953728799465
3.5,-0.31835652988606833,-0.34136729604043525,-0.3231265450400417
3.55,-0.3173838241496636,-0.338850978406585,-0.32199515625168923
3.6,-0.31635173265551636,-0.33862118647937783,-0.3209023203606835
3.65,-0.31526286649688423,-0.33784297269534613,-0.3197508455438379
3.7,-0.31411977347316444,-0.3387503134242745,-0.3185072184302459
3.75,-0.31292493903341717,-0.3369936383638455,-0.3172110060747838
3.8,-0.31168078721807324,-0.3330817360190907,-0.3158300942043618
3.85,-0.31038968159848485,-0.33331239706351296,-0.314402337597149
3.9,-0.30905392621388417,-0.3314816019775414,-0.31296656001629114
3.95,-0.3076757665053522,-0.3312760731893809,-0.31148813672253933
4.0,-0.3062573902464894,-0.3295008436569596,-0.3099346442464042
4.05,-0.3048009284703845,-0.327394936764577,-0.3083437208754702
4.1,-0.30330845639256976,-0.33125745255174904,-0.3067476027635698
4.15,-0.30178199432960967,-0.33263342026680076,-0.3051178570774105
4.2,-0.3002235086130547,-0.3321389602053988,-0.3035114591677704
4.25,-0.29863491249844804,-0.329266532538832,-0.30187456132996804
4.3,-0.29701806706906325,-0.31997891146047747,-0.30017154611719743
4.35,-0.2953747821341647,-0.3174508051609701,-0.2984425865449572
4.4,-0.2937068171214925,-0.31317467088407996,-0.2967056787524064
4.45,-0.2920158819637102,-0.3090448523118772,-0.2949461937205941
4.5,-0.29030363797865205,-0.3083066073965756,-0.29308792434221603
4.55,-0.2885716987430328,-0.305058248137944,-0.2912119084349563
4.6,-0.28682163095953894,-0.30448259912119563,-0.28930668520080194
4.65,-0.28505495531697084,-0.3022670084099514,-0.28738716519125107
4.7,-0.2832731473433441,-0.3008037463625278,-0.2854952554656313
4.75,-0.28147763825172817,-0.2940292226615352,-0.2835913442181771
4.8,-0.2796698157786293,-0.291121838731669,-0.28168022429601075
4.85,-0.2778510250148029,-0.29048607543799876,-0.2797598755889675
4.9,-0.2760225692283203,-0.2853397680844239,-0.27787115534409196
4.95,-0.27418571067974146,-0.28591414465881165,-0.2759751533065347
5.0,-0.2723416714292714,-0.2841453960690358,-0.27410166442241285
5.05,-0.2704916341357661,-0.2822106942705254,-0.27222287085167435
5.1,-0.26863674284749983,-0.2774036447702804,-0.270261552420032
5.15,-0.2667781037845284,-0.27857792193480657,-0.26829864901309236
5.2,-0.2649167861126182,-0.2759787614212568,-0.2663797435570555
5.25,-0.26305382270858574,-0.2772231760622602,-0.26446060570642826
5.3,-0.2611902109170236,-0.27533539197919343,-0.2624700320593137
5.35,-0.25932691329826874,-0.27555333716350855,-0.26048251266452677
5.4,-0.25746485836760497,-0.2707946839163123,-0.2584984614854706
5.45,-0.25560494132559963,-0.26693481248601303,-0.25651930980453047
5.5,-0.2537480247795299,-0.2657306462891649,-0.2545802410505011
5.55,-0.2518949394558449,-0.26451053419262543,-0.25264715575952434
5.6,-0.25004648490361614,-0.25662985948296163,-0.2507551896535072
5.65,-0.24820343018896673,-0.2539516743212033,-0.24887016507941342
5.7,-0.24636651458039116,-0.2510760979343703,-0.24694897097118274
5.75,-0.24453644822500598,-0.2513802972787792,-0.24503694896929565
5.8,-0.2427139128156577,-0.25313504952944765,-0.24318778037433508
5.85,-0.24089956224890105,-0.2548315391069014,-0.24134815858938546
5.9,-0.23909402327382717,-0.25375178151142314,-0.23952564391833114
5.95,-0.23729789613174573,-0.25288824166744317,-0.23771376860819807
6.0,-0.23551175518669662,-0.25161430801652346,-0.23584108575719334
6.05,-0.23373614954684568,-0.24711543591797006,-0.23398143229420124
6.1,-0.23197160367670033,-0.24434483821945036,-0.23217758394795307
6.15,-0.2302186180002291,-0.24026921781702149,-0.23038699913615665
6.2,-0.2284776694948519,-0.2367319770167892,-0.22856471845754148
6.25,-0.22674921227636113,-0.2346939992162156,-0.2267574073984948
6.3,-0.22503367817476078,-0.23051782518571945,-0.2249751796404347
6.35,-0.2233314773010802,-0.2289209667881782,-0.22320854134566676
6.4,-0.22164299860518355,-0.2273291294886159,-0.2215397397944591
6.45,-0.21996861042461813,-0.224408036190895,-0.2198857766906587
6.5,-0.21830866102451213,-0.22245686959791175,-0.2182415217536891
6.55,-0.21666347912862632,-0.22394968796122572,-0.2166128458123119
6.6,-0.21503337444151904,-0.22307876372020988,-0.21493146314858133
6.65,-0.21341863816196316,-0.21907964172484867,-0.21326744357738145
6.7,-0.21181954348757406,-0.22178912434346695,-0.2116550294236517
6.75,-0.2102363461107979,-0.21815173835829618,-0.2100598456506231
6.8,-0.20866928470622526,-0.2156433977291596,-0.2084754305081537
6.85,-0.20711858140935302,-0.21299344389831476,-0.20690877504720376
6.9,-0.20558444228682368,-0.2093303692763066,-0.2053615961829549
6.95,-0.20406705779821033,-0.20862717468630926,-0.20383249259623587
7.0,-0.2025666032494314,-0.20834249329279836,-0.20223746238199095
7.05,-0.20108323923781535,-0.20479211632249605,-0.2006622860863488
7.1,-0.19961711208894392,-0.20548874891584,-0.19922707423161826
7.15,-0.19816835428528348,-0.20565843347873194,-0.19780978229520202
7.2,-0.1967370848867402,-0.20510124672734012,-0.19637605210327977
7.25,-0.19532340994314834,-0.20134023728867106,-0.1949610317746523
7.3,-0.1939274228988175,-0.20126854209052655,-0.1935754612939613
7.35,-0.19254920498917832,-0.2023661710582012,-0.1922085285185697
7.4,-0.1911888256296354,-0.2002629606359842,-0.19086070984279685
7.45,-0.18984634279668117,-0.19940453280962292,-0.18953159437814016
7.5,-0.18852180340136504,-0.1977291369056895,-0.18823900251959577
7.55,-0.18721524365519926,-0.19659152190785012,-0.18696482656529237
7.6,-0.1859266894285616,-0.19528145632796595,-0.18568386245740873
7.65,-0.18465615660171045,-0.19707411479126594,-0.18442175596696544
7.7,-0.18340365140848913,-0.19415958876774111,-0.18318231974988242
7.75,-0.1821691707727604,-0.18878255645371456,-0.1819616219344118
7.8,-0.1809527026377264,-0.1895932621954174,-0.18074064935491163
7.85,-0.17975422628816753,-0.18527898591837907,-0.17953866752232628
7.9,-0.17857371266569844,-0.18556112854822843,-0.17829310176358765
7.95,-0.17741112467715217,-0.18424666482521726,-0.17706751631245143
8.0,-0.17626641749613672,-0.1811220803504392,-0.17599224365392327
8.05,-0.1751395388578784,-0.18241130870642341,-0.17493446140748745
8.1,-0.17403042934746366,-0.17835058793291314,-0.1738620368686581
8.15,-0.1729390226814928,-0.18003676784796485,-0.17280750905998157
8.2,-0.17186524598333097,-0.17825654810074948,-0.1717552744711131
8.25,-0.17080902005194662,-0.17864136685228027,-0.1707210159524295
8.3,-0.16977025962451292,-0.17905806967262713,-0.16965904291286013
8.35,-0.1687488736327989,-0.17867004818781598,-0.16861563369163976
8.4,-0.1677447654534685,-0.17818275986832827,-0.1675898102272595
8.45,-0.16675783315237228,-0.17935094668402185,-0.16658230968278956
8.5,-0.16578796972291218,-0.18006124470845486,-0.1655882356491665
8.55,-0.1648350633185709,-0.1800351072990216,-0.16461229336063207
8.6,-0.16389899747970027,-0.18113316759302328,-0.16368986847191058
8.65,-0.16297965135465642,-0.1802075486550817,-0.16278464837910672
8.7,-0.16207689991535243,-0.18014278283308896,-0.16189854404822232
8.75,-0.16119061416733,-0.17805664910899816,-0.16102930662121717
8.8,-0.16032066135445114,-0.1782242109529728,-0.16020355338596987
8.85,-0.159466905158264,-0.175380527310303,-0.1593938765477638
8.9,-0.15862920589215096,-0.17169224168937972,-0.158612880538374
8.95,-0.1578074206903464,-0.1659423798047551,-0.15784741495099883
9.0,-0.157001403691892,-0.16532355281069286,-0.15701594026582588
9.05,-0.15621100621963394,-0.1631382355395276,-0.15620111855337365
9.1,-0.15543607695434325,-0.15842022651692209,-0.15543812542218366
9.15,-0.15467646210402997,-0.1595552507015624,-0.15469080121916104
9.2,-0.1539320055685355,-0.15929065835421372,-0.1539789332646019
9.25,-0.1532025490995215,-0.1583477888952955,-0.15328202496012583
9.3,-0.15248793245588546,-0.15590706123761797,-0.15266024847891127
9.35,-0.15178799355471442,-0.15958479250078736,-0.15205200268662386
9.4,-0.15110256861786464,-0.15616223544958108,-0.15138334052387248
9.45,-0.1504314923142143,-0.15389823750232712,-0.1507291775596663
9.5,-0.1497745978977212,-0.15081686226968063,-0.15008473724351828
9.55,-0.1491317173413087,-0.15307966426821001,-0.14945451156159292
9.6,-0.14850268146668455,-0.15118863931594345,-0.14883322416933423
9.65,-0.1478873200701944,-0.14809544044245865,-0.14822587140939403
9.7,-0.1472854620447295,-0.1444746903802576,-0.14766428713601945
9.75,-0.1466969354978275,-0.14288922025448506,-0.14711569366465158
9.8,-0.14612156786598954,-0.14241395281499503,-0.14654521563519665
9.85,-0.14555918602531895,-0.14226242747291798,-0.14598797866540947
9.9,-0.1450096163985549,-0.14166447424951512,-0.14546936402930294
9.95,-0.14447268505855568,-0.13968988139198196,-0.1449631594613482
10.0,-0.14394821782831926,-0.13206794371063896,-0.14449268110345287
10.05,-0.14343604037760826,-0.13256316735947105,-0.1440338256143639
10.1,-0.1429359783162642,-0.13315821689997143,-0.14355412302287976
10.15,-0.14244785728422418,-0.13523496923299846,-0.14308625638197173
10.2,-0.14197150303841893,-0.13476877914466073,-0.14261206134220378
10.25,-0.14150674153649517,-0.1353508705393007,-0.1421496547442632
10.3,-0.14105339901750683,-0.13528496796705958,-0.14171802033565004
10.35,-0.1406113020796498,-0.13667362677583947,-0.14129746365734577
10.4,-0.1401802777550337,-0.13196135683077287,-0.14087546746636534
10.45,-0.13976015358164826,-0.12891318910619864,-0.14046440667379975
10.5,-0.13935075767249197,-0.12851664666180698,-0.14004786099540267
10.55,-0.13895191878203067,-0.13161633263051015,-0.13964217824708813
10.6,-0.13856346636994593,-0.1265136632801902,-0.13929286546024383
10.65,-0.1381852306623152,-0.12776210993633566,-0.13895324094859962
10.7,-0.13781704271024023,-0.12641593560203315,-0.1386352943997463
10.75,-0.13745873444598472,-0.12408391260602356,-0.13832647413182933
10.8,-0.1371101387367192,-0.12802595588720847,-0.13798219885587262
10.85,-0.13677108943586927,-0.1316447486314897,-0.1376475030352055
10.9,-0.13644142143217922,-0.13109863983524658,-0.13733121884710991
10.95,-0.13612097069653453,-0.13050467364908352,-0.13702401105328882
11.0,-0.1358095743265567,-0.1277110663738911,-0.13670408692537359
11.05,-0.13550707058909878,-0.13086406024403457,-0.13639328884143795
11.1,-0.13521329896062842,-0.129037206694812,-0.13612495230858573
11.15,-0.13492810016558873,-0.126976363136423,-0.13586481075172707
11.2,-0.1346513162127886,-0.12232837689740247,-0.13561041151969397
11.25,-0.1343827904298351,-0.12334868414735284,-0.13536392765529934
11.3,-0.1341223674957334,-0.13076358775271843,-0.13512358326132085
11.35,-0.13386989347161346,-0.12582636009142104,-0.13489086862407765
11.4,-0.13362521582969844,-0.12671922154561224,-0.13464178178893796
11.45,-0.1333881834805549,-0.12437215364188633,-0.13440044091137146
