xdata,sfr_data,bfsfr_data,real_data
0.0,-0.0,-0.0,-0.009162649631978765
0.05,-0.01437790593933883,-0.020335849159069972,-0.00979178103882837
0.1,-0.028308804705521773,-0.037573168123130114,-0.023391843265486694
0.15,-0.04180140833032801,-0.05456736492240494,-0.03652926568796837
0.2,-0.054864343153372984,-0.08185618266385167,-0.04990240978979726
0.25,-0.06750614848902003,-0.09236894660452023,-0.06282035341235812
0.3,-0.07973527538409186,-0.10505937425920202,-0.0770921955517145
0.35,-0.09156008546380984,-0.12282853771524009,-0.09089620305139264
0.4,-0.1029888498634806,-0.1365048199389091,-0.10250023797145746
0.45,-0.11402974824341533,-0.15439365500937766,-0.11368680322758758
0.5,-0.12469086788463173,-0.16561207232797792,-0.12558919052637008
0.55,-0.1349802028630128,-0.17852270856396857,-0.13707256687691677
0.6,-0.144905653299503,-0.18769280799485535,-0.14727989425244709
0.65,-0.15447502468410032,-0.2002233485769875,-0.1571018841494228
0.7,-0.16369602727135282,-0.20980792522233777,-0.1667547930677319
0.75,-0.17257627554517255,-0.22304105239263092,-0.176036231615522
0.8,-0.18112328775076614,-0.2444476353592105,-0.18383318929629375
0.85,-0.18934448549158311,-0.25462905320576185,-0.19129575226384787
0.9,-0.1972471933891855,-0.26502014047089556,-0.1985050516352523
0.95,-0.20483863880400077,-0.2683308275579683,-0.20539499288673396
1.0,-0.21212595161492248,-0.2749667541616269,-0.21405741373049686
1.05,-0.21911616405586862,-0.2705415854893021,-0.22237924418045213
1.1,-0.2258162106072932,-0.2844763428985358,-0.22941717728498268
1.15,-0.23223292794082492,-0.2730347988201655,-0.2361473366329498
1.2,-0.2383730549151899,-0.2767940525087318,-0.241880543949369
1.25,-0.24424323262156944,-0.2790751501510231,-0.24733355210401878
1.3,-0.2498500044766848,-0.28479848315301004,-0.2525448878939461
1.35,-0.25519981636185685,-0.2813044858065711,-0.2574899832212063
1.4,-0.26029901680632717,-0.2899879128490327,-0.2636793327185617
1.45,-0.26515385721325974,-0.2892104836993623,-0.2695897277129835
1.5,-0.26977049212671317,-0.30513907927919365,-0.27437991809584644
1.55,-0.27415497953810436,-0.29974708386841964,-0.27892019830133885
1.6,-0.2783132812305206,-0.2874134407368672,-0.28374372558573946
1.65,-0.2822512631594655,-0.29986542903461877,-0.28832125511956636
1.7,-0.2859746958685099,-0.3004692683059154,-0.2925513906199951
1.75,-0.2894892549384032,-0.297679788704009,-0.2965504081855446
1.8,-0.29280052146827895,-0.3093234804538547,-0.3006568541916177
1.85,-0.29591398258756596,-0.3086529513118655,-0.3045387583339918
1.9,-0.2988350319972465,-0.30593439219189333,-0.30787351127828083
1.95,-0.3015689705391811,-0.3004647769895906,-0.311001706923128
2.0,-0.3041210067922048,-0.3038596747597266,-0.3123195599283215
2.05,-0.30649625769378624,-0.3043860747822276,-0.31347111673573347
2.1,-0.30869974918598025,-0.31435938129070573,-0.3160479553574351
2.15,-0.31073641688455084,-0.31915953593073176,-0.3184410468300952
2.2,-0.31261110677006876,-0.320634571553096,-0.3213489961147619
2.25,-0.3143285758998843,-0.32862680010294176,-0.3240716061589426
2.3,-0.3158934931398814,-0.3278334365180557,-0.32624776125820565
2.35,-0.3173104399149196,-0.3145702580752405,-0.32825561160022326
2.4,-0.3185839109769844,-0.3026297545648722,-0.32722989381632483
2.45,-0.3197183151899713,-0.297448170311503,-0.32609697015019135
2.5,-0.3207179763301557,-0.3110888867381901,-0.3268053288495508
2.55,-0.3215871339014063,-0.3192545058765262,-0.3273807762069705
2.6,-0.3223299439641648,-0.32595263085380616,-0.3277824169781506
2.65,-0.3229504799773492,-0.3271681071900471,-0.3280609193873808
2.7,-0.32345273365224486,-0.3326324826376531,-0.32881289343531633
2.75,-0.3238406158175778,-0.3398952394551306,-0.329439760019275
2.8,-0.32411795729489473,-0.3360393450437271,-0.32917951663426226
2.85,-0.32428850978348894,-0.32905306934027423,-0.32881614894215705
2.9,-0.3243559467540697,-0.31895800019241916,-0.3288240842908991
2.95,-0.32432386435040106,-0.305436935825994,-0.3287283175326467
3.0,-0.3241957822982105,-0.3073205758076521,-0.33001912564236285
3.05,-0.3239751448206178,-0.2919134597170052,-0.33118734213509915
3.1,-0.3236653215594236,-0.27966108098796527,-0.3315355496137496
3.15,-0.32326960850156145,-0.26767465398140783,-0.3317812519466833
3.2,-0.32279122891008266,-0.253933701994595,-0.3313924907975753
3.25,-0.3222333342590225,-0.2458265881285217,-0.3309178720893203
3.3,-0.32159900517158097,-0.23825985525003637,-0.32925962662466435
3.35,-0.32089125236097277,-0.24208702733878526,-0.32754178187590277
3.4,-0.32011301757343774,-0.24118009616800137,-0.3265556539043979
3.45,-0.3192671745327935,-0.23854795180851185,-0.32550196545865573
3.5,-0.31835652988606833,-0.23694168405373564,-0.3245855426665495
3.55,-0.3173838241496636,-0.2340486255849173,-0.323603917880856
3.6,-0.31635173265551636,-0.24172391620063796,-0.32190850680307137
3.65,-0.31526286649688423,-0.22783068845493354,-0.32016519002409694
3.7,-0.31411977347316444,-0.225686778272962,-0.31858028774838354
3.75,-0.31292493903341717,-0.23590299285356128,-0.3169491049707163
3.8,-0.31168078721807324,-0.22799002012768713,-0.31596904185966534
3.85,-0.31038968159848485,-0.2310913042624824,-0.314935350998609
3.9,-0.30905392621388417,-0.23367975553083106,-0.31490638530151127
3.95,-0.3076757665053522,-0.2275041237054146,-0.3148099320538507
4.0,-0.3062573902464894,-0.23569254758843422,-0.3109501655231677
4.05,-0.3048009284703845,-0.23642364021800208,-0.30709366741536126
4.1,-0.30330845639256976,-0.2234906393843808,-0.3044862778820841
4.15,-0.30178199432960967,-0.2125820135721392,-0.301863777959283
4.2,-0.3002235086130547,-0.22995356165034037,-0.3012803685241989
4.25,-0.29863491249844804,-0.24421343870361636,-0.30064913320822584
4.3,-0.29701806706906325,-0.24698284971242995,-0.2994722267210117
4.35,-0.2953747821341647,-0.24109840258840282,-0.2982604819035027
4.4,-0.2937068171214925,-0.24420959554673094,-0.2962275315284764
4.45,-0.2920158819637102,-0.2441700975977432,-0.2941775271476698
4.5,-0.29030363797865205,-0.23663151495831003,-0.29274567819424013
4.55,-0.2885716987430328,-0.23037837488445378,-0.29128885052250286
4.6,-0.28682163095953894,-0.23071066828613435,-0.2885223751496954
4.65,-0.28505495531697084,-0.22107947344511042,-0.2857571115750202
4.7,-0.2832731473433441,-0.21748330196479274,-0.2829541340874433
4.75,-0.28147763825172817,-0.21688690409181943,-0.28015585899511786
4.8,-0.2796698157786293,-0.22600509745522707,-0.2786010948985849
