folder_Gaussian(0.0037),folder_Gaussian(0.003),folder_Gaussian(0.0028),folder_Gaussian(0.0043),folder_Gaussian(0.0047),folder_Gaussian(0.0025),folder_Gaussian(0.0001),folder_Gaussian(0.0032),folder_Gaussian(0.0036),folder_Gaussian(0.0023),folder_Gaussian(0.0014),folder_Gaussian(0.0026),folder_Gaussian(0.0031),folder_Gaussian(0.0006),folder_Gaussian(0.0038),folder_Gaussian(0.0034),folder_Gaussian(0.0002),folder_Gaussian(0.0019),folder_Gaussian(0.0013),folder_Gaussian(0.0045),folder_Gaussian(0.0009),folder_Gaussian(0.0004),folder_Gaussian(0.0024),folder_Gaussian(0.0016),folder_Gaussian(0.005),folder_Gaussian(0.0003),folder_Gaussian(0.0039),folder_Gaussian(0.0042),folder_Gaussian(0.001),folder_Gaussian(0.0035),folder_Gaussian(0.0021),folder_Gaussian(0.0008),folder_Gaussian(0.0027),folder_Gaussian(0.0015),folder_Gaussian(0.0022),folder_Gaussian(0.0048),folder_Gaussian(0.0049),folder_Gaussian(0.0017),folder_Gaussian(0.0029),folder_Gaussian(0.0011),folder_Gaussian(0.0041),folder_Gaussian(0.0012),folder_Gaussian(0.0007),folder_Gaussian(0.0018),folder_Gaussian(0.004),folder_Gaussian(0.002),folder_Gaussian(0.0033),folder_Gaussian(0.0005),folder_Gaussian(0.0046),folder_Gaussian(0.0044)
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.012479688972954634,-0.01295413205582085,-0.012993573879774654,-0.012362696679023413,-0.013050887691566551,-0.013176094351547573,-0.012795715756516309,-0.012819387988031417,-0.01309953722148805,-0.012771346436050286,-0.012592571777588872,-0.012764686814180574,-0.012744082421089304,-0.012811961445128037,-0.012855585364825393,-0.012884461233791372,-0.012784989119430181,-0.01269827863608811,-0.012798621048798649,-0.013564828381630563,-0.012820560568779242,-0.012821868997549203,-0.013079429509454878,-0.012921364830702158,-0.012382697388266337,-0.012794789113694756,-0.013018899156104914,-0.012673828911234874,-0.012799755211239477,-0.012534732042096874,-0.012791198713358676,-0.012700497392147821,-0.012694048869419597,-0.012671416640510184,-0.012670531561328038,-0.012452842422793679,-0.012757656089630325,-0.012887917173242664,-0.013067130101994198,-0.01275933710269049,-0.013032844630082287,-0.012825868131853008,-0.012890730251142273,-0.012913540093574996,-0.012917705495598448,-0.012831079371847371,-0.012490787714686676,-0.012798134129681385,-0.013138797890585878,-0.012860024615545848
-0.02389254342951015,-0.024035917658604612,-0.024544039754180604,-0.023838313614542087,-0.021726053035132295,-0.02498271034966314,-0.02501958761769495,-0.02394111534369187,-0.026500335799314732,-0.02588593614064392,-0.024052974287411075,-0.026504817365142937,-0.02589059653659735,-0.02466168425258984,-0.024022215318240843,-0.02629188603723481,-0.024981051897349147,-0.024660232870214384,-0.024837643582970404,-0.02622238108103595,-0.02573645633032989,-0.02513470787010298,-0.026546025594897774,-0.02523759879110836,-0.024709873765235642,-0.024870488336729744,-0.026931134548913188,-0.025352422343730596,-0.025017801772807408,-0.028279670309031467,-0.02480082142467055,-0.02439343797086143,-0.02378208459222291,-0.02475055545931615,-0.02293156279115884,-0.023826309041287727,-0.02888210863326225,-0.02594595186891642,-0.02628595176742492,-0.025610096533478656,-0.02618211576570682,-0.025416594396781438,-0.02537518901320612,-0.027332366466623147,-0.022884583472227393,-0.025330006679845946,-0.02587450176525652,-0.024706704822313075,-0.027746915779710814,-0.02477930525317975
-0.035038626465360795,-0.03541879891228431,-0.036370570903199166,-0.03858939512251241,-0.03027855248670449,-0.03609441652073077,-0.03673372222595617,-0.03630330626291031,-0.03773992251353951,-0.037190342112546515,-0.03628870556928294,-0.039317188970924226,-0.03699695658994412,-0.036085482833283195,-0.03563890714017191,-0.03620395148762959,-0.03666856174111697,-0.03644413661519928,-0.03718618240062856,-0.04081507449587457,-0.03787098546412279,-0.036844942823672386,-0.038811954910613816,-0.037011391634241705,-0.03904377728546068,-0.03648066770084359,-0.04004282080318646,-0.03474711616911819,-0.036584438226463,-0.043465754631679836,-0.03628227881914391,-0.03632429677941611,-0.03492183197403327,-0.03651448695792499,-0.03512817399068926,-0.03888090080090338,-0.03535682698453466,-0.03933348490467942,-0.03805273987372924,-0.03669950391442903,-0.035689495887105974,-0.037487080832509095,-0.03771731829702471,-0.038416230899076344,-0.03544796427143977,-0.037308153301545056,-0.040303899137945985,-0.03614227455846436,-0.03903734793205038,-0.03786605769961306
-0.04551914129704343,-0.04494532162732911,-0.049182175525131606,-0.053669663422565156,-0.04111320012269817,-0.04674722268596069,-0.04785696549594596,-0.047342167060289285,-0.04999048554761474,-0.048184651044789945,-0.04668955027037581,-0.051321921497233615,-0.049668148578577584,-0.04693736139501778,-0.04585134345545792,-0.046819120270559816,-0.04779646065337842,-0.04799301779519032,-0.048817879329596796,-0.054795156767863944,-0.04809426373362352,-0.0487140499797658,-0.050561401397652465,-0.048745617061347286,-0.052237914960946916,-0.047453353315266913,-0.05180057874248871,-0.04873090468931796,-0.04792991569910461,-0.054090464757631664,-0.04766095917251573,-0.047880667227505475,-0.04334469838774479,-0.047500729364715,-0.04558023658685968,-0.049401112668133365,-0.04414115644796751,-0.05104503488476833,-0.04698865311510612,-0.04804166075459507,-0.04669175326801966,-0.04964373753605633,-0.04826814422756428,-0.0475568654219087,-0.04805056698637965,-0.049344281244430445,-0.049762258688741505,-0.04704215555314974,-0.04942877963082853,-0.04669585560429699
-0.05714593789727151,-0.05399009572544483,-0.05789199049299361,-0.06391704899782918,-0.05397869928526372,-0.055218099177464855,-0.058497144381004666,-0.057568513907887954,-0.059896132947140614,-0.06002199442088935,-0.05735507736480883,-0.06111235567207726,-0.0613003869054119,-0.05771747809739212,-0.057449613258192526,-0.05553892599152336,-0.058489821892927084,-0.05898245905870576,-0.058949686385306614,-0.06339184891681675,-0.059018505466421935,-0.05931715032905556,-0.05980006496827665,-0.05910788057648027,-0.06279966180055026,-0.058028398272995704,-0.061456338742844674,-0.061494515927959216,-0.05899933151493208,-0.065594397485118,-0.056705017525384,-0.05868732057270732,-0.05340681869445793,-0.057957171811071115,-0.054462450319079876,-0.05974653562873201,-0.05527892967393159,-0.0608533826015,-0.05753628058305589,-0.05897842388654269,-0.05746039598185573,-0.060261630472871766,-0.05878418117701425,-0.059485358122090215,-0.05743308153674023,-0.05929642702808417,-0.05917550775901737,-0.05779858476949216,-0.06271447236952322,-0.05653709626874732
-0.06798846063807691,-0.06418583652248096,-0.06897425078608888,-0.07140590040621259,-0.06557149946030397,-0.06535602605243088,-0.06857778245128103,-0.06439281387320489,-0.06840412505913132,-0.07016877572795481,-0.06722817705976342,-0.06929801424326681,-0.0712201518587651,-0.0679208214691126,-0.06703586650280369,-0.06493093359651639,-0.06852302459709934,-0.0700552574583493,-0.06799374269640639,-0.07278026376940108,-0.06916727619112312,-0.06933019152045518,-0.0695175233029786,-0.06984251216996103,-0.07443171046656831,-0.0681687703366117,-0.07511770704616301,-0.07064917048188515,-0.068866262125785,-0.07591815471576178,-0.06644341804050381,-0.06867128812030238,-0.0640518380560568,-0.06949641606798145,-0.06383364445573608,-0.06820941354460923,-0.06495838237743211,-0.07061454694131268,-0.06819773153901675,-0.0697593129262018,-0.06933840499438167,-0.07012151553661729,-0.06921197573997301,-0.06980324025606148,-0.06851877296187578,-0.06956225821667993,-0.06756933483684416,-0.06764121395506101,-0.07067894367824659,-0.06860687184319424
-0.07843663846516485,-0.07140360442843789,-0.07829141578432977,-0.0808722860213016,-0.07957961691861992,-0.07487612071855197,-0.07826807013601804,-0.07103869803316212,-0.07749043407998558,-0.08059092309749838,-0.0764704119567076,-0.07792531241791747,-0.08030154935936362,-0.07703546510573071,-0.07435900995208392,-0.07530476938209718,-0.07818401554741464,-0.07966914994399306,-0.0769693222018286,-0.08064793181800348,-0.0787827803937455,-0.07893716224294237,-0.07829395393315494,-0.07973647574824452,-0.08308438558969064,-0.07793305686819715,-0.08481432679864383,-0.08053450084885913,-0.07779089216885411,-0.08577219302482642,-0.07491984539136012,-0.07834956055281764,-0.0752241713393678,-0.07993895385504868,-0.07565638496666015,-0.07962534836033458,-0.07029361613768709,-0.07817812586398812,-0.07476638660837502,-0.07928991571615499,-0.0814646010870502,-0.07880986208561627,-0.07871102960525256,-0.08008234034812939,-0.07436733746325405,-0.07926143654066747,-0.07704435064954084,-0.07735730565425394,-0.07540616909013563,-0.07766439718265447
-0.08536643747245211,-0.07985964434930923,-0.08797224204884048,-0.08910612450310344,-0.08528488751932088,-0.08519765499390226,-0.0874064127530901,-0.07801489880445266,-0.08698021672816786,-0.08991731371030673,-0.08574340516381077,-0.08527456407307181,-0.08801961309385732,-0.08625698541705941,-0.08384968963158754,-0.0840340128674235,-0.08724166348226468,-0.08850141821531902,-0.08560499935080891,-0.0913486186338516,-0.08804967328503893,-0.08809176338967335,-0.0860839369067033,-0.08783898633175083,-0.09385469626540871,-0.08700008716210411,-0.08870331186047956,-0.09115604045291571,-0.0871042562254936,-0.09241777530538664,-0.0838754035583457,-0.08722911558116193,-0.08457226334116216,-0.08868025769760013,-0.08529903490333238,-0.09051310554707864,-0.07881712539690636,-0.08857220425372463,-0.08423370659183783,-0.08797157839695015,-0.09074552651172692,-0.08771654425433699,-0.08726386549280052,-0.08847186813941313,-0.08604788163851441,-0.08715077973914066,-0.08397444399069781,-0.08649735113760391,-0.0845429140611274,-0.08638868588726073
-0.0946176965844882,-0.08985842279092893,-0.09623462063185642,-0.09763878798870533,-0.09506686126273518,-0.09274174066531188,-0.09618593804704924,-0.087457378154717,-0.09712600650495969,-0.09907174363988107,-0.09364265745407652,-0.09368554607515389,-0.09687443235247001,-0.09543440919791588,-0.09263804148541778,-0.09281335300021794,-0.09600483758391225,-0.09748651276321238,-0.09509653221709055,-0.0990457579526665,-0.0966563553462003,-0.09681376758742623,-0.0933875175303103,-0.09550529489706301,-0.10552307954041516,-0.09580551104543973,-0.09788643921947986,-0.09905578779878361,-0.09591451485129875,-0.10048946960141357,-0.09235414680041046,-0.09568033262456535,-0.09183882700155838,-0.09680814576346254,-0.09379358922364155,-0.09987098025199581,-0.08976580564700491,-0.09682751406586189,-0.09444275172682545,-0.09679703807544675,-0.09880179530741272,-0.09599209256359012,-0.09582165154223382,-0.0971281474055211,-0.09686291907839291,-0.09778481895216794,-0.09291378384058159,-0.09523694405385998,-0.08970625669710676,-0.09441260487453576
