xdata,sfr_data,bfsfr_data,real_data
0.0,-0.0,-0.0,-3.35788174604023e-5
0.05,-0.01437790593933883,-0.017675463720856325,-3.547601403598603e-5
0.1,-0.028308804705521773,-0.03907550792285436,-0.015144113317890881
0.15,-0.04180140833032801,-0.05359239258561924,-0.029764809255124012
0.2,-0.054864343153372984,-0.068721524866325,-0.04391900173170367
0.25,-0.06750614848902003,-0.08248929834608827,-0.05760502445718212
0.3,-0.07973527538409186,-0.09783295899996577,-0.07087617781226094
0.35,-0.09156008546380984,-0.11297957833681592,-0.0836979066857541
0.4,-0.1029888498634806,-0.12457855566136869,-0.09601469750273964
0.45,-0.11402974824341533,-0.1429937421499237,-0.10790228676218984
0.5,-0.12469086788463173,-0.15336044556587386,-0.11936506754521224
0.55,-0.1349802028630128,-0.1637370670939416,-0.13041731106637638
0.6,-0.144905653299503,-0.17407775696146652,-0.1411317605139651
0.65,-0.15447502468410032,-0.1938912168128035,-0.15145263814809734
0.7,-0.16369602727135282,-0.21050216362660154,-0.16139175362263794
0.75,-0.17257627554517255,-0.22061285123094446,-0.1709548789198795
0.8,-0.18112328775076614,-0.24044839259520626,-0.18012450546369113
0.85,-0.18934448549158311,-0.25429221913904704,-0.1889357599621346
0.9,-0.1972471933891855,-0.2618150588674132,-0.1973433804789557
0.95,-0.20483863880400077,-0.27057056843897137,-0.20541024694848037
1.0,-0.21212595161492248,-0.27760041663389595,-0.21323135065290963
1.05,-0.21911616405586862,-0.28430431384232807,-0.2207263211410765
1.1,-0.2258162106072932,-0.28901032689385103,-0.2278269929178563
1.15,-0.23223292794082492,-0.2934833904148789,-0.23461859101793853
1.2,-0.2383730549151899,-0.300415578744117,-0.2411350999699921
1.25,-0.24424323262156944,-0.3055907653747195,-0.2473572732873597
1.3,-0.2498500044766848,-0.31171584655050133,-0.2532576525893926
1.35,-0.25519981636185685,-0.31619911919694443,-0.2588790521919892
1.4,-0.26029901680632717,-0.320203405196878,-0.2643136028278585
1.45,-0.26515385721325974,-0.32366798366373517,-0.269481914480079
1.5,-0.26977049212671317,-0.3289561973126348,-0.2743077902934804
1.55,-0.27415497953810436,-0.3325980896606193,-0.27888271100238077
1.6,-0.2783132812305206,-0.33575223334562215,-0.2832636817202109
1.65,-0.2822512631594655,-0.3384995373380044,-0.2874061213127966
1.7,-0.2859746958685099,-0.3414114353691343,-0.2913163686501485
1.75,-0.2894892549384032,-0.3459880330992446,-0.29500096001247
1.8,-0.29280052146827895,-0.34984643355429923,-0.29845774485361576
1.85,-0.29591398258756596,-0.3531180232247246,-0.3017014433466235
1.9,-0.2988350319972465,-0.35504719693554,-0.30475491483101436
1.95,-0.3015689705391811,-0.3555857478275379,-0.3076069725168543
2.0,-0.3041210067922048,-0.36161154339155366,-0.3102255474211613
2.05,-0.30649625769378624,-0.3638856871585889,-0.3126549199913314
2.1,-0.30869974918598025,-0.37924642033031175,-0.31488374123082064
2.15,-0.31073641688455084,-0.3797106940923615,-0.31693475784154646
2.2,-0.31261110677006876,-0.3824247784795044,-0.31883913380595014
2.25,-0.3143285758998843,-0.38275718985605933,-0.32057591413295095
2.3,-0.3158934931398814,-0.3882574869839334,-0.3221840266852627
2.35,-0.3173104399149196,-0.3875290703277323,-0.3236342014974685
2.4,-0.3185839109769844,-0.38704875864371535,-0.32494213129769045
2.45,-0.3197183151899713,-0.3872390102702813,-0.3261017928650293
2.5,-0.3207179763301557,-0.3873165006336275,-0.3271047714019927
2.55,-0.3215871339014063,-0.38718819564387397,-0.32796918158083144
2.6,-0.3223299439641648,-0.38884630456259756,-0.3286826069408098
2.65,-0.3229504799773492,-0.3868122001427847,-0.32926683919527616
2.7,-0.32345273365224486,-0.3852055950219671,-0.32973295868703156
2.75,-0.3238406158175778,-0.38347980885150024,-0.3300784542688921
2.8,-0.32411795729489473,-0.38289795795580295,-0.3302780065762581
2.85,-0.32428850978348894,-0.3827107443348471,-0.3303657790614136
2.9,-0.3243559467540697,-0.38607747980951423,-0.3303252899398345
2.95,-0.32432386435040106,-0.3865191968950189,-0.3301813349627956
3.0,-0.3241957822982105,-0.38374872970163176,-0.33000168494364895
3.05,-0.3239751448206178,-0.38192389018430156,-0.3297250224464773
3.1,-0.3236653215594236,-0.38128920466389965,-0.329306509159014
3.15,-0.32326960850156145,-0.37894745738816143,-0.3287991105049145
3.2,-0.32279122891008266,-0.3781268609341319,-0.32823440419242333
3.25,-0.3222333342590225,-0.3760280973023092,-0.3275872309928606
3.3,-0.32159900517158097,-0.3723547569365732,-0.326837422837736
3.35,-0.32089125236097277,-0.3792227732090854,-0.3260121670146182
3.4,-0.32011301757343774,-0.37586828170364084,-0.32513856648228046
3.45,-0.3192671745327935,-0.3727146503759289,-0.3241953728799465
3.5,-0.31835652988606833,-0.37481956514380754,-0.3231265450400417
3.55,-0.3173838241496636,-0.3757417602698891,-0.32199515625168923
3.6,-0.31635173265551636,-0.3723808982728069,-0.3209023203606835
3.65,-0.31526286649688423,-0.3696919529959252,-0.3197508455438379
3.7,-0.31411977347316444,-0.37168660364804806,-0.3185072184302459
3.75,-0.31292493903341717,-0.3728842852966304,-0.3172110060747838
3.8,-0.31168078721807324,-0.36973464071960777,-0.3158300942043618
3.85,-0.31038968159848485,-0.36866769381745906,-0.314402337597149
3.9,-0.30905392621388417,-0.36373013220832834,-0.31296656001629114
3.95,-0.3076757665053522,-0.36321000705795137,-0.31148813672253933
4.0,-0.3062573902464894,-0.3591489163841922,-0.3099346442464042
4.05,-0.3048009284703845,-0.35568188672054213,-0.3083437208754702
4.1,-0.30330845639256976,-0.3545550258809632,-0.3067476027635698
4.15,-0.30178199432960967,-0.3518201480058071,-0.3051178570774105
4.2,-0.3002235086130547,-0.3494380550655141,-0.3035114591677704
4.25,-0.29863491249844804,-0.34651903992204164,-0.30187456132996804
4.3,-0.29701806706906325,-0.34368389753461037,-0.30017154611719743
4.35,-0.2953747821341647,-0.3432519549715043,-0.2984425865449572
4.4,-0.2937068171214925,-0.3402099624611807,-0.2967056787524064
4.45,-0.2920158819637102,-0.335746338830473,-0.2949461937205941
4.5,-0.29030363797865205,-0.3318450730826651,-0.29308792434221603
4.55,-0.2885716987430328,-0.32864772899280653,-0.2912119084349563
4.6,-0.28682163095953894,-0.32842391881128785,-0.28930668520080194
4.65,-0.28505495531697084,-0.32626441187582833,-0.28738716519125107
4.7,-0.2832731473433441,-0.32430732205118845,-0.2854952554656313
4.75,-0.28147763825172817,-0.320459443055304,-0.2835913442181771
4.8,-0.2796698157786293,-0.3168339940865369,-0.28168022429601075
4.85,-0.2778510250148029,-0.3143984009650252,-0.2797598755889675
4.9,-0.2760225692283203,-0.30996328886197416,-0.27787115534409196
4.95,-0.27418571067974146,-0.30616278427243954,-0.2759751533065347
5.0,-0.2723416714292714,-0.3062016207033437,-0.27410166442241285
5.05,-0.2704916341357661,-0.3024138887527505,-0.27222287085167435
5.1,-0.26863674284749983,-0.3006436685436464,-0.270261552420032
5.15,-0.2667781037845284,-0.3055952407256891,-0.26829864901309236
5.2,-0.2649167861126182,-0.30085245529371635,-0.2663797435570555
5.25,-0.26305382270858574,-0.298633329780205,-0.26446060570642826
5.3,-0.2611902109170236,-0.2957974462211389,-0.2624700320593137
5.35,-0.25932691329826874,-0.29170077612246,-0.26048251266452677
5.4,-0.25746485836760497,-0.28729824242884416,-0.2584984614854706
5.45,-0.25560494132559963,-0.2824812411513722,-0.25651930980453047
5.5,-0.2537480247795299,-0.2789858127607878,-0.2545802410505011
5.55,-0.2518949394558449,-0.274264033977806,-0.25264715575952434
5.6,-0.25004648490361614,-0.2705707063010829,-0.2507551896535072
5.65,-0.24820343018896673,-0.27474835822034566,-0.24887016507941342
5.7,-0.24636651458039116,-0.27271691351070687,-0.24694897097118274
5.75,-0.24453644822500598,-0.2752893717175041,-0.24503694896929565
5.8,-0.2427139128156577,-0.27294264379019384,-0.24318778037433508
5.85,-0.24089956224890105,-0.26897846205703885,-0.24134815858938546
5.9,-0.23909402327382717,-0.2671292738878355,-0.23952564391833114
5.95,-0.23729789613174573,-0.26283314695975374,-0.23771376860819807
6.0,-0.23551175518669662,-0.2595456538629671,-0.23584108575719334
6.05,-0.23373614954684568,-0.2563413497148058,-0.23398143229420124
6.1,-0.23197160367670033,-0.2527435056210276,-0.23217758394795307
6.15,-0.2302186180002291,-0.2531768226140692,-0.23038699913615665
6.2,-0.2284776694948519,-0.2509462204137853,-0.22856471845754148
6.25,-0.22674921227636113,-0.2462758967160008,-0.2267574073984948
6.3,-0.22503367817476078,-0.24259012270316446,-0.2249751796404347
6.35,-0.2233314773010802,-0.23820796485735055,-0.22320854134566676
6.4,-0.22164299860518355,-0.23521920329645657,-0.2215397397944591
6.45,-0.21996861042461813,-0.23230988342146186,-0.2198857766906587
6.5,-0.21830866102451213,-0.22955299749587005,-0.2182415217536891
6.55,-0.21666347912862632,-0.22536437304381368,-0.2166128458123119
6.6,-0.21503337444151904,-0.22146476323268144,-0.21493146314858133
6.65,-0.21341863816196316,-0.21807848453539264,-0.21326744357738145
6.7,-0.21181954348757406,-0.2179386035147575,-0.2116550294236517
6.75,-0.2102363461107979,-0.21351714872131872,-0.2100598456506231
6.8,-0.20866928470622526,-0.20899180633851192,-0.2084754305081537
6.85,-0.20711858140935302,-0.20875885120767668,-0.20690877504720376
6.9,-0.20558444228682368,-0.2065421092806474,-0.2053615961829549
6.95,-0.20406705779821033,-0.20627161855385526,-0.20383249259623587
7.0,-0.2025666032494314,-0.20152889193054066,-0.20223746238199095
7.05,-0.20108323923781535,-0.19739166214684686,-0.2006622860863488
7.1,-0.19961711208894392,-0.1989032965205556,-0.19922707423161826
7.15,-0.19816835428528348,-0.19720768423639254,-0.19780978229520202
7.2,-0.1967370848867402,-0.19261601033625783,-0.19637605210327977
7.25,-0.19532340994314834,-0.19061505215176883,-0.1949610317746523
7.3,-0.1939274228988175,-0.18892377524758858,-0.1935754612939613
7.35,-0.19254920498917832,-0.18468022573180323,-0.1922085285185697
7.4,-0.1911888256296354,-0.195243800991386,-0.19086070984279685
7.45,-0.18984634279668117,-0.19126658224050108,-0.18953159437814016
7.5,-0.18852180340136504,-0.18858563372185483,-0.18823900251959577
7.55,-0.18721524365519926,-0.18508961350730138,-0.18696482656529237
7.6,-0.1859266894285616,-0.18625319221524145,-0.18568386245740873
7.65,-0.18465615660171045,-0.18282423546172222,-0.18442175596696544
7.7,-0.18340365140848913,-0.17878770205498593,-0.18318231974988242
7.75,-0.1821691707727604,-0.17449970993866334,-0.1819616219344118
7.8,-0.1809527026377264,-0.17239053522232123,-0.18074064935491163
7.85,-0.17975422628816753,-0.16845638611478864,-0.17953866752232628
7.9,-0.17857371266569844,-0.1650109891447088,-0.17829310176358765
7.95,-0.17741112467715217,-0.1614701697627364,-0.17706751631245143
8.0,-0.17626641749613672,-0.15957093778148002,-0.17599224365392327
8.05,-0.1751395388578784,-0.15939424566994417,-0.17493446140748745
8.1,-0.17403042934746366,-0.15661223799610416,-0.1738620368686581
8.15,-0.1729390226814928,-0.1593373612566606,-0.17280750905998157
8.2,-0.17186524598333097,-0.15705366253575695,-0.1717552744711131
8.25,-0.17080902005194662,-0.15450779985184554,-0.1707210159524295
8.3,-0.16977025962451292,-0.15188124261782274,-0.16965904291286013
8.35,-0.1687488736327989,-0.14864432439933206,-0.16861563369163976
8.4,-0.1677447654534685,-0.14619778022663799,-0.1675898102272595
8.45,-0.16675783315237228,-0.1446619117713303,-0.16658230968278956
8.5,-0.16578796972291218,-0.14923716377302912,-0.1655882356491665
8.55,-0.1648350633185709,-0.14619776039020924,-0.16461229336063207
8.6,-0.16389899747970027,-0.1477702013438393,-0.16368986847191058
8.65,-0.16297965135465642,-0.14785388896756332,-0.16278464837910672
8.7,-0.16207689991535243,-0.15150559659907872,-0.16189854404822232
8.75,-0.16119061416733,-0.14710538153336009,-0.16102930662121717
8.8,-0.16032066135445114,-0.14649909891486226,-0.16020355338596987
8.85,-0.159466905158264,-0.14582471056637533,-0.1593938765477638
8.9,-0.15862920589215096,-0.14569584614465728,-0.158612880538374
