folder_Weibull(0.0004),folder_Weibull(0.0042),folder_Weibull(0.0007),folder_Weibull(0.0015),folder_Weibull(0.0018),folder_Weibull(0.0024),folder_Weibull(0.0021),folder_Weibull(0.0039),folder_Weibull(0.0037),folder_Weibull(0.0027),folder_Weibull(0.0025),folder_Weibull(0.004),folder_Weibull(0.0045),folder_Weibull(0.0009),folder_Weibull(0.0002),folder_Weibull(0.003),folder_Weibull(0.0006),folder_Weibull(0.0035),folder_Weibull(0.0034),folder_Weibull(0.0022),folder_Weibull(0.0013),folder_Weibull(0.0047),folder_Weibull(0.0023),folder_Weibull(0.002),folder_Weibull(0.001),folder_Weibull(0.0014),folder_Weibull(0.0012),folder_Weibull(0.0016),folder_Weibull(0.0041),folder_Weibull(0.0031),folder_Weibull(0.0011),folder_Weibull(0.0029),folder_Weibull(0.0044),folder_Weibull(0.0046),folder_Weibull(0.0032),folder_Weibull(0.0019),folder_Weibull(0.0038),folder_Weibull(0.005),folder_Weibull(0.0017),folder_Weibull(0.0001),folder_Weibull(0.0003),folder_Weibull(0.0026),folder_Weibull(0.0048),folder_Weibull(0.0028),folder_Weibull(0.0005),folder_Weibull(0.0033),folder_Weibull(0.0043),folder_Weibull(0.0049),folder_Weibull(0.0036),folder_Weibull(0.0008)
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.013110216029577838,-0.01663522784870738,-0.013172409909443648,-0.014127153158597569,-0.01458613238922498,-0.014451121397461977,-0.014684866887471155,-0.01569411491147317,-0.015878001377502386,-0.014741065492609149,-0.014773200042117518,-0.01529118652104371,-0.01652323787952677,-0.013537068763461979,-0.012942796587868932,-0.014867971916299162,-0.013229806493465179,-0.01516776223468683,-0.015189206892109699,-0.014563042940111575,-0.013725215102581538,-0.016235789065129232,-0.01443786588621814,-0.014338704728418486,-0.01346709531400108,-0.01365595651235545,-0.013441615480029503,-0.013862106646863142,-0.015075228039314627,-0.015154843624453594,-0.013648242980939355,-0.015231548397808907,-0.0162388837148936,-0.016152663314935013,-0.014832160370480163,-0.014278311634085272,-0.015631222244429838,-0.016834405306694274,-0.014074008262620985,-0.012880763263237855,-0.013039770852562933,-0.014648815584244593,-0.016611027795488478,-0.015045218859269951,-0.013265344166539478,-0.015928311448485617,-0.01687425732314259,-0.015883866203182533,-0.015414244063308286,-0.013437023406863244
-0.02539705000425266,-0.032358985577735117,-0.026325166374525068,-0.027170501655648927,-0.030950008019171728,-0.027840266420609782,-0.026672211539618306,-0.028367013732736354,-0.03248474521322408,-0.027467514661276896,-0.027592304493903465,-0.02959334264691472,-0.031303767348153475,-0.026267459071547292,-0.025434614190884032,-0.028887939689180072,-0.025438634642030302,-0.03332803367658741,-0.029311447394328862,-0.028816580739097212,-0.026059175467188448,-0.030836568512520413,-0.03187057929139987,-0.027166686800097185,-0.02691497903374696,-0.026137750063355086,-0.02605287218439971,-0.02972305326287275,-0.028235112339565962,-0.035200808364640485,-0.026421826530445586,-0.02766979133739564,-0.030220716539561307,-0.028965380248983527,-0.02867868303231806,-0.026859971296889218,-0.02795923198107524,-0.03353860775876932,-0.028866778321883207,-0.02527184437687404,-0.0256446223735544,-0.03142863601923425,-0.03068482659296158,-0.03052990934555217,-0.02540779837282412,-0.02892283968157704,-0.03395371494004201,-0.030171527154843343,-0.03554987383636165,-0.025733779664792476
-0.037099194317260456,-0.04465778202103261,-0.038784171997729606,-0.040254824099022146,-0.04322204830584777,-0.04285996142842295,-0.03861966258788757,-0.042562004847132455,-0.04453750647340729,-0.04119529939882116,-0.03907051504716619,-0.046345160267487494,-0.044616598607923275,-0.038985983359229044,-0.0372037884630832,-0.040890312246023734,-0.03770719427535116,-0.05119192072360699,-0.040659554642714105,-0.04177043975037765,-0.04000068085634736,-0.04862171568519751,-0.04587459255738495,-0.03955470132829295,-0.03934364578922896,-0.037790996540919095,-0.03802326308218954,-0.04165765682147272,-0.04103893107450473,-0.047823626153926366,-0.03866966888860412,-0.04195118702468014,-0.046512991611316466,-0.04489336478673022,-0.04171288530329395,-0.038245848706094786,-0.04169662231104118,-0.0476414035711945,-0.041592900487754846,-0.03713231831419039,-0.037754667571917165,-0.0451968428306769,-0.04465704180934933,-0.042761362755159606,-0.037194233958303805,-0.040401224146812124,-0.04576264669224554,-0.04350996881289297,-0.05278789876424685,-0.038254677207340444
-0.049278266124678,-0.05570022692090212,-0.05042533742096302,-0.05247136353173208,-0.05640894688986708,-0.05561940006909431,-0.050609124045173086,-0.0556453560514871,-0.05938996071141186,-0.05479106722964088,-0.05122009627085822,-0.0588132527881842,-0.05861654885596476,-0.05090984407733665,-0.048457289317955725,-0.05302651958220318,-0.04906046127496394,-0.06273872375300284,-0.05192812379034132,-0.055947831034354786,-0.05622422537031046,-0.05915519063116171,-0.05834425336890718,-0.05190180335828023,-0.050846463759874505,-0.049081430649206365,-0.050138207260057716,-0.05454293139941199,-0.05462996457967243,-0.06041961432658986,-0.05003170218371562,-0.06135597376197279,-0.0599697644750773,-0.05694209128789024,-0.058576266301071225,-0.05155397528764323,-0.05627240347212076,-0.060545470274482004,-0.056632129272417314,-0.04832113225054298,-0.04899792848570161,-0.05749531308100214,-0.05766178095716998,-0.06052300038950045,-0.04811267425895309,-0.05528476298679244,-0.05742769633965719,-0.0587077260372748,-0.06486790458257684,-0.05025013369038815
-0.05993292486937288,-0.07034685914456548,-0.06106206681087818,-0.06282634037252534,-0.06706446653702158,-0.06947287772490249,-0.06165492498362808,-0.07214661685631933,-0.07860905709799032,-0.0662974133106711,-0.06336868187425149,-0.06926223230837852,-0.0720588581084176,-0.061800241642755924,-0.05911680303625229,-0.06546762066719222,-0.05972779733738313,-0.0730643295578961,-0.06390263280483897,-0.06679698527412932,-0.06663586737864666,-0.07701036421099534,-0.06952470906711636,-0.06336294192401636,-0.06177702737122434,-0.061072725668865055,-0.06087339187296287,-0.06657426347199163,-0.06701029079647931,-0.07012053049571744,-0.0607223392267707,-0.07427925780149534,-0.07195264991881656,-0.07709066803959941,-0.0684177366969344,-0.061781566647097115,-0.06702729194173349,-0.07298866319948959,-0.06734785259188948,-0.058935714996365116,-0.05965960318272438,-0.0683949156755305,-0.0712790024192286,-0.07026226600682685,-0.05903496899505636,-0.07321445477492547,-0.07156617312032962,-0.07173664311826275,-0.07810814852150533,-0.0608050984950467
-0.07008436372725046,-0.09281887534239575,-0.07209914778797563,-0.07417772488736951,-0.07713410031883305,-0.07868300444392784,-0.07225019249263505,-0.08198928746232938,-0.08796616775290726,-0.07799926487948074,-0.07573260697923949,-0.07902695973655542,-0.08612538376830037,-0.071976658761244,-0.06919727196603612,-0.07599452664229779,-0.07018034728894902,-0.08154172490684923,-0.07911506338715098,-0.0830679131225685,-0.0777745741005824,-0.08822807722119988,-0.07920784949485934,-0.07401216810448641,-0.0728848755292753,-0.07226255526134824,-0.0716088481438531,-0.07749396441936814,-0.07765520461261652,-0.08516707832280467,-0.0720917069671832,-0.08472861187121128,-0.0819284962666134,-0.08761623256663167,-0.0777283571210983,-0.0732226263293065,-0.08273436995431474,-0.0832037844664816,-0.08003999908933017,-0.06910991184175562,-0.0698472965700002,-0.07928545481912035,-0.08183118261720716,-0.08169704874489452,-0.06913409196231257,-0.0835893076020169,-0.08724884483432048,-0.08408679103578713,-0.08738007460016402,-0.0712178780931602
-0.08035424955378115,-0.10716610876244204,-0.0818923692813493,-0.08423078617713965,-0.08654040648913204,-0.08804498810171496,-0.08273129718865588,-0.1034105760029462,-0.0986556800933673,-0.0911904235075922,-0.08550499640239127,-0.09215235097081637,-0.09808446754317701,-0.0815352014373067,-0.07893413782343094,-0.08547972719447813,-0.07999332346990853,-0.0972033349807623,-0.09275306498526971,-0.09270346406866282,-0.0895330379192967,-0.09822192291011733,-0.08945165656438547,-0.09090936005074539,-0.08260993801846729,-0.08185583072964132,-0.08154371018575712,-0.08642125812193299,-0.08686143006163877,-0.09973852625397937,-0.0866017203740233,-0.09574498585542886,-0.0918327536409958,-0.09611508284345634,-0.08778961410030092,-0.08336030715475064,-0.09228840346567681,-0.0949295753942976,-0.08965456339664098,-0.07869013996382773,-0.0795173393527965,-0.0889327711262269,-0.09568174556502232,-0.09590598126786035,-0.07894646411009722,-0.09229068042352065,-0.09877201537313074,-0.09353338484553769,-0.09709699210767325,-0.0810498516386622
-0.08949010046278309,-0.12510096539742843,-0.09121250467344887,-0.09381152306527897,-0.09625226933474697,-0.09856687620937843,-0.09354271885877725,-0.11422122036224558,-0.11005708359984868,-0.10059626427083625,-0.09427991869989462,-0.10752493206396181,-0.10558875299751688,-0.09218243474909263,-0.08841535452118299,-0.09608918447926622,-0.08948305428075123,-0.10984789070081581,-0.10633260672313533,-0.1025074870421501,-0.09902400597703684,-0.1097227376480076,-0.10020333793478846,-0.10311784428159486,-0.09291617255314229,-0.09215669778611234,-0.0906411506671295,-0.09555808640200424,-0.0962530045712194,-0.10928279722043406,-0.09532625783539034,-0.10456407503842233,-0.10666946300470811,-0.10633423044601084,-0.09762300033912626,-0.094395781896003,-0.10133377001662516,-0.1079723040102041,-0.09895434176583894,-0.08781694278098921,-0.0885787414814623,-0.09851767662014278,-0.10588265966847431,-0.10483283496771044,-0.08805763714793269,-0.10334255736622139,-0.11011572268335207,-0.10339143506568199,-0.10791281724277058,-0.09079510595467101
-0.09842515524411477,-0.13216237142642998,-0.1017454352777956,-0.10200986095654653,-0.10595474175701027,-0.10788598337764176,-0.10202108751422545,-0.12257006406700756,-0.12082444653307352,-0.10859022843971157,-0.10354299599674105,-0.1207550154521563,-0.1140117591474837,-0.10192739276034388,-0.097083903933894,-0.10531726237306999,-0.09809857541424032,-0.11899694147245769,-0.11703501376114994,-0.11234895802461971,-0.10771033209028158,-0.12421458739750772,-0.11216175110929041,-0.1115000871783158,-0.1017259377053158,-0.10124991163548203,-0.09943202014350179,-0.1042916668753247,-0.11088749260073394,-0.12162998634526179,-0.10437558961245653,-0.11518131510891633,-0.11516889955969381,-0.11463966823214373,-0.10979475806748354,-0.10258709682389629,-0.111681829088561,-0.12067784377216607,-0.1093574859045969,-0.09661260203054352,-0.097685604277495,-0.10628417406033121,-0.11454946971436185,-0.11542093980944877,-0.09684698261954036,-0.112797955714297,-0.12693830121106492,-0.11302976074490127,-0.12213506593236872,-0.09944558466419946
