xdata,sfr_data,bfsfr_data,real_data
0.0,-0.0,-0.0,-0.009162649631978765
0.05,-0.01437790593933883,-0.020861376724666827,-0.00979178103882837
0.1,-0.028308804705521773,-0.03895040679257734,-0.023391843265486694
0.15,-0.04180140833032801,-0.06617924899765837,-0.03652926568796837
0.2,-0.054864343153372984,-0.09012501709956759,-0.04990240978979726
0.25,-0.06750614848902003,-0.10667873783562085,-0.06282035341235812
0.3,-0.07973527538409186,-0.12271917038001094,-0.0770921955517145
0.35,-0.09156008546380984,-0.13995005106011127,-0.09089620305139264
0.4,-0.1029888498634806,-0.16079882630139,-0.10250023797145746
0.45,-0.11402974824341533,-0.174530885613037,-0.11368680322758758
0.5,-0.12469086788463173,-0.18592372553760111,-0.12558919052637008
0.55,-0.1349802028630128,-0.20927074115853647,-0.13707256687691677
0.6,-0.144905653299503,-0.2279323874102129,-0.14727989425244709
0.65,-0.15447502468410032,-0.24844769317590423,-0.1571018841494228
0.7,-0.16369602727135282,-0.27791880824662374,-0.1667547930677319
0.75,-0.17257627554517255,-0.29141234347262196,-0.176036231615522
0.8,-0.18112328775076614,-0.30496843139142454,-0.18383318929629375
0.85,-0.18934448549158311,-0.31992837406366254,-0.19129575226384787
0.9,-0.1972471933891855,-0.3328762576181283,-0.1985050516352523
0.95,-0.20483863880400077,-0.3531117235904354,-0.20539499288673396
1.0,-0.21212595161492248,-0.3636724505946944,-0.21405741373049686
1.05,-0.21911616405586862,-0.371567153222455,-0.22237924418045213
1.1,-0.2258162106072932,-0.38001246116968024,-0.22941717728498268
1.15,-0.23223292794082492,-0.38590902020652285,-0.2361473366329498
1.2,-0.2383730549151899,-0.3956486075381671,-0.241880543949369
1.25,-0.24424323262156944,-0.4103927573388953,-0.24733355210401878
1.3,-0.2498500044766848,-0.41641651128729634,-0.2525448878939461
1.35,-0.25519981636185685,-0.4248191670224426,-0.2574899832212063
1.4,-0.26029901680632717,-0.43127661462463907,-0.2636793327185617
1.45,-0.26515385721325974,-0.4508990370007359,-0.2695897277129835
1.5,-0.26977049212671317,-0.4555082565539581,-0.27437991809584644
1.55,-0.27415497953810436,-0.46472483946436716,-0.27892019830133885
1.6,-0.2783132812305206,-0.47004368583956535,-0.28374372558573946
1.65,-0.2822512631594655,-0.47567275637571205,-0.28832125511956636
1.7,-0.2859746958685099,-0.4882075010255823,-0.2925513906199951
1.75,-0.2894892549384032,-0.48628455300716444,-0.2965504081855446
