folder_fcr_binding(8),folder_fcr_binding(6),folder_fcr_binding(5),folder_fcr_binding(7)
-0.0,-0.0,-0.0,-0.0
-0.020702128399736147,-0.018236938656124236,-0.017076818804345462,-0.016575302518809055
-0.03839795916281084,-0.034248503362434506,-0.0341841512976875,-0.033852935968062686
-0.05511740408935164,-0.051503262121537524,-0.049028694818878324,-0.04834569134659922
-0.0710694590274834,-0.07133668851586589,-0.07002719985939035,-0.06565335981180864
-0.08635810236549428,-0.08939074565123718,-0.08850246112707871,-0.0797205805899546
-0.10415929872938084,-0.10409620743287612,-0.10255923382185937,-0.09694340644189108
-0.11776854705262854,-0.12531602960413832,-0.11536029606924926,-0.11029743599215332
-0.13136065580094786,-0.1377457288338244,-0.1297191114713175,-0.12602632753312704
-0.14355266731449173,-0.15022844890629986,-0.1420870895216545,-0.13833255844234332
-0.15626171620689064,-0.1624584598214814,-0.15575365378609743,-0.15127560691432956
-0.1711362640821626,-0.1735239494076671,-0.16857813485729295,-0.16368937086492008
-0.18070448327809013,-0.18351278867731285,-0.18090710849418223,-0.17587009181843263
-0.190603653223791,-0.19399509435512236,-0.19275525451112863,-0.18601265798380603
-0.20291953813059024,-0.20724150756021115,-0.20627835318715898,-0.197676715155878
-0.21469331025921062,-0.2174407542461879,-0.21632096517723556,-0.2110091166182196
-0.22627268550142982,-0.22880833307046033,-0.22897241994639658,-0.21965189439487445
-0.2347355525182218,-0.2431925097185416,-0.23748892011438932,-0.22808357322021597
-0.24345311362947697,-0.2528965404447543,-0.2459927469428145,-0.23611944575051422
-0.2541654524266484,-0.2612841402496167,-0.25879099685777074,-0.2457935426717755
-0.263087775746172,-0.2693253722308968,-0.26726564120024837,-0.2558771197693365
-0.2744234106755496,-0.2799544065452208,-0.2754330932868267,-0.26769390451180886
-0.2823106752045956,-0.2917564546803775,-0.2822455686024394,-0.2739947140800138
-0.2885079805993722,-0.3006768583075477,-0.29333435930799234,-0.2816485700837498
-0.2977004715970625,-0.3095738921618209,-0.29985859373790424,-0.2946180128006374
-0.3075615095112348,-0.3171258680378894,-0.306397138158185,-0.3006442360184794
-0.3121532723768034,-0.32218497237964866,-0.3144453718893346,-0.3051210364464223
-0.321260103031005,-0.32623966502185325,-0.3203702553333492,-0.30917905751169267
-0.32745062788064994,-0.3308427202775577,-0.3265814892688708,-0.3166906676011544
-0.3329872114408844,-0.3357547880639015,-0.33036538911771535,-0.3211999205135816
-0.3369071616996887,-0.3440824887362232,-0.3348156343612147,-0.325309038221404
-0.3405741894677454,-0.35151201967648377,-0.3388879466595137,-0.3279566573542763
-0.3464143168817813,-0.3543021871041832,-0.3456150841604863,-0.33209810365955406
-0.3495128978835813,-0.3578014593036826,-0.34845161915216105,-0.33428183975697373
-0.35196328407077165,-0.36024893417408976,-0.35294086383335227,-0.33938233014105457
-0.3583182425649541,-0.3638374681472968,-0.3559054792190411,-0.341132197159674
-0.36039392254005415,-0.3670883160769295,-0.35809282985284246,-0.34829749644954433
-0.36166719990006463,-0.3713211649553202,-0.3652850683028786,-0.3509013272676798
-0.3645596816205457,-0.3752118856266384,-0.36710828296417636,-0.35351221776823655
-0.36729948351910024,-0.3768033699316987,-0.36915177907206137,-0.35407457202018283
-0.36827868722795803,-0.3798622494615623,-0.3782417365922386,-0.35834355064536205
-0.3698119246075241,-0.38123426918488834,-0.3845852548773525,-0.3594995397838792
-0.3713382017393879,-0.38218272618372073,-0.38920239305394394,-0.36378311984193923
-0.3781499253110619,-0.38260985808838055,-0.39127568645403377,-0.363074858883121
-0.37836511165522774,-0.38458343583252236,-0.39378016515408404,-0.36254515502932605
-0.38035951424984327,-0.3872151579495404,-0.39652061758997525,-0.3692627804303891
-0.3859734021579972,-0.39213780159916894,-0.40106797719293025,-0.36869935964679384
-0.38876687317261654,-0.39331813727778475,-0.40264780302185244,-0.3695539771060046
-0.3891797721830377,-0.39306931456939054,-0.4094772441225772,-0.3699842756847632
-0.38981859533256513,-0.3955201951100815,-0.4152331570854218,-0.3753092723446468
-0.388684308651326,-0.393386867736235,-0.4183390225893483,-0.3790987146231843
-0.38695075774896714,-0.391510619992712,-0.42537466613186115,-0.37806200615013114
-0.38721373423376704,-0.39084763782615506,-0.4268649716098426,-0.3778750446862657
-0.39091897867946124,-0.3937389078666829,-0.42819083809008196,-0.3775188225808213
-0.3935625362054448,-0.3937392889475037,-0.4315056439751192,-0.376252111509217
-0.3960922918724193,-0.3974097481530727,-0.4329141762488205,-0.37631039928387944
-0.39611728564014415,-0.39757026157905584,-0.43757229934622527,-0.3737730118672614
-0.3954631997865221,-0.39847581482674455,-0.445818957736935,-0.3723341445551027
-0.3947085566004005,-0.39994505795137003,-0.44659175179329436,-0.3756909388471611
-0.39432587209518,-0.3982302849950827,-0.4476680223765891,-0.3736495280055858
-0.4000868624026503,-0.40141565283287983,-0.44863411691626504,-0.37301610310060923
-0.3974289410209385,-0.40384216654690114,-0.4525985513310697,-0.3730570001787241
-0.3990253714009514,-0.40421988429474076,-0.45403769090756485,-0.3726676557082427
-0.39769628804530094,-0.4034583460487466,-0.4564059970150106,-0.37539250643370103
-0.397190372923901,-0.40174196989335065,-0.458096608661424,-0.37465550349024646
-0.3938719771101121,-0.4014134529873488,-0.46490858646995986,-0.37152069958678735
-0.3938833414638014,-0.401960873779838,-0.4655019814020083,-0.3698308595711264
-0.3904818851077113,-0.4025065505070364,-0.4696092766556477,-0.3677530105377182
-0.38854102446392774,-0.40184913613595363,-0.4717426137535813,-0.36929825144558087
-0.386156328125588,-0.4031287117999573,-0.4722030004443178,-0.3701927671404248
-0.3835294464240344,-0.4016174335713666,-0.4739359760575707,-0.3707174215322636
-0.38097212741275255,-0.4000805082208345,-0.47451142474019115,-0.37307776018608385
-0.377782394687577,-0.39937252096371045,-0.47632357959160315,-0.3727916478599337
-0.3761643108480628,-0.4005361193370842,-0.47678055951112236,-0.3705768192768093
-0.37239369671950295,-0.4047229753709155,-0.47900167109604963,-0.36726365492436286
-0.3696596958107644,-0.40620414835996693,-0.48447256511373404,-0.3652336044382225
-0.36626705800346543,-0.40609317187846705,-0.49618650765389316,-0.360571237570616
-0.36466306291911876,-0.4083541310804544,-0.49910829800249723,-0.3600493322177497
-0.3616285007095649,-0.4074275891096797,-0.49947287704553306,-0.36141751537973676
-0.36251237183670154,-0.407002041771937,-0.4993344377203413,-0.3610571084162877
-0.36480978501344624,-0.40560646675414946,-0.5017177350587412,-0.3628752000532904
-0.36289396984175143,-0.4064135776334451,-0.5065018958956243,-0.36123731752457516
-0.36011508471722536,-0.4049814954354215,-0.5096489238893739,-0.3640563277449569
-0.35761462425629964,-0.41039372166037774,-0.5119975107348946,-0.36130993795830435
-0.3548958879082712,-0.4122108582288408,-0.5119485927256724,-0.3642914793338791
-0.3523060516248424,-0.41172543265641,-0.5136315694126293,-0.3613941877891906
-0.3547518688398994,-0.4133759402181373,-0.5210858172230721,-0.35945164316802475
-0.35324397746583747,-0.4172696574592319,-0.5281339089726036,-0.35904374113211324
-0.3498545660738287,-0.4203561877692394,-0.535122963035792,-0.35516045667228086
-0.34808560089614105,-0.4195467450664275,-0.5367312147545298,-0.3523733384404534
-0.3481459091364297,-0.4232122400055651,-0.5365608544260548,-0.35061519881329756
-0.34730551459083303,-0.4222713208918808,-0.5376656935221552,-0.35086364956421506
-0.3430925058340637,-0.42241802286431096,-0.5399832114747212,-0.3473798088459338
-0.33963366810427514,-0.42023337000493854,-0.5423544679810569,-0.3439575489005161
-0.33613311117350697,-0.4222863953614216,-0.5441667629429073,-0.3412158598075879
-0.331361878035163,-0.4222307788964587,-0.5455922548509636,-0.3391826154344787
-0.3334823471741539,-0.4251859428784313,-0.5471917907963584,-0.33824361207333964
-0.3328421710702168,-0.423532989084044,-0.5476651447388532,-0.3362729175610308
-0.3308961412541217,-0.4233256414063051,-0.5487767262723903,-0.33333544410587895
-0.3320619885992182,-0.4223015022464957,-0.5520724845668483,-0.3312884390629073
-0.3302053192100759,-0.4204003796420067,-0.5551867741338221,-0.32916840806501385
-0.3341848261987856,-0.42063432197324296,-0.5558407853910639,-0.3268648401192037
-0.32942417828257625,-0.41819731840830765,-0.5559540845454509,-0.3268487983314259
-0.3273137265615091,-0.4169734515804582,-0.5595624166199759,-0.32356883825798877
-0.32378483930134117,-0.4238685690287891,-0.5621487147121399,-0.32451990426449173
-0.3204116759156486,-0.4227170381759319,-0.5631426184003856,-0.3209289663909383
-0.32059715345346385,-0.4221488276104635,-0.564304866667388,-0.32169666864438967
-0.31501821074079506,-0.4208996558780648,-0.5652396717007453,-0.3176620179042517
-0.3128303653186973,-0.41998697516579253,-0.5700732176873576,-0.31681387976226083
-0.3096422745139416,-0.42780584786992193,-0.569925461228913,-0.31385147155687476
-0.30626856792967955,-0.42706481464765855,-0.572334722902059,-0.31640495428192444
-0.30132552174419236,-0.43348639956925694,-0.5737613846698447,-0.3133048200687385
-0.29732401887649956,-0.4341030672214066,-0.5736928738653287,-0.3130344907080942
-0.2978259023888122,-0.4335438881476752,-0.5737819738248935,-0.3104308506405881
-0.29284035840064637,-0.4349364915969824,-0.5749387758831361,-0.3077972761803682
-0.28959507512049154,-0.43487523083983204,-0.5792852340942072,-0.3065807001003899
-0.2875965534954786,-0.43583413416738387,-0.5857589171098153,-0.30381931218231306
-0.2853008782589215,-0.43406696818723595,-0.5902826742232509,-0.3041797216238091
-0.2837601568660969,-0.43411087020824846,-0.5918045860197169,-0.3010406699611489
-0.2801720531894625,-0.4360347756352007,-0.5917055199532724,-0.2988108921848935
