folder_fcr_binding(8),folder_fcr_binding(6),folder_fcr_binding(5),folder_fcr_binding(7)
-0.0,-0.0,-0.0,-0.0
-0.016083308145559302,-0.01601499751636274,-0.016161327438274684,-0.016215243013457965
-0.031636973026058335,-0.03177923616893975,-0.03407725498432738,-0.03143491654512672
-0.04674354598361208,-0.046374793306531596,-0.049944636327711886,-0.04631744243807435
-0.06191179400400275,-0.06033639121438492,-0.06431930689441118,-0.06144621633197783
-0.07603543763498491,-0.07410619694342539,-0.078209592638595,-0.07505293107606244
-0.08972096792552976,-0.08707354553988982,-0.09210170822584753,-0.08837321042390502
-0.10248040092856386,-0.09998505666143565,-0.10441523926996778,-0.10147126762984056
-0.11530246981821994,-0.11269763029635009,-0.1170978284884196,-0.1132580357375365
-0.1274436573976812,-0.12515506317024103,-0.12915265258645614,-0.1254314785279427
-0.1403463291140684,-0.1373107060080121,-0.14080559702175188,-0.13697770669416093
-0.15152982246191543,-0.14850446768261263,-0.15171365435755127,-0.14782369025889222
-0.16245728411055768,-0.1589786896762605,-0.16206372330153335,-0.15833555942060057
-0.1730795351549386,-0.16990149690809975,-0.17208013228303007,-0.16861720834833427
-0.18624806647835818,-0.18022840965901307,-0.18239896096218783,-0.17861551007789533
-0.19505510786470967,-0.18947991081984383,-0.1915135856870449,-0.1881063606406515
-0.2053628747346262,-0.1988136986592914,-0.20075460796059136,-0.19751565347051694
-0.2161645496257277,-0.20739745969132797,-0.20996361111648792,-0.20650487187763708
-0.22467911744806476,-0.21650193728586561,-0.2184557506007205,-0.21454553773521362
-0.2326590596919651,-0.2246105004001766,-0.22624972731811424,-0.22301832758534942
-0.24117842184978525,-0.23315758632527397,-0.23447494126307566,-0.23078554174486338
-0.24892632162773898,-0.24503525866963852,-0.24175157445208575,-0.23983442303166086
-0.256156952996734,-0.2521010073190802,-0.2501709808875931,-0.2468163310068819
-0.2632077143154861,-0.2603832147888678,-0.2567573311411304,-0.25334340759528934
-0.269546493853419,-0.26678533299167273,-0.26274950114571405,-0.26042591608889526
-0.275473686069958,-0.27292578626304664,-0.2687987960988958,-0.2666568762046374
-0.2817722281436622,-0.2799925816837521,-0.27494409769631206,-0.2735259650300604
-0.2873574184536598,-0.2855529545008481,-0.280153232866947,-0.28010335457404717
-0.2954055244973983,-0.2905668922401796,-0.28560593330765416,-0.2849966366368367
-0.3000283360889695,-0.29664577752492405,-0.29268228490815307,-0.2898576323823484
-0.30483425424395705,-0.30151488558929834,-0.297502929316329,-0.29428671357487884
-0.309980845763112,-0.30666966248630567,-0.3022977159286183,-0.2987055650157339
-0.3144249224642122,-0.3113169641363886,-0.30736759123955554,-0.303538271565094
-0.31796791902025723,-0.31706974412735667,-0.3113255442636037,-0.3073357791316633
-0.3227079358804295,-0.32210244717519415,-0.31821871878065955,-0.3113168714578669
-0.3258845932568316,-0.3260646893027428,-0.32116821876493534,-0.3153104213987594
