folder_fcr_binding(8),folder_fcr_binding(6),folder_fcr_binding(5),folder_fcr_binding(7)
-0.0,-0.0,-0.0,-0.0
-0.014324658114729948,-0.0146377299560101,-0.01835473467155688,-0.014815030814661657
-0.027649230327551004,-0.030691609686857448,-0.03161647339251533,-0.03313247514653258
-0.039687539949099813,-0.04382406983440231,-0.04695530197537625,-0.047968356893775904
-0.05167778597223948,-0.05626766734709996,-0.06241870023381892,-0.059068195046297775
-0.07014792961874758,-0.06773843340283886,-0.07585548138065246,-0.06963235504886868
-0.0835853616544175,-0.07807431827232814,-0.0858718743667716,-0.0833975425284203
-0.09536470848058193,-0.09288784504201514,-0.1012224459140328,-0.09315399989633924
-0.10657318621288267,-0.10404707013568137,-0.11404703214320358,-0.10536082015905031
-0.11572793808962396,-0.1146660590087595,-0.1246358012225641,-0.11595075768823555
-0.12698256044557044,-0.12300735814386592,-0.13368826341918644,-0.12678931364877258
-0.13581528825722608,-0.13169810674602223,-0.14165539513229733,-0.1402950265618997
-0.14695976854686169,-0.14093570974765643,-0.15620852767725402,-0.14613914739258818
-0.15570933432135578,-0.14920105168294007,-0.16522028117227994,-0.15173588353319492
-0.1692297717994887,-0.15675232580920326,-0.17654013201521435,-0.15869920079734756
-0.1749335143546068,-0.1652493194521589,-0.18149828135769583,-0.1667817731412463
-0.18401631591405107,-0.17056103581881657,-0.18728692717529122,-0.17448966842201624
-0.19004986419615047,-0.18048567510933694,-0.1932010000406058,-0.18252803944918392
-0.1945442978239543,-0.18482564122797576,-0.19821186445830485,-0.1857279472037349
-0.19854160559762882,-0.1901983600890014,-0.2039559150812721,-0.19000892212430412
-0.20251410787781882,-0.1942256861045027,-0.20739404231199068,-0.20078840729448566
-0.20765240660242731,-0.19972286532336342,-0.2114141580245545,-0.20770595929566177
-0.21544880246873227,-0.20352884225585283,-0.2147706210436337,-0.21701564758043854
-0.21979128343463702,-0.21165567138398622,-0.22359876094859335,-0.2219137315698793
-0.22281564444990867,-0.2164438018615407,-0.22690512995143997,-0.2276970575171753
-0.22966934433099162,-0.21927683957741353,-0.2289799717086229,-0.2319765169003802
-0.2319927658322799,-0.22394388344186086,-0.23022628141378124,-0.2371055721957202
-0.2394674149654664,-0.22494796475404197,-0.233045242245849,-0.24048169910513642
-0.24215261726496698,-0.2296713685161565,-0.23690071387434017,-0.24924944736581672
-0.24665272645493197,-0.23195451599265848,-0.24062503765949977,-0.2499551404861483
-0.24821553342326513,-0.23306977181275002,-0.2529406393431067,-0.2552365219789608
-0.25279836330947797,-0.23404010414257292,-0.25482335823609725,-0.26081936728395133
-0.2524785780927514,-0.23663372685884793,-0.2541107033293059,-0.261401973556926
-0.25371665315225306,-0.23614409490728852,-0.25403510042599037,-0.2630153095577465
-0.2579453420204409,-0.243349011702927,-0.2539309838502917,-0.2632551687334976
-0.2591003734620196,-0.24728525307077937,-0.254984664676098,-0.2625539501175534
-0.26001871679034205,-0.248669575695366,-0.2547152800105264,-0.2708433109350488
-0.26274064669148867,-0.2542868867105234,-0.25882271450475897,-0.2775214049535106
-0.26199926518463057,-0.25446542468771227,-0.2579405893375692,-0.2770648601817066
-0.263489344584996,-0.2541978452842307,-0.26159604892282123,-0.28045912849636734
-0.2633725338411467,-0.25359094751401573,-0.2617756605407073,-0.2809781933409635
-0.2653754780224569,-0.2540858127080231,-0.26270629834924714,-0.2796332383731564
-0.26555777618288684,-0.25392366650427606,-0.2685012607858358,-0.2814355058002844
-0.26438973570000857,-0.2564029536992383,-0.2679219526503138,-0.28001811968938806
-0.2697941354602691,-0.2614798914337255,-0.26879240284595246,-0.28299251474861115
-0.2710192632427939,-0.2628665013253794,-0.2701408292428664,-0.2817088630062267
-0.2705317946368794,-0.2620859654115313,-0.26866494871089475,-0.2807408947439296
-0.2704234759475715,-0.2624361231925488,-0.2694565345402662,-0.2801555036912904
-0.2688560782075626,-0.2617887447650584,-0.26869265525427355,-0.2804637310633104
-0.26784354773107877,-0.2645149179592992,-0.26979003328795204,-0.27937655662514893
-0.26543144261616575,-0.26254118782032043,-0.2723581937698829,-0.27846784661219925
-0.26411297181448257,-0.26323365834148815,-0.27272673490367344,-0.2754533899482862
-0.26761116790761447,-0.26130936711727265,-0.27233974831980684,-0.27393526951675645
-0.26601980702352696,-0.2611050493365201,-0.27338223666018086,-0.2727954624556692
-0.2668016097406898,-0.25871409541242624,-0.27891949815248035,-0.2718567939554997
-0.2681793817408575,-0.2562661088810932,-0.2755740107015931,-0.2693753568151935
-0.26782166476599367,-0.2539890625228401,-0.27366464133745,-0.26709935743803115
-0.26801548633905276,-0.2535524270321268,-0.27162456564124804,-0.2669764159660708
-0.2663365259339879,-0.2518770812752452,-0.26981859543353237,-0.26530263866863096
-0.26718601935093333,-0.25008580552954,-0.26801803059928764,-0.2638847636607842
-0.2647787488150306,-0.2476200010985256,-0.26559058349297615,-0.26136613688437416
-0.262915279151648,-0.24644346594143918,-0.2632839240009598,-0.260638339247924
-0.2609846703830077,-0.2494998082445075,-0.26095117854054256,-0.2572895579101132
-0.2597729016582895,-0.2512524329526066,-0.2590892830000246,-0.25520700537502283
-0.2575192940134441,-0.24950171227080883,-0.25694897292696534,-0.254419870160438
-0.2577516879074316,-0.25404912310816474,-0.2596727083587475,-0.25263777822166417
-0.2587657914771362,-0.2521483223011864,-0.2610013691662085,-0.25064512415596857
-0.25920852752934825,-0.2504118642083272,-0.26162996066463096,-0.25082249474278717
-0.2599745960898366,-0.25082810532630384,-0.25940106036135574,-0.2488746234453535
-0.25935340984917943,-0.25214478759863623,-0.26087476678262717,-0.24852323896716805
-0.26244345910974914,-0.25047564057419724,-0.25891099875873225,-0.2511192813271878
-0.2631617318149036,-0.2477678397098049,-0.25562081990471996,-0.2521429412170677
-0.26128561360484115,-0.24466113144647234,-0.25412036474258787,-0.251316389312197
-0.2581833605524963,-0.242995812228872,-0.25613795790006183,-0.25273863733317886
-0.25695938072085445,-0.24316957232575262,-0.25465313456365984,-0.2499342610690804
-0.2537922081529897,-0.24607909084239005,-0.2536548601105047,-0.24776981949383933
-0.25367215356268036,-0.2429115221238386,-0.2520969623341481,-0.2465125304028752
-0.251935525476564,-0.24304625373487446,-0.25064610919320107,-0.24759948914765473
-0.24879643112793293,-0.24580521409806372,-0.24835723252769745,-0.24393826366103774
-0.24998497710613143,-0.24319603689749214,-0.2503928227684588,-0.24729589198685797
-0.2472758574382432,-0.24235233775423656,-0.2480267903873858,-0.246452981976454
-0.2482415620375998,-0.23983566078169744,-0.24693612772083054,-0.24339568731063527
-0.2453374199192684,-0.23845920765994552,-0.24450176333549523,-0.2432342009004923
-0.24552383374684886,-0.2368678729578009,-0.24326579775095425,-0.24757946882783902
-0.24707013889067983,-0.23429967363597703,-0.2403500649157423,-0.24400465944167773
-0.24674408627890043,-0.23312685970831093,-0.23972848220092427,-0.24065528832850341
-0.24607328347123697,-0.2312511499819558,-0.24075438695248258,-0.23719692732306413
-0.2418167446536621,-0.22862695887062692,-0.2392147570232787,-0.23418429880965178
-0.23977463279559003,-0.22794100710098555,-0.23869142913339073,-0.2316438495621814
-0.2389933118586022,-0.22737896920000988,-0.23591304474542035,-0.23091475973964917
-0.23664824103157678,-0.22416104168193954,-0.23422936764617097,-0.23348206562371698
-0.2404424906839766,-0.22089376273000436,-0.23172736802514762,-0.23227823620935603
-0.24039732107361642,-0.2187657657487902,-0.22875548719683325,-0.2320087921625303
-0.24386468346752335,-0.2170196289728461,-0.23222521720502962,-0.2295970057216225
-0.2410422978443586,-0.21744925647353303,-0.2311452719398286,-0.22571862660972714
-0.24282309860084733,-0.2160507483578814,-0.22951046982723827,-0.22679299439947812
-0.2415291678441619,-0.21722231038507103,-0.23030122723677715,-0.22396072137587542
-0.23811494140769773,-0.214741465323255,-0.2278846779013362,-0.22238907341525838
-0.23524128992936036,-0.211977340780633,-0.23039005200163098,-0.21979075423273464
-0.23686729900425385,-0.21520705052548203,-0.22814939963061232,-0.21637223340467945
-0.23307374424991814,-0.2132608468403076,-0.22585062328326203,-0.21329865630410993
-0.2320324537790124,-0.21352825670820338,-0.2271967442742437,-0.21602682745142043
-0.23047583133823768,-0.21340888213468837,-0.22609762764297792,-0.21516604721997204
-0.22937835013584076,-0.21331956041784889,-0.2268516135231878,-0.21306132812568834
-0.2290735384849629,-0.21092111411367923,-0.2235377390033778,-0.21588400641241243
-0.2294615987175672,-0.20733715565106614,-0.22055667677450294,-0.21377203631609157
-0.22655567958108322,-0.20531715840216805,-0.22145357534430615,-0.21354558173790672
-0.22641999295095527,-0.2041189880425856,-0.21937806244077385,-0.21019749896689596
-0.2260233497330409,-0.2056449248619993,-0.21894268016519536,-0.20645907351117568
-0.22796212333496946,-0.20457444647147865,-0.22388580242209058,-0.2037130669694113
