folder_fcr_binding(8),folder_fcr_binding(6),folder_fcr_binding(5),folder_fcr_binding(7)
-0.0,-0.0,-0.0,-0.0
-0.0135978732183106,-0.013520594715059418,-0.013737064172005136,-0.013334746658745001
-0.025904739790176826,-0.025697764961213784,-0.025765657582393173,-0.0268716923222122
-0.038635697011862785,-0.03835825846608455,-0.03765786992735654,-0.03966427514422041
-0.050847984969564185,-0.049861616409150544,-0.04836661994422216,-0.05152531264122545
-0.06139222987645741,-0.06057528024936929,-0.05961336502070887,-0.06217870702865289
-0.07188596743677056,-0.07127023166910247,-0.06972266320590634,-0.07362213081765712
-0.08177577930453932,-0.08122477846641171,-0.0797467872450407,-0.08349789569829025
-0.09167432908773522,-0.09095294818630924,-0.0888370608734512,-0.09289862949532085
-0.10031679132137686,-0.09952378700007404,-0.09773320720359094,-0.10422458266735529
-0.10965189596171716,-0.10786467318466927,-0.10609585581017304,-0.11237053971655639
-0.11744525201008188,-0.11615157053628636,-0.1141430120277834,-0.12138654828781867
-0.12607160191577596,-0.12411591786242133,-0.12408710582411357,-0.12974851542156796
-0.13274125573243414,-0.1319936975356036,-0.13124101640982164,-0.13723746193292524
-0.13979162881854865,-0.13849513196136598,-0.1393235626678907,-0.14399775383850139
-0.1469930371996543,-0.14518379343883425,-0.14587606174714937,-0.1503762824710199
-0.15380583378649026,-0.151661629482498,-0.15193329161119506,-0.15587637124722467
-0.15949738163306423,-0.1578621881300121,-0.1575452462668872,-0.16117898815385318
-0.16578105254794637,-0.16639818932252706,-0.16286642539603174,-0.16646247883876786
-0.17078777628800285,-0.17134900826363164,-0.1679805433412583,-0.1712803734902973
-0.17495418455149891,-0.17665789882371324,-0.17300473419282036,-0.17606854631106025
-0.1789864094464833,-0.18068968669980484,-0.17732984251651815,-0.18073746650973205
-0.18408803279889832,-0.18492460124961274,-0.18304293895987378,-0.18427508577525106
-0.18777711510145553,-0.1892406276263873,-0.18749085703611823,-0.18905153293045898
-0.19374408154251788,-0.1926708757409143,-0.19060834294167225,-0.19295189565564175
-0.19765806845475203,-0.19695779752341103,-0.19388536320529443,-0.19635073013441962
-0.20078802940797683,-0.20025286422103197,-0.19688393040793886,-0.19985285499315086
-0.2034732111954845,-0.2034743089102082,-0.202316341523258,-0.20323446927900335
-0.20624117566552932,-0.20632045673972169,-0.2048896381811216,-0.20604200553408525
-0.20868022876537226,-0.20850666928359218,-0.20867728999839824,-0.20866157765248253
-0.21231588844308033,-0.21119781168236051,-0.2126903139775456,-0.21085079679865298
-0.21508079154058088,-0.21361734706531152,-0.21479958003250865,-0.2134311072265902
-0.21884798190963134,-0.21662870520504857,-0.21801151976144337,-0.2155315518177544
-0.22066008441243032,-0.21918076270580283,-0.22092664505617018,-0.21828837729847556
-0.22227648195694183,-0.22173737520253106,-0.22201129469594896,-0.2204073080553749
-0.22490896503347965,-0.22330024827162934,-0.22382224667098782,-0.22169171243289548
-0.22568602637873766,-0.22430649948431491,-0.22656929536921352,-0.2227802933809807
-0.22688672370670787,-0.22564802919099558,-0.22829319988339047,-0.22405186887583534
-0.23424992227213398,-0.22945302469186082,-0.229278648795597,-0.22485500484451681
-0.23498936951025434,-0.23059369991486253,-0.23171079823998025,-0.22563186293372278
-0.23556671638317525,-0.23110882304410788,-0.2326342242460084,-0.22674206016448523
-0.2367773738976967,-0.2326879289393948,-0.23449413877903041,-0.22769718808248438
-0.23684975353441828,-0.23322461296661376,-0.23680172275660968,-0.22829743934725705
-0.23651614556069034,-0.2335610732758289,-0.23722857780594556,-0.22938358931454952
-0.2368806794473698,-0.23507529390304524,-0.23808383017445695,-0.22985855449871834
-0.23680866616680013,-0.2353976864514531,-0.238305148157989,-0.23010747523717387
-0.23692068989627368,-0.23573110336295,-0.2391064162044808,-0.2304627289393681
-0.2370198180987535,-0.23648226259089078,-0.23893970624480979,-0.23070840785761287
-0.23692977187378644,-0.2364160551484912,-0.23983581079734312,-0.23095478552159893
-0.23656135330523717,-0.2364682727515645,-0.2399624026360102,-0.23089127658073977
-0.2367733269090352,-0.23614416676665212,-0.24036412588182243,-0.23170956394576375
-0.24105158590349698,-0.23581368331106345,-0.23963953925254683,-0.23144847711231648
-0.2408196545963975,-0.23588220656335782,-0.2395266248070028,-0.23125872002683334
-0.24130480857471528,-0.2354549877604645,-0.23896936954149348,-0.23121718495799487
-0.24027690941250174,-0.23572506945706684,-0.23887791078230758,-0.23020272646730594
-0.2400758309373724,-0.23605844150282393,-0.23901823462858776,-0.23001719139075796
-0.2396749869319008,-0.23645795153841878,-0.23853555332502377,-0.23141533662652405
-0.23851497016236822,-0.235982480894021,-0.23744392805511302,-0.2315121530375289
-0.2376525879979996,-0.235266842823343,-0.2369315977395331,-0.23096300775686354
-0.2371065030157004,-0.23398904168045384,-0.23625335377141288,-0.23017986222263911
-0.23685549196836356,-0.23370269361781315,-0.23624032247698762,-0.22977054682045073
