xdata,sfr_data,bfsfr_data,real_data
0.0,-0.0,-0.0,-3.35788174604023e-5
0.05,-0.01437790593933883,-0.015615530516137175,-3.547601403598603e-5
0.1,-0.028308804705521773,-0.03077755269292255,-0.015144113317890881
0.15,-0.04180140833032801,-0.04519870134982778,-0.029764809255124012
0.2,-0.054864343153372984,-0.059318173810724566,-0.04391900173170367
0.25,-0.06750614848902003,-0.07287128440705344,-0.05760502445718212
0.3,-0.07973527538409186,-0.08590516619183675,-0.07087617781226094
0.35,-0.09156008546380984,-0.09855596291104476,-0.0836979066857541
0.4,-0.1029888498634806,-0.11123871486602196,-0.09601469750273964
0.45,-0.11402974824341533,-0.12306587413681878,-0.10790228676218984
0.5,-0.12469086788463173,-0.13467909970273806,-0.11936506754521224
0.55,-0.1349802028630128,-0.1456729974644451,-0.13041731106637638
0.6,-0.144905653299503,-0.15639240573221871,-0.1411317605139651
0.65,-0.15447502468410032,-0.16654730064759604,-0.15145263814809734
0.7,-0.16369602727135282,-0.17639684986158616,-0.16139175362263794
0.75,-0.17257627554517255,-0.18638446785566337,-0.1709548789198795
0.8,-0.18112328775076614,-0.19555111334034073,-0.18012450546369113
0.85,-0.18934448549158311,-0.20448927412572895,-0.1889357599621346
0.9,-0.1972471933891855,-0.21300933024550073,-0.1973433804789557
0.95,-0.20483863880400077,-0.22108078668778855,-0.20541024694848037
1.0,-0.21212595161492248,-0.2289564802923371,-0.21323135065290963
1.05,-0.21911616405586862,-0.2362681758487488,-0.2207263211410765
1.1,-0.2258162106072932,-0.24335044417481794,-0.2278269929178563
1.15,-0.23223292794082492,-0.2500852949570808,-0.23461859101793853
1.2,-0.2383730549151899,-0.2564138821379602,-0.2411350999699921
1.25,-0.24424323262156944,-0.26320837363541716,-0.2473572732873597
1.3,-0.2498500044766848,-0.2698105848572875,-0.2532576525893926
1.35,-0.25519981636185685,-0.27564706926423965,-0.2588790521919892
1.4,-0.26029901680632717,-0.28198947189138385,-0.2643136028278585
1.45,-0.26515385721325974,-0.2869323844786076,-0.269481914480079
1.5,-0.26977049212671317,-0.2919922974668321,-0.2743077902934804
1.55,-0.27415497953810436,-0.2964858464701356,-0.27888271100238077
1.6,-0.2783132812305206,-0.30077342303547744,-0.2832636817202109
1.65,-0.2822512631594655,-0.30506633133256705,-0.2874061213127966
1.7,-0.2859746958685099,-0.3088627356703662,-0.2913163686501485
1.75,-0.2894892549384032,-0.312341028067382,-0.29500096001247
1.8,-0.29280052146827895,-0.3156721333357344,-0.29845774485361576
1.85,-0.29591398258756596,-0.3187246987761601,-0.3017014433466235
1.9,-0.2988350319972465,-0.32208889248338096,-0.30475491483101436
1.95,-0.3015689705391811,-0.3247676339706239,-0.3076069725168543
2.0,-0.3041210067922048,-0.32741223462922486,-0.3102255474211613
2.05,-0.30649625769378624,-0.32973955909697045,-0.3126549199913314
2.1,-0.30869974918598025,-0.3318997031900829,-0.31488374123082064
2.15,-0.31073641688455084,-0.3337955277653928,-0.31693475784154646
2.2,-0.31261110677006876,-0.33592450924068307,-0.31883913380595014
2.25,-0.3143285758998843,-0.33747010738746225,-0.32057591413295095
2.3,-0.3158934931398814,-0.339056311426568,-0.3221840266852627
2.35,-0.3173104399149196,-0.34065246272785354,-0.3236342014974685
2.4,-0.3185839109769844,-0.3420502733713874,-0.32494213129769045
2.45,-0.3197183151899713,-0.3432445382464928,-0.3261017928650293
2.5,-0.3207179763301557,-0.34409518176834825,-0.3271047714019927
2.55,-0.3215871339014063,-0.34476605341274147,-0.32796918158083144
2.6,-0.3223299439641648,-0.3455088067317636,-0.3286826069408098
2.65,-0.3229504799773492,-0.34597352028428907,-0.32926683919527616
2.7,-0.32345273365224486,-0.3464292735549212,-0.32973295868703156
2.75,-0.3238406158175778,-0.34699712987528797,-0.3300784542688921
2.8,-0.32411795729489473,-0.3471210079304804,-0.3302780065762581
2.85,-0.32428850978348894,-0.3470898360777426,-0.3303657790614136
2.9,-0.3243559467540697,-0.3477549777554219,-0.3303252899398345
2.95,-0.32432386435040106,-0.3482265973932463,-0.3301813349627956
3.0,-0.3241957822982105,-0.34788337474413017,-0.33000168494364895
3.05,-0.3239751448206178,-0.34737246190618826,-0.3297250224464773
3.1,-0.3236653215594236,-0.3468938532457817,-0.329306509159014
3.15,-0.32326960850156145,-0.3463313381133043,-0.3287991105049145
3.2,-0.32279122891008266,-0.3457084173479512,-0.32823440419242333
3.25,-0.3222333342590225,-0.34510372289516716,-0.3275872309928606
3.3,-0.32159900517158097,-0.34413755152689574,-0.326837422837736
3.35,-0.32089125236097277,-0.343361715049979,-0.3260121670146182
3.4,-0.32011301757343774,-0.34219985534007663,-0.32513856648228046
3.45,-0.3192671745327935,-0.34107187576276926,-0.3241953728799465
3.5,-0.31835652988606833,-0.33992862548486313,-0.3231265450400417
3.55,-0.3173838241496636,-0.33877330815737083,-0.32199515625168923
3.6,-0.31635173265551636,-0.33794030730577906,-0.3209023203606835
3.65,-0.31526286649688423,-0.3365472801529748,-0.3197508455438379
3.7,-0.31411977347316444,-0.3353526992637972,-0.3185072184302459
3.75,-0.31292493903341717,-0.33396038100340425,-0.3172110060747838
3.8,-0.31168078721807324,-0.3324293039714049,-0.3158300942043618
3.85,-0.31038968159848485,-0.33121712180366264,-0.314402337597149
3.9,-0.30905392621388417,-0.32967770629609583,-0.31296656001629114
3.95,-0.3076757665053522,-0.3282619253946251,-0.31148813672253933
4.0,-0.3062573902464894,-0.3267126861171025,-0.3099346442464042
4.05,-0.3048009284703845,-0.3251004542613839,-0.3083437208754702
4.1,-0.30330845639256976,-0.3234483314611613,-0.3067476027635698
4.15,-0.30178199432960967,-0.32292697642026447,-0.3051178570774105
4.2,-0.3002235086130547,-0.32127563686629046,-0.3035114591677704
4.25,-0.29863491249844804,-0.3196705080569488,-0.30187456132996804
4.3,-0.29701806706906325,-0.31834756546792486,-0.30017154611719743
4.35,-0.2953747821341647,-0.31670695608436406,-0.2984425865449572
4.4,-0.2937068171214925,-0.3151026861018697,-0.2967056787524064
4.45,-0.2920158819637102,-0.31356183302929475,-0.2949461937205941
