xdata,sfr_data,bfsfr_data,real_data
0.0,-0.0,-0.0,-0.003078656150394055
0.05,-0.011877399854860825,-0.01330590273631062,-0.0032802460450229915
0.1,-0.02321604348792352,-0.026308202533806134,-0.015180487105056628
0.15,-0.03403683022847357,-0.038723291807880374,-0.026520925641443364
0.2,-0.04435988826859383,-0.04998226633853814,-0.03757819700865449
0.25,-0.054204602598536586,-0.06179146340940031,-0.0481112510886942
0.3,-0.06358964193722354,-0.07235099995130971,-0.05880580805388976
0.35,-0.07253298469390597,-0.0817437710819679,-0.06899597213207127
0.4,-0.08105194399576536,-0.09130181940297613,-0.07805822434298827
0.45,-0.08916319181497236,-0.1000280555725346,-0.08667597237916551
0.5,-0.09688278222746635,-0.10857353748578015,-0.09528239584093094
0.55,-0.10422617383464487,-0.11666168001357972,-0.10346617406350127
0.6,-0.11120825137800772,-0.124707858614654,-0.11092425914488444
0.65,-0.11784334657567008,-0.13193789279527074,-0.11800326311802561
0.7,-0.1241452582087005,-0.13964966558266867,-0.12479521435800409
0.75,-0.13012727148420317,-0.1460020712014489,-0.13123584264363916
0.8,-0.1358021767010653,-0.1520704975301865,-0.13692505360511117
0.85,-0.14118228724345644,-0.1579256412483025,-0.14230425115462672
0.9,-0.14627945692613054,-0.16508433433868044,-0.14741317395014905
0.95,-0.15110509671486944,-0.16973511370054367,-0.15223634268088312
1.0,-0.15567019084443795,-0.1750148239484433,-0.157555575257482
1.05,-0.15998531235572155,-0.1798678653428072,-0.16258782217827372
1.1,-0.16406063807286111,-0.18407096764085168,-0.166993416196496
1.15,-0.1679059630405204,-0.18822326673445605,-0.17114641670225658
1.2,-0.17153071444062853,-0.19221137702986207,-0.1747999117908692
1.25,-0.17494396500733628,-0.1963193444692658,-0.17822971408880822
1.3,-0.1781544459581651,-0.20162517917363565,-0.1814568304887318
1.35,-0.18117055945873037,-0.20469604258891114,-0.1844784734628034
1.4,-0.18400039063778947,-0.20746995349116967,-0.18785889989538312
1.45,-0.1866517191687883,-0.210254951803749,-0.19103336622135447
1.5,-0.18913203043343127,-0.21284690043289714,-0.19369716366793538
1.55,-0.1914485262823005,-0.2166920744973747,-0.19618207944325813
1.6,-0.19360813540704455,-0.2198438563476329,-0.19869034413640396
1.65,-0.19561752333801738,-0.22287428084524358,-0.20102865964304542
1.7,-0.197483102080872,-0.2253525730926602,-0.2031644870871876
1.75,-0.19921103940507212,-0.2267221507682126,-0.20514603075271196
1.8,-0.20080726779681973,-0.22867497656783636,-0.20710278763876014
1.85,-0.20227749308845125,-0.23070406717516384,-0.20891456422974394
1.9,-0.20362720277595603,-0.23191927651326683,-0.21046625826819496
1.95,-0.2048616740357957,-0.23289211135908963,-0.21188930837403336
2.0,-0.20598598145185176,-0.23338468008252605,-0.21259471676086072
2.05,-0.2070050044629097,-0.23552015713142765,-0.21320167523076575
2.1,-0.20792343454073092,-0.23722019217052281,-0.21430087756179803
2.15,-0.20874578210840936,-0.23732426450618513,-0.21529207070750983
2.2,-0.2094763832083137,-0.23786352510077408,-0.2164362982386069
2.25,-0.21011940592866124,-0.23868309323136766,-0.21747401576634337
2.3,-0.2106788565974037,-0.23853717767787427,-0.21827466204900053
2.35,-0.2111585857517344,-0.23873095440051528,-0.21898257062153412
2.4,-0.21156229389137093,-0.2391382297736454,-0.21854151207709988
2.45,-0.2118935370233226,-0.23862836667652013,-0.21804993026223163
2.5,-0.2121557320056949,-0.23888587641463752,-0.21822890128113515
2.55,-0.21235216169771132,-0.23978567601920123,-0.21833996939532302
2.6,-0.21248597992298457,-0.23920595256442614,-0.21836971621436377
2.65,-0.21256021625269417,-0.23913185344229618,-0.21833869043087054
2.7,-0.21257778061520385,-0.2384558127222719,-0.21846880895235296
2.75,-0.21254146773834925,-0.2382696910554687,-0.21853722210020882
2.8,-0.21245396143039696,-0.23869086669386852,-0.21826390027956338
2.85,-0.21231783870553078,-0.23847927654500192,-0.21794391674235825
2.9,-0.2121355737594065,-0.2372119103190406,-0.21775362858289435
2.95,-0.2119095418002267,-0.23725485291340498,-0.21751608111335655
3.0,-0.21164202274051575,-0.23675354712818966,-0.2177830004558318
3.05,-0.21133520475460052,-0.2354969296548537,-0.21799008193881578
3.1,-0.21099118770666025,-0.23433227806989682,-0.21788113104931608
3.15,-0.21061198645399307,-0.23415330597552017,-0.2177262947898915
3.2,-0.21019953403001812,-0.23392301761535594,-0.21733008992315836
3.25,-0.20975568471129014,-0.2330160820777673,-0.2168989946898039
3.3,-0.20928221697280536,-0.23279540157763884,-0.21602814343061305
3.35,-0.2087808363355144,-0.231932878436812,-0.21513924919637015
3.4,-0.20825317811002433,-0.23104519157384046,-0.21452493106009438
3.45,-0.20770081004017926,-0.23128608493000896,-0.21388598860778163
3.5,-0.20712523485013373,-0.23031085641676796,-0.21329856624527635
3.55,-0.2065278926984293,-0.22980412898278424,-0.2126872330784362
3.6,-0.2059101635424156,-0.23043572479140853,-0.2118128091199045
3.65,-0.20527336941622545,-0.23017649990114475,-0.21092513014872308
3.7,-0.2046187766254734,-0.2296674097373807,-0.2101005800226287
3.75,-0.20394759786164743,-0.22825021573452467,-0.20926259830923277
3.8,-0.20326099423910032,-0.22800061149577783,-0.20866904039554038
3.85,-0.20256007725744815,-0.2265470921931244,-0.20805606060790072
3.9,-0.20184591069205612,-0.22594196768315453,-0.207815081074256
3.95,-0.20111951241523068,-0.22453289846607472,-0.20754480248360088
4.0,-0.2003818561505918,-0.22371863478615833,-0.2058803785201675
4.05,-0.19963387316305886,-0.2234863261767956,-0.20423334805395693
4.1,-0.19887645388678246,-0.22222365872031935,-0.20306330893686217
4.15,-0.198110449493263,-0.22109411399429163,-0.20189599553982449
4.2,-0.19733667340179933,-0.21988335172949355,-0.20149016079180493
4.25,-0.196555902734387,-0.21908226375506992,-0.2010638292226854
4.3,-0.19576887971705403,-0.21756331765127862,-0.20043354838826866
4.35,-0.19497631302957144,-0.21622992037963484,-0.1997911160393438
4.4,-0.1941788791054254,-0.21474270628559597,-0.19884623051661862
4.45,-0.1933772233838292,-0.21391258981689137,-0.19790032899765428
4.5,-0.192571961515541,-0.21240722667524653,-0.1971880304413763
4.55,-0.19176368052412673,-0.21157738339461143,-0.19646833137286504
4.6,-0.1909529399243091,-0.2105829454382824,-0.19526670256706335
4.65,-0.1901402727989449,-0.2109620540695277,-0.19407427963158033
4.7,-0.1893261868361426,-0.21018509721330367,-0.19287632132777627
4.75,-0.18851116532795462,-0.2090758754641872,-0.19168835665615805
4.8,-0.1876956681320383,-0.2076403157552576,-0.19096774234616118
4.85,-0.18688013259763564,-0.20626241319750285,-0.19024278992492932
4.9,-0.1860649744571777,-0.20668810317829361,-0.18992328344982348
4.95,-0.18525058868472558,-0.20601077213189814,-0.18958757888381145
5.0,-0.18443735032249664,-0.20461101401050302,-0.1889748989744228
5.05,-0.1836256152766067,-0.20314395547243344,-0.18835630286293428
5.1,-0.18281572108316535,-0.2025245293024733,-0.18730318370088236
5.15,-0.18200798764577453,-0.20074645606449784,-0.18625903772822863
5.2,-0.1812027179455132,-0.19959719373793855,-0.1856995823323716
5.25,-0.18040019872435362,-0.199531787228432,-0.18513413620499494
5.3,-0.179600701143055,-0.19899230777459806,-0.18417631755127767
5.35,-0.17880448141437222,-0.19820758598136215,-0.18322600483301946
5.4,-0.17801178141254076,-0.19675772769386937,-0.1821200599414093
5.45,-0.17722282925989566,-0.19545572768889316,-0.18102705339346506
5.5,-0.17643783989142764,-0.19410396268727922,-0.1800429226051656
5.55,-0.17565701559812333,-0.19340387776889448,-0.17906851452261735
5.6,-0.17488054654982557,-0.19203819363131305,-0.17804653432618697
5.65,-0.17410861129838687,-0.19077286330894253,-0.177036140769254
5.7,-0.1733413772618139,-0.18913137467762003,-0.17617514181860847
5.75,-0.1725790011901264,-0.1880635135776116,-0.1753212299817373
5.8,-0.1718216296135809,-0.18682684505489988,-0.17473784409371243
5.85,-0.17106939927389106,-0.1858530588468169,-0.17415333335544497
5.9,-0.17032243753909881,-0.18444762228457065,-0.17301286262526777
5.95,-0.16958086280266738,-0.18397981406992717,-0.17188965999365735
6.0,-0.16884478486739293,-0.18355848084621948,-0.17126675255836873
6.05,-0.16811430531467195,-0.18422911551031465,-0.17064516592510204
6.1,-0.1673895178596876,-0.18259043447799264,-0.1702919624952306
6.15,-0.16667050869299463,-0.18184760652004137,-0.16993208941771004
6.2,-0.16595735680904955,-0.18100386475729802,-0.16923043865356055
6.25,-0.16525013432212124,-0.1802605879692648,-0.16853383583446163
6.3,-0.1645489067700682,-0.17929844849316048,-0.16803125825322074
6.35,-0.16385373340642798,-0.17909766497833707,-0.16752792899062358
6.4,-0.1631646674812405,-0.17807472113366984,-0.16676617672527172
6.45,-0.16248175651103747,-0.1777041856547178,-0.1660124793385915
6.5,-0.1618050425383588,-0.176907134172812,-0.1659739099960634
6.55,-0.16113456238124185,-0.17542726308048162,-0.16592085272562523
6.6,-0.16047034787299364,-0.1741607860758121,-0.16548041988187714
6.65,-0.15981242609263438,-0.17335714329852409,-0.16503888528181784
