xdata,sfr_data,bfsfr_data,real_data
0.0,-0.0,-0.0,-0.0021769386408849183
0.05,-0.011877399854860825,-0.013048555103874853,-0.0023194842223957348
0.1,-0.02321604348792352,-0.025694843955242817,-0.014394293047021967
0.15,-0.03403683022847357,-0.0373502977824111,-0.025903672951955878
0.2,-0.04435988826859383,-0.04909810606296292,-0.03704995028153077
0.25,-0.054204602598536586,-0.05971972890177431,-0.04766913950791702
0.3,-0.06358964193722354,-0.06977424894402583,-0.05825233705246769
0.35,-0.07253298469390597,-0.07982567112885827,-0.0683346679416122
0.4,-0.08105194399576536,-0.08904610903275925,-0.07748099620533076
0.45,-0.08916319181497236,-0.09764029609081346,-0.08618010503574584
0.5,-0.09688278222746635,-0.10592065994135234,-0.09474363014888693
0.55,-0.10422617383464487,-0.11379838436291165,-0.10288585366078545
0.6,-0.11120825137800772,-0.12148034502014687,-0.11039742383071412
0.65,-0.11784334657567008,-0.12845368572042123,-0.11752818080142786
0.7,-0.1241452582087005,-0.13553843050189482,-0.12434776675777476
0.75,-0.13012727148420317,-0.1431123813260632,-0.1308151306402268
0.8,-0.1358021767010653,-0.14913386710244725,-0.1366515908437721
0.85,-0.14118228724345644,-0.15569713881473232,-0.1421733340900531
0.9,-0.14627945692613054,-0.1612766154757323,-0.1474123720305841
0.95,-0.15110509671486944,-0.16661249912569498,-0.15236152222189972
1.0,-0.15567019084443795,-0.17135276949614942,-0.15757723293633957
1.05,-0.15998531235572155,-0.17576081741313027,-0.16250928586617455
1.1,-0.16406063807286111,-0.17984024263350623,-0.1669208482202604
1.15,-0.1679059630405204,-0.18386675890296086,-0.17107964001929968
1.2,-0.17153071444062853,-0.1877202865641032,-0.17481416490486767
1.25,-0.17494396500733628,-0.19144969414152474,-0.17832242980539786
1.3,-0.1781544459581651,-0.19470867355984367,-0.1816221524360095
1.35,-0.18117055945873037,-0.19780299311421295,-0.1847141152245891
1.4,-0.18400039063778947,-0.2005336210732474,-0.18799995555997867
1.45,-0.1866517191687883,-0.2037519296870364,-0.19108288492094994
1.5,-0.18913203043343127,-0.20609483417305502,-0.19374988892125455
1.55,-0.1914485262823005,-0.2084317519257613,-0.1962379292349199
1.6,-0.19360813540704455,-0.21064324906858278,-0.1986922661389483
1.65,-0.19561752333801738,-0.21252540075474063,-0.20097839125665182
1.7,-0.197483102080872,-0.2142464833169847,-0.20307538579474055
1.75,-0.19921103940507212,-0.21629062768526194,-0.20501934379325956
1.8,-0.20080726779681973,-0.21788230552968174,-0.20690376375811848
1.85,-0.20227749308845125,-0.2191891709970745,-0.2086455111008114
1.9,-0.20362720277595603,-0.22080991518841245,-0.21016497887585286
1.95,-0.2048616740357957,-0.221891624412661,-0.21155682115799834
2.0,-0.20598598145185176,-0.2230274459828927,-0.21240619946160752
2.05,-0.2070050044629097,-0.2240680387705802,-0.21315252977735386
2.1,-0.20792343454073092,-0.22521434952266156,-0.21421501479963337
2.15,-0.20874578210840936,-0.22590262751772702,-0.21517067083185318
2.2,-0.2094763832083137,-0.2264447017555533,-0.2162054852892698
2.25,-0.21011940592866124,-0.2269624765429581,-0.21713727890955067
2.3,-0.2106788565974037,-0.2273196777149172,-0.21787502397246997
2.35,-0.2111585857517344,-0.22786823083760896,-0.21852202141101398
2.4,-0.21156229389137093,-0.22792763224481213,-0.2183325965873396
2.45,-0.2118935370233226,-0.22812051337397946,-0.21808461142135901
2.5,-0.2121557320056949,-0.22827220927014438,-0.21828904282600006
2.55,-0.21235216169771132,-0.22859398440779605,-0.21842477886065495
2.6,-0.21248597992298457,-0.22843032196940327,-0.21848334408314946
2.65,-0.21256021625269417,-0.22826722123341156,-0.218480240680693
2.7,-0.21257778061520385,-0.22796017614728906,-0.21857332048766503
2.75,-0.21254146773834925,-0.22818024403801254,-0.2186059001713784
2.8,-0.21245396143039696,-0.22784828250920353,-0.2183808278246792
2.85,-0.21231783870553078,-0.22736981613450669,-0.21810757577237982
2.9,-0.2121355737594065,-0.22689663790886577,-0.21791163777423225
2.95,-0.2119095418002267,-0.22693268465519556,-0.21766864614476117
3.0,-0.21164202274051575,-0.2265073029655228,-0.21776945728161362
3.05,-0.21133520475460052,-0.22609129212746665,-0.21781574476508295
3.1,-0.21099118770666025,-0.2254395604613253,-0.2176270202224212
3.15,-0.21061198645399307,-0.22476536922995036,-0.2173949472976283
3.2,-0.21019953403001812,-0.2239429361836077,-0.2169819127529596
3.25,-0.20975568471129014,-0.22341524843380914,-0.2165345074733018
3.3,-0.20928221697280536,-0.22293336401978459,-0.2157670123414137
3.35,-0.2087808363355144,-0.22224126692514556,-0.21497816400917202
3.4,-0.20825317811002433,-0.22169159928491847,-0.2143753931673081
3.45,-0.20770081004017926,-0.22081569370231832,-0.21374762907401254
3.5,-0.20712523485013373,-0.22040542921246456,-0.21314918883630088
3.55,-0.2065278926984293,-0.2200678116548521,-0.21252718943021465
3.6,-0.2059101635424156,-0.21958043238332003,-0.21171294030893872
