folder_fcr_binding(100),folder_fcr_binding(7.0),folder_fcr_binding(8.0),folder_fcr_binding(6.0),folder_fcr_binding(7.5),folder_fcr_binding(6.5)
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.03370832810908744,-0.01640373310564261,-0.016562461191687312,-0.016957855246700175,-0.015913502213785898,-0.016656372785246877
-0.05348596778415676,-0.031928966568353305,-0.03182949515186811,-0.03215827857562826,-0.031192324712825056,-0.032709965971810175
-0.08339928050801201,-0.04681670404160493,-0.04812983251704023,-0.04691576089399801,-0.04797271999186228,-0.04825574158672704
-0.10940936679687852,-0.061787744488684286,-0.06221784044099718,-0.0614556140411348,-0.06267037963041229,-0.0632356039619732
-0.13322167496571896,-0.07516110704115249,-0.07605222535758732,-0.07570473385049382,-0.07630447342345201,-0.07746892870510867
-0.15039974469502057,-0.09069292669993073,-0.08970830489962714,-0.08956030802523875,-0.08941614031101365,-0.09112247177751197
-0.16671534302993354,-0.10383885954114674,-0.10325127633554518,-0.10326629579843212,-0.10272367565439984,-0.10432900559800366
-0.17510485191782682,-0.1160685719982254,-0.11619869537660497,-0.1164088040060836,-0.1147992429791671,-0.11663647502649463
-0.20123216328942278,-0.12878734519947824,-0.12783193399012252,-0.1285608015332394,-0.12815668895488566,-0.12871279892289908
-0.2317463757233318,-0.14070014558500138,-0.14034026747278175,-0.14057397224076393,-0.1393702671658655,-0.14170088700639613
-0.25528465210992085,-0.15253068747168125,-0.15158532511447703,-0.1516737245114341,-0.15059425151314373,-0.1535395942605441
-0.2628549437066046,-0.16412622092971332,-0.162398944926194,-0.163879363641204,-0.16241581731596055,-0.16420597186785757
-0.28235948826039714,-0.17488332570006623,-0.17402399403858915,-0.17482103494269474,-0.17248237264060723,-0.17623115047927962
-0.28841879971978923,-0.18525043665771182,-0.18416304997532482,-0.1853874040646341,-0.18248756896273655,-0.18643741653248325
-0.29279592591838266,-0.1947822094617404,-0.19420488560550894,-0.19739726545237285,-0.19239313369635774,-0.19667526549657466
