folder_fcr_binding(100),folder_fcr_binding(7.0),folder_fcr_binding(8.0),folder_fcr_binding(6.0),folder_fcr_binding(7.5),folder_fcr_binding(6.5)
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.01891709721842203,-0.015577226735163865,-0.015555855935580048,-0.015615530516137175,-0.01557648201261323,-0.01563229189158797
-0.03645617193110726,-0.030657667946197176,-0.030706484967214332,-0.03077755269292255,-0.030710155146233403,-0.03071138585619295
-0.05357771743418272,-0.04514642010231901,-0.04534572883840357,-0.04519870134982778,-0.04540654663246757,-0.04539403952423135
-0.08059846515658817,-0.05979978270611407,-0.05945704786384886,-0.059318173810724566,-0.0595702768998722,-0.05953391259345413
-0.09354025764126282,-0.07346181457900848,-0.07348119711426941,-0.07287128440705344,-0.07401585484931815,-0.07345605419152655
-0.10920440224966706,-0.0867795448400978,-0.08688853566756446,-0.08590516619183675,-0.08815603208165566,-0.08665860532133082
-0.13202722494546928,-0.09935711232294081,-0.10047709652316836,-0.09855596291104476,-0.10094597096910345,-0.10005567058644056
-0.14592526123772456,-0.11164027429284039,-0.11262494971110636,-0.11123871486602196,-0.11378000144981983,-0.11230281203447026
-0.16222286006111733,-0.12365854999189173,-0.12431768922405567,-0.12306587413681878,-0.12562557272680686,-0.12417181930968553
-0.17336361080507146,-0.13498702653886654,-0.13580506374490606,-0.13467909970273806,-0.13729334059294393,-0.13535064730288554
-0.18428142783236098,-0.14590883701170387,-0.146732827091979,-0.1456729974644451,-0.1484618046411007,-0.14664943961052176
-0.19455756778884933,-0.15689256638119084,-0.15756282079321624,-0.15639240573221871,-0.15911984769214843,-0.15750211571591208
-0.20444557323231394,-0.1670185043610358,-0.1681050286573447,-0.16654730064759604,-0.16937161208367502,-0.1678078472303003
-0.21648200700693787,-0.1767809865855848,-0.1782875870397273,-0.17639684986158616,-0.17940123031944816,-0.17783996573306246
-0.2276785690517277,-0.18620812395038666,-0.18854941734747066,-0.18638446785566337,-0.1890353371123086,-0.18742567267914423
-0.23706624449785907,-0.19551874605560196,-0.19747228998729469,-0.19555111334034073,-0.19842397544778856,-0.1964931793613617
-0.24713653474103606,-0.20433245924186025,-0.206469723458698,-0.20448927412572895,-0.20743507463470803,-0.20549878754617318
-0.2584571428379825,-0.21300211884836856,-0.21500308958614053,-0.21300933024550073,-0.21618115551049166,-0.21397567227981176
-0.268067846077973,-0.22108581115033754,-0.2232046963683233,-0.22108078668778855,-0.2242390366585157,-0.22213726783820406
-0.2741201841150285,-0.22889543277304053,-0.23086688054924173,-0.2289564802923371,-0.23224703697390991,-0.22990731685510304
-0.28558780180870036,-0.23625048573874224,-0.23854005579054252,-0.2362681758487488,-0.23983817826634152,-0.2372730046791846
-0.2996484589589312,-0.24366276028742895,-0.24563037084623704,-0.24335044417481794,-0.24705863722890306,-0.2442553135741221
-0.3050417446877283,-0.2503325196930656,-0.25291868666736667,-0.2500852949570808,-0.25374112623439743,-0.25104932670299585
-0.3148401752645217,-0.2568209969629959,-0.25952844935036556,-0.2564138821379602,-0.2601911845571877,-0.2573578531823678
-0.33070966605887864,-0.26335847309777105,-0.2655475523916021,-0.26320837363541716,-0.2663957007753903,-0.2640041931351044
-0.3343872545863617,-0.26914572295622646,-0.27151603453063633,-0.2698105848572875,-0.2723038722956925,-0.2699129593130096
-0.3419500797171701,-0.2749598076611297,-0.27705680540698074,-0.27564706926423965,-0.2782337470904796,-0.27539799696086253
-0.34854108159624225,-0.2801435300032987,-0.28227954239923575,-0.28198947189138385,-0.2836770922045703,-0.2806084482875756
-0.35274673059069905,-0.28536737815498725,-0.2872629820824227,-0.2869323844786076,-0.2886858799812144,-0.28570352636240065
-0.3577199888149207,-0.29026080676101185,-0.2921044391076689,-0.2919922974668321,-0.2934792339609579,-0.2906671598288703
-0.3596447432130618,-0.2946812872403509,-0.29676324702818696,-0.2964858464701356,-0.2983607140339046,-0.2952122357051772
-0.3627899659717826,-0.29885799100949517,-0.30116759325239534,-0.30077342303547744,-0.3025874831199499,-0.29942891822471124
-0.3632024864404508,-0.30386428351233735,-0.30513798833405753,-0.30506633133256705,-0.30679395224053296,-0.3036542950323704
-0.3654692912450523,-0.30769065897955455,-0.30898169062334074,-0.3088627356703662,-0.3109236251152948,-0.30794738065482274
-0.3752286326260468,-0.3112593534882263,-0.3127290689406726,-0.312341028067382,-0.3144860118180088,-0.31163378298690053
-0.38360587811340713,-0.3146392855434743,-0.3160505009935694,-0.3156721333357344,-0.3185172208752674,-0.3150121328815285
-0.38664526549708533,-0.31776465021557204,-0.31906078350679723,-0.3187246987761601,-0.32204627165202965,-0.3188392518410702
-0.39696608102166325,-0.32089023696027874,-0.32215578736129075,-0.32208889248338096,-0.3251924739852903,-0.32178310472985744
-0.39978626729075145,-0.3240042377824897,-0.32508420824580336,-0.3247676339706239,-0.3282147136122409,-0.32470306290769685
-0.4092838066274357,-0.32654431448074916,-0.3276449577841411,-0.32741223462922486,-0.33123530978818344,-0.32713473410001526
-0.4115755151724381,-0.3289254496887326,-0.33017907121379486,-0.32973955909697045,-0.33363730847002254,-0.32949883666279384
-0.41170698605044614,-0.33100761453132305,-0.3325336807610394,-0.3318997031900829,-0.3359300203209946,-0.3327107721441442
-0.42240433218240503,-0.33306145404234205,-0.3346237470345394,-0.3337955277653928,-0.33792566590289747,-0.3345519309803376
-0.42129050062035694,-0.33496243167910905,-0.33647700381423573,-0.33592450924068307,-0.3398532365079238,-0.33629581866527775
-0.4214405993869991,-0.3365747863221003,-0.3380681594831156,-0.33747010738746225,-0.3415720216671817,-0.33788653429444304
-0.4209410024466969,-0.338157348137975,-0.3396267394459783,-0.339056311426568,-0.3431913674759708,-0.3396554051440242
-0.42128862408202084,-0.3397496492334119,-0.3409396895506327,-0.34065246272785354,-0.34479448961358033,-0.3409463269402292
-0.4453733444163289,-0.3415867540772418,-0.3421515753763608,-0.3420502733713874,-0.3463053758994631,-0.3421489374668838
-0.4432099073286582,-0.3426896407789546,-0.343096122384291,-0.3432445382464928,-0.34716243211397474,-0.34333462825466504
-0.4468936253823537,-0.34423754578699656,-0.34388096190461576,-0.34409518176834825,-0.34810819456641623,-0.3443908847426564
-0.4425219227259754,-0.34497217801476343,-0.34565227170714574,-0.34476605341274147,-0.3488745783931248,-0.34519033175975294
-0.44378237881018223,-0.3454683931825656,-0.3464395803829581,-0.3455088067317636,-0.34940800288145596,-0.34587902667459003
-0.4392785679694282,-0.34586865044515497,-0.34723606792459166,-0.34597352028428907,-0.34981411644171057,-0.34663668076041937
-0.4398252356696332,-0.3461898104355388,-0.3483743039633596,-0.3464292735549212,-0.3500569626700767,-0.346913965709154
-0.44161919535250815,-0.34644111137555045,-0.34868257929764435,-0.34699712987528797,-0.35035991627527885,-0.34725280917774365
-0.4432856360306523,-0.346520811264238,-0.34898814541868767,-0.3471210079304804,-0.3503528307331101,-0.34722306853125906
-0.44347570728497865,-0.3463814004177746,-0.34892584608012805,-0.3470898360777426,-0.35031370222198815,-0.3471791519144507
-0.4420506249321921,-0.3464250523426264,-0.34955200943213005,-0.3477549777554219,-0.3502757944927704,-0.34704959092662885
-0.43922769827542935,-0.3461775600663401,-0.34939669064219614,-0.3482265973932463,-0.3502985569645665,-0.34678586260137595
-0.4359848022187605,-0.34582240193779257,-0.3491872403279788,-0.34788337474413017,-0.3499724629112117,-0.34638954750844225
-0.4329935463856065,-0.3454234529339886,-0.3487697325800733,-0.34737246190618826,-0.3497029289193433,-0.34580827345336984
-0.4356758800650272,-0.34521398342505605,-0.34838169058872487,-0.3468938532457817,-0.3492069861043965,-0.345381165813745
-0.43160093234522434,-0.3445437914309488,-0.3477816880274932,-0.3463313381133043,-0.3486404605262703,-0.344744318433692
-0.4278930687399523,-0.3439427730018973,-0.34712335007808387,-0.3457084173479512,-0.3479388383450541,-0.34440035056118373
-0.42668256527975074,-0.34309724620390974,-0.3463153501643913,-0.34510372289516716,-0.34724596532849183,-0.34380217408654473
-0.42106412073860766,-0.3425821769020173,-0.34551437773431504,-0.34413755152689574,-0.3463048421475802,-0.3429500758671633
-0.4158935653670637,-0.34165822976915555,-0.344546495392293,-0.343361715049979,-0.34553226847799723,-0.34233590635748906
-0.412396117327187,-0.34065299692222367,-0.3433361468793094,-0.34219985534007663,-0.3445777930407916,-0.3418389518822218
-0.40912712049084066,-0.3395836026855136,-0.3423695066183349,-0.34107187576276926,-0.34349011085707154,-0.340613249939279
-0.40691880699783284,-0.33859396190228064,-0.34113884600254446,-0.33992862548486313,-0.34238834696775705,-0.33968160158887883
-0.40989057226497744,-0.33739897272787367,-0.33995745007880807,-0.33877330815737083,-0.342051393638988,-0.33910773348866835
-0.4063171045350974,-0.33643177347506265,-0.3386803230710679,-0.33794030730577906,-0.3408349773289342,-0.33783344082975697
-0.40204458697667883,-0.33538358465130097,-0.33723486778691586,-0.3365472801529748,-0.33945910428232856,-0.336494931448363
-0.4019273524003429,-0.33447560153411204,-0.3358997219784458,-0.3353526992637972,-0.33832878791896953,-0.3359125641608167
-0.4010501172481622,-0.33351881632224306,-0.33437178495136366,-0.33396038100340425,-0.33726271435406263,-0.3343407815200114
-0.3969650094433815,-0.33214562059956565,-0.332905064337795,-0.3324293039714049,-0.3358191771135807,-0.33281391455061493
-0.39337310002926684,-0.3305566077505816,-0.3313150636175417,-0.33121712180366264,-0.3343346393966511,-0.33126254730666393
-0.38890712046573944,-0.32897243122275094,-0.32969047345789415,-0.32967770629609583,-0.33276109725720565,-0.3296904911161535
-0.38203435973212246,-0.3274916915161433,-0.3283223415167017,-0.3282619253946251,-0.33107219195094045,-0.32910195961610306
-0.3798730050356082,-0.32661734966693795,-0.32675505841726765,-0.3267126861171025,-0.3296469311176984,-0.32741073116579755
-0.38254107146618466,-0.32509346786135884,-0.3253881863823427,-0.3251004542613839,-0.3279016118151564,-0.3258265627329141
-0.37850216980601237,-0.3232240809272476,-0.32377028349667186,-0.3234483314611613,-0.3263585476260441,-0.32391424281234604
-0.375643384353594,-0.3212412666656049,-0.3218831074298712,-0.32292697642026447,-0.3245279666886354,-0.3222733564051384
-0.37552363897620517,-0.31944909937716526,-0.31999985701009986,-0.32127563686629046,-0.3227281556593304,-0.32052522090940705
-0.3705694051659563,-0.3176763261189614,-0.31805882323574514,-0.3196705080569488,-0.32173638902891105,-0.31868426593203925
-0.36563626915619013,-0.31553007433075153,-0.3165643916834675,-0.31834756546792486,-0.3197483280221801,-0.3170613964047659
-0.3620383245923071,-0.313460076345652,-0.3146165008657485,-0.31670695608436406,-0.3178625880818624,-0.31516679676723913
-0.36325144063679377,-0.31134257038756524,-0.3125425595824743,-0.3151026861018697,-0.31603248761748715,-0.31323405326413534
-0.36060442514301966,-0.30917560249850223,-0.310700644924049,-0.31356183302929475,-0.31406105707499193,-0.31127253787003584
-0.37798639474057344,-0.30740268607028104,-0.30853564829890684,-0.31195997368667094,-0.31243086921262064,-0.30928689958939853
-0.37713590397572033,-0.3052459737466584,-0.3063529441574786,-0.3103980922184471,-0.3106844644296914,-0.30761999672559237
-0.37491531560289526,-0.3032900289883696,-0.30426669661396616,-0.30900170724453857,-0.3086453757296588,-0.3058092168895728
-0.37566466730894704,-0.301033969023984,-0.3021034108805142,-0.30761342516565804,-0.30650123399919704,-0.3038875827157918
-0.37828068238610413,-0.29881265592979883,-0.2998443382775568,-0.3062808923017693,-0.30430696817071234,-0.3017519353377633
-0.37299393186350494,-0.29664455354036345,-0.29771446707720167,-0.30509904604242666,-0.30288256726645896,-0.2996655805934051
-0.3739515803822588,-0.29459673130507213,-0.2956107970424312,-0.3036032481942375,-0.3009665403271758,-0.2975552361618207
-0.37325580984954,-0.29250988050774684,-0.29338576432626157,-0.30225394377134684,-0.2988530618492163,-0.29557188396417544
-0.3712505856212415,-0.29041139737645694,-0.29136310740045646,-0.301037861594901,-0.29721508557372095,-0.29434866321173225
-0.37302591352036396,-0.288167979392664,-0.2896831655038812,-0.2998265142583792,-0.29504100162273383,-0.2921660554394926
-0.36968836345950484,-0.28637688304136194,-0.2873206096324789,-0.2988661931026426,-0.29309503325346165,-0.290225243562485
-0.36511526266280775,-0.28436638223865335,-0.2853982693541607,-0.2977907227881921,-0.29197890836987744,-0.28867118165999206
-0.3598746626661818,-0.2823295042882678,-0.28320202786568677,-0.29636865978738336,-0.28976927107550976,-0.2864918806505652
-0.3558131476544205,-0.28017557159864387,-0.28102270570549065,-0.2950197156219505,-0.2879224719365985,-0.28446844746342387
-0.352380208476522,-0.27786756285173936,-0.27899328833119363,-0.29372492425777663,-0.28558315276699386,-0.28290098243961415
-0.34647866780564207,-0.2757977240272489,-0.27703615127364817,-0.2923186139225152,-0.2832453159746274,-0.2807653286047336
-0.3482700983509374,-0.27360218396130664,-0.2749533979498441,-0.2908005123242416,-0.28103240462421364,-0.2784821012504804
-0.34395303716109893,-0.27146848016910324,-0.27323563875289714,-0.2892961902396809,-0.27889305504385037,-0.27640791111053215
-0.34902430607407614,-0.2693915509537453,-0.27134825150891867,-0.28828727282649275,-0.27677860311815633,-0.27428939586695533
-0.3460974499823313,-0.2673426258192855,-0.26938911050269493,-0.28718833081062917,-0.2744179566147411,-0.27210235144820744
-0.34100440455917747,-0.2654059669843194,-0.2674614267170624,-0.2857211064443515,-0.2727154189487981,-0.2698685584990122
-0.33603752475110854,-0.26341594216907593,-0.2654804229051326,-0.28498649087164574,-0.2705008812104415,-0.2680675003927592
-0.33654629094641186,-0.26132527919124443,-0.26349783444224645,-0.2836511384562661,-0.26822200597544604,-0.2660261391383281
-0.335493983101637,-0.25932049966873216,-0.2614142685343313,-0.2823305674593772,-0.26608132512707977,-0.263997822005333
-0.3330680149124423,-0.2576821246754749,-0.25945537617743963,-0.280952141400985,-0.2641219121844737,-0.2617861433389009
-0.3409846359933044,-0.25594766047707257,-0.25736198093135815,-0.2799471827338654,-0.26241455869109126,-0.2596234570071235
-0.3402815812558736,-0.2539737637453331,-0.2551341172062951,-0.2785903659005116,-0.2608194554653167,-0.25753544569417924
-0.3397762675552714,-0.251859127096077,-0.2529733786088795,-0.2772575235204843,-0.2587708291982651,-0.25576287409232934
-0.3367848722070426,-0.2499217325380678,-0.25087229225925145,-0.2759234087413352,-0.2566974040565219,-0.2537170793281161
-0.3420421761864795,-0.24778212641310804,-0.2490013302077175,-0.27466005025022755,-0.25468193709120696,-0.25188133509195937
-0.33634644937800195,-0.24565663176535893,-0.24748797236777498,-0.27369460974193066,-0.2529497455711303,-0.2496156912881508
-0.3314508660659128,-0.24365300392033792,-0.24535947699899874,-0.27258850180347277,-0.2513543802669803,-0.24746419809425566
-0.32941109637944677,-0.24162059031772973,-0.2432838947334873,-0.2713248719363144,-0.24932329756603594,-0.24562200611260493
-0.3250039305178227,-0.23984384242276188,-0.24116231157247114,-0.27008338785898534,-0.24746975366281998,-0.24461937022369146
-0.33179908033393785,-0.23773334869281867,-0.23922191013782113,-0.2690495946159729,-0.2452764800564295,-0.2427558839309509
-0.33161015211829464,-0.2357443631192317,-0.2372201735281542,-0.2676830921781582,-0.24331157087260982,-0.24085578079044592
-0.3322812819071475,-0.23402207139189538,-0.23527134444713846,-0.26650258493500845,-0.24130140945597245,-0.23881139059435802
-0.3344052078100159,-0.23258729492248317,-0.23350207618338437,-0.26522950276012613,-0.23934378368046405,-0.2371396896162303
-0.33558843371244573,-0.23074005897050123,-0.23164488712323517,-0.2641597575102131,-0.23737779247468627,-0.23532734454711057
-0.3369209556602905,-0.2293791736699072,-0.23039082489375612,-0.26355205725750874,-0.23533486958296476,-0.23325074436994142
-0.3402197316594276,-0.22743957179093052,-0.22845762461547472,-0.26215497112999836,-0.23333745181083465,-0.23197978374271291
-0.3374795821446501,-0.22564232850862376,-0.22654019518218277,-0.26083588463679275,-0.2322017767211317,-0.23005478812889182
-0.33676378043879984,-0.2244329708517524,-0.22461847247105432,-0.25971435376093466,-0.23031357474045958,-0.22830606988781585
-0.33542740710594315,-0.22294612883011158,-0.22290951555255442,-0.25858695588901137,-0.22861878826416088,-0.22639116279667731
-0.33240612287513294,-0.22142682880391307,-0.2210754482565961,-0.2576433619157902,-0.2275081695878331,-0.22458031181229385
-0.327749505640538,-0.21969644843843905,-0.21939792877027509,-0.256832968584054,-0.22570985809043304,-0.22291928172418937
-0.3242619532062101,-0.21777276207611504,-0.21758323803335874,-0.25547626911678,-0.2238444697667445,-0.22106436688771106
-0.3217470564093723,-0.21611469543211237,-0.2158495589934102,-0.254883405481043,-0.2219761513539653,-0.2196609504839161
-0.3177106923252605,-0.21425618068678148,-0.21405033304803983,-0.2540091825255619,-0.2202638179698727,-0.21790460832962188
-0.3161941934536969,-0.2125301350074356,-0.21258093822240165,-0.25319340832289544,-0.21848549586996924,-0.21605533108265082
-0.31200032941949796,-0.21087909355729903,-0.21092371880290484,-0.2519420727555831,-0.21695990224010064,-0.21442950529568244
-0.30899084761304835,-0.20926478247801278,-0.20917779695316532,-0.25112379412584374,-0.21505699316908128,-0.21269298001320044
-0.30652429547787163,-0.20756026699949373,-0.20742145223319244,-0.2499403248254167,-0.21330063652485934,-0.21095388917729152
-0.3048209715923085,-0.20630631188061893,-0.20589039550727734,-0.24879660630273734,-0.21168078971105533,-0.20998171994506531
-0.30049293139469513,-0.2046004298996836,-0.2043969165083612,-0.24774603938154072,-0.2100736367332544,-0.20855198708259137
