folder_fcr_binding(100),folder_fcr_binding(7.0),folder_fcr_binding(8.0),folder_fcr_binding(6.0),folder_fcr_binding(7.5),folder_fcr_binding(6.5)
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.020797194775186392,-0.01396169004610817,-0.013566715760855918,-0.014726263571361973,-0.014327396829347742,-0.01330590273631062
-0.06174780736493436,-0.026257840539242655,-0.026733435384839365,-0.027832596851786094,-0.02745796587533126,-0.026308202533806134
-0.07515663084540239,-0.03832579693385372,-0.03975141558736839,-0.04071370506673595,-0.0399288863685475,-0.038723291807880374
-0.09565328894501239,-0.051261093168705224,-0.05150265640708452,-0.053386163503969165,-0.0520412585269469,-0.04998226633853814
-0.11723493797554856,-0.06182077579112943,-0.06256918142971071,-0.06448696913834442,-0.06288794594746122,-0.06179146340940031
-0.12871025313364287,-0.07229947146497818,-0.0727607875876728,-0.07504333305550309,-0.07327706647577929,-0.07235099995130971
-0.16067119831133958,-0.08305908914582841,-0.08317031543476572,-0.08462293768152856,-0.08334389528945974,-0.0817437710819679
-0.18564088772587672,-0.0921152064640879,-0.09229119510053031,-0.0947422130940711,-0.0934861609796932,-0.09130181940297613
-0.2034139853670727,-0.10108969658557707,-0.10263390518371268,-0.10408558475513302,-0.10290507648592935,-0.1000280555725346
-0.2210470439211001,-0.10987081477821908,-0.11164268942474416,-0.11291330693401584,-0.11185000494822189,-0.10857353748578015
-0.23653021343817385,-0.11847628781166689,-0.119021407459333,-0.12151690932640086,-0.12052405426833694,-0.11666168001357972
-0.2716276784424303,-0.12689476459603344,-0.12703399416903477,-0.1302572649563405,-0.12812849060580098,-0.124707858614654
-0.2902710711998718,-0.13440886242706712,-0.13411230650986175,-0.13726540819814664,-0.1359534763765951,-0.13193789279527074
-0.29574041725748645,-0.1417416211639726,-0.1405199259570285,-0.1437798772731123,-0.14272165034374157,-0.13964966558266867
-0.3046655249358866,-0.14903208529312825,-0.14793902859516078,-0.15046008016708146,-0.14966373836309105,-0.1460020712014489
-0.30837996699963033,-0.15605520619227528,-0.15416622087634035,-0.1566673317078239,-0.1556368592220841,-0.1520704975301865
-0.31097311824207174,-0.16118008537533834,-0.15980310576302112,-0.16202036112449972,-0.1615072144672737,-0.1579256412483025
-0.31532900714565654,-0.16708157143530653,-0.16524747902840597,-0.1668958744501305,-0.1665404067657574,-0.16508433433868044
-0.32240665468361307,-0.17177023211249062,-0.1710727525851362,-0.17317111049206765,-0.171811063927023,-0.16973511370054367
-0.3218644307330395,-0.17765563091743863,-0.17531772952910316,-0.17778268230316488,-0.17712380281015022,-0.1750148239484433
-0.3192983224228582,-0.182462405807491,-0.18021305041999322,-0.18161868177061677,-0.18127836171416004,-0.1798678653428072
-0.3166430366900298,-0.1877333704307005,-0.18505440066164655,-0.18659945517548313,-0.18569124190478667,-0.18407096764085168
-0.3346521710034376,-0.19161699352396938,-0.18917839353593963,-0.19121722069692698,-0.19038209679201148,-0.18822326673445605
-0.3425532659155526,-0.1953104775041686,-0.1935769217004832,-0.1944435329615298,-0.19500300081300456,-0.19221137702986207
-0.3372897956011661,-0.1987640950976196,-0.19715022272876748,-0.1988292035045225,-0.19816812971593512,-0.1963193444692658
-0.33964146404181167,-0.20140037003743352,-0.1999728074169551,-0.20162780400981237,-0.2015880191193528,-0.20162517917363565
-0.3406581226912917,-0.20480343732720807,-0.2030740611866516,-0.20727666214357643,-0.2047056222316654,-0.20469604258891114
-0.3426215644055473,-0.20797053952969807,-0.20707082277121336,-0.2103787142795338,-0.20733047707896707,-0.20746995349116967
-0.35812797972293997,-0.21165324698962718,-0.21031051261506523,-0.21351798155384014,-0.21182039649489492,-0.210254951803749
-0.3875208229861812,-0.215018593855794,-0.21444885948715697,-0.21756687834560315,-0.21369554839218832,-0.21284690043289714
-0.41054447274957695,-0.21800669443186238,-0.21725810959002254,-0.21950623311947712,-0.21599221902484572,-0.2166920744973747
-0.41009394215552564,-0.22042595225378409,-0.21890330386700346,-0.22163169891246942,-0.21785733775861282,-0.2198438563476329
-0.4125150222376521,-0.2215430015823712,-0.22345435908079925,-0.22426194500787416,-0.22049844811656857,-0.22287428084524358
-0.40785425128956004,-0.22379706052441428,-0.22703177660622878,-0.2259287084553704,-0.22404316852165398,-0.2253525730926602
-0.39847738943539346,-0.22574484911984094,-0.22928873969420607,-0.22852416285500118,-0.22518496358128728,-0.2267221507682126
-0.4153052145982008,-0.2285579981300677,-0.23061747500853572,-0.2293225517357637,-0.22740655067288734,-0.22867497656783636
-0.4127662267892193,-0.23118015690456128,-0.23175838130741752,-0.23021362118306857,-0.2285117137062799,-0.23070406717516384
-0.4068975898824601,-0.23251110026452942,-0.2326108147170195,-0.23109080752411038,-0.22932728418978002,-0.23191927651326683
-0.4129166142432127,-0.2335514848195964,-0.23417350245829474,-0.23248147868806318,-0.2303762939456549,-0.23289211135908963
-0.4101419048600302,-0.23400290194487566,-0.23505058531590206,-0.23465994843267846,-0.23142640998239794,-0.23338468008252605
-0.41266971765869764,-0.23477596963098057,-0.23681611399546082,-0.23538432976631746,-0.23244021800739095,-0.23552015713142765
-0.42350383861612384,-0.23584568015345653,-0.23765316587321944,-0.23714055857688796,-0.2325746756528751,-0.23722019217052281
-0.449852432488988,-0.2357579695028514,-0.23765241210903984,-0.23827976110788934,-0.23363584961639727,-0.23732426450618513
-0.43540624390988114,-0.23658435223915242,-0.23830236974982696,-0.2380433033117011,-0.23406014104107492,-0.23786352510077408
-0.4351908722381411,-0.23691492352520513,-0.23920292165553345,-0.23800908589221634,-0.23530558908017507,-0.23868309323136766
-0.43878253871007195,-0.2381097210673407,-0.2393519276329978,-0.23838240989775944,-0.23542002491252823,-0.23853717767787427
-0.4518014483894852,-0.23824620876726868,-0.2389192448405838,-0.23828661577908533,-0.236608978511996,-0.23873095440051528
-0.4413102988307143,-0.23910465080419094,-0.23928541898116656,-0.23910577844128386,-0.23695734193157542,-0.2391382297736454
-0.4451084766872222,-0.23907036977338744,-0.23877636613357087,-0.2390384158250494,-0.23711628639584434,-0.23862836667652013
-0.4460488104561292,-0.23901971561265248,-0.23941625919814716,-0.23882426742723456,-0.2377911187563456,-0.23888587641463752
-0.43297201083764286,-0.23919977541450788,-0.2390413556838381,-0.23823534949555178,-0.2371259960449908,-0.23978567601920123
-0.42761224327337394,-0.23940977532051166,-0.24061005266724883,-0.2390449172723313,-0.23704753337823875,-0.23920595256442614
-0.42647471957664096,-0.23909488698499842,-0.23986583960501787,-0.2386202485388617,-0.2368575405451774,-0.23913185344229618
-0.4241957488506581,-0.238280009468495,-0.23943425489797324,-0.23779914069758384,-0.23624511363018721,-0.2384558127222719
-0.4274022350330043,-0.2381612930580131,-0.23880333485096306,-0.23726794467803136,-0.23564370064620216,-0.2382696910554687
-0.42290754167741,-0.2387394275193293,-0.239079937523456,-0.23678190176043595,-0.23504171899901347,-0.23869086669386852
-0.4173010943707158,-0.23804214824720876,-0.24063455794518732,-0.23586167097851063,-0.23386674620926268,-0.23847927654500192
-0.4151122549258172,-0.23788840427059788,-0.2398348269631608,-0.23601965458844187,-0.23331003478169485,-0.2372119103190406
-0.4083526900526874,-0.23758901313262248,-0.23960037373924845,-0.23612676833719504,-0.23372879926049184,-0.23725485291340498
-0.4258145637583584,-0.236744131495551,-0.2383078489374834,-0.23508206748184343,-0.23302551880592304,-0.23675354712818966
-0.41570098761372287,-0.23766154454484004,-0.23787451374248075,-0.23468132084491697,-0.23241800948944616,-0.2354969296548537
-0.4052659613517238,-0.23672216849501243,-0.23758739762830444,-0.23433642749861378,-0.23146591445978376,-0.23433227806989682
