folder_fcr_binding(100),folder_fcr_binding(7.0),folder_fcr_binding(8.0),folder_fcr_binding(6.0),folder_fcr_binding(7.5),folder_fcr_binding(6.5)
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.016834405306694274,-0.013048555103874853,-0.013009841713626631,-0.013017834822963441,-0.01310810449649777,-0.01301153496325524
-0.03353860775876932,-0.025694843955242817,-0.025556871217187672,-0.025395498211798127,-0.025567696897649542,-0.02527687022453057
-0.0476414035711945,-0.0373502977824111,-0.037335633425169885,-0.03717598416081347,-0.03728498854422221,-0.03711773687794069
-0.060545470274482004,-0.04909810606296292,-0.04852266862755033,-0.04825494389967701,-0.04849521779028201,-0.04824950122451454
-0.07298866319948959,-0.05971972890177431,-0.05915744335454901,-0.05905623520495274,-0.059069552212204515,-0.05891851333435946
-0.0832037844664816,-0.06977424894402583,-0.06923805385750235,-0.06916143279564187,-0.06924730268594922,-0.06936220910576511
-0.0949295753942976,-0.07982567112885827,-0.0788685059185783,-0.07911048709327369,-0.07879285130993674,-0.07905524700768636
-0.1079723040102041,-0.08904610903275925,-0.08834869267728857,-0.08831974088566394,-0.08833427670513413,-0.08866143681357426
-0.12067784377216607,-0.09764029609081346,-0.09729106818372686,-0.09704779072333032,-0.09696309865213946,-0.0972877619902132
-0.12654182031986466,-0.10592065994135234,-0.10571891917953641,-0.10529250821585132,-0.10524562646854532,-0.10560438525580725
-0.1449098602319257,-0.11379838436291165,-0.1144161506980119,-0.11391068207576473,-0.11310202582483518,-0.11347716550031155
-0.15010217123662742,-0.12148034502014687,-0.12244037549557957,-0.12150058188566687,-0.1204854509154587,-0.12128851665413184
-0.15903927449576324,-0.12845368572042123,-0.1295696584777559,-0.12847807812483358,-0.12759079005959792,-0.12833173381303792
-0.16650458866077297,-0.13553843050189482,-0.13629242687334028,-0.13516468700766812,-0.1343032700312731,-0.1351847303760408
-0.17253032999708057,-0.1431123813260632,-0.14270507489354675,-0.14144632348249123,-0.14057632420660154,-0.14176896505963948
-0.17800601123455626,-0.14913386710244725,-0.14866539822299712,-0.1475225946926287,-0.14682030083641273,-0.14769528767689974
-0.18468152818898698,-0.15569713881473232,-0.15431274608619527,-0.15311267680028523,-0.1524665783990255,-0.15348727250383645
-0.19278123939844288,-0.1612766154757323,-0.15967016180191676,-0.15849267927728,-0.15780269011274883,-0.1587554637252373
-0.19781269745490082,-0.16661249912569498,-0.16464867317458395,-0.16404378771252973,-0.1630351385596653,-0.16377601267632047
-0.20317462515920817,-0.17135276949614942,-0.1694524034370063,-0.16921339141681357,-0.16796192464626386,-0.16897889735349572
-0.20739509131200667,-0.17576081741313027,-0.1739440322367116,-0.17397050860041652,-0.17238224114168615,-0.17345307762729262
-0.2159504445895319,-0.17984024263350623,-0.17815929558406432,-0.17933492398662207,-0.1768523369163939,-0.17763501425666908
-0.21739209856681957,-0.18386675890296086,-0.182406997123273,-0.1832216089012433,-0.18103348988028073,-0.18173730922604003
-0.2217314922586001,-0.1877202865641032,-0.18612045123299537,-0.1868741225488986,-0.1848205438464041,-0.1853681940892318
-0.22171864281546189,-0.19144969414152474,-0.18957971788489134,-0.19040820300936956,-0.1884611880772244,-0.18885175739566212
-0.2229626383096114,-0.19470867355984367,-0.1931263483088224,-0.1937513442439376,-0.19164845128807909,-0.19249448706530237
-0.2403010229011323,-0.19780299311421295,-0.1962322448134994,-0.19668294172289094,-0.19470022352562857,-0.1958909191552686
-0.24100121056599463,-0.2005336210732474,-0.19916532924077007,-0.1995755742287823,-0.19770170603361412,-0.19887696581935901
-0.2463081485884149,-0.2037519296870364,-0.20176998489789694,-0.20265386137951055,-0.20044990150528288,-0.20183705764392193
-0.24895127387349006,-0.20609483417305502,-0.20425631651767254,-0.2051605325724393,-0.20291180620031177,-0.20443009021017253
-0.2547611991496566,-0.2084317519257613,-0.20651173481344112,-0.20795077769200038,-0.2052605852235548,-0.2067410886517745
-0.25835804130192686,-0.21064324906858278,-0.20865393207226832,-0.20997346831279537,-0.2074499687046013,-0.20880632459977122
-0.2614770039649973,-0.21252540075474063,-0.2106238062527885,-0.2122928056736898,-0.21074708315572932,-0.21071036509857394
-0.2631964078248669,-0.2142464833169847,-0.2123846456930848,-0.21408728289774026,-0.21274801274920793,-0.21247550116126793
-0.26703174083322784,-0.21629062768526194,-0.2142829069780213,-0.21575636353853914,-0.21455464764384352,-0.21429369171388643
-0.26844858077449846,-0.21788230552968174,-0.2160901580813868,-0.21767837681052082,-0.21613351331464117,-0.21582631189433266
-0.2678767838716683,-0.2191891709970745,-0.2176403121585747,-0.21906358528888553,-0.21743447572580368,-0.21739756739086427
-0.26550721237543917,-0.22080991518841245,-0.2194139539753553,-0.2207245994452248,-0.21865351481581474,-0.21885901863428214
-0.26672199767908644,-0.221891624412661,-0.22055555535334828,-0.2219338498403447,-0.21986832184986657,-0.21994190792693266
-0.27436723780002864,-0.2230274459828927,-0.22158383913128799,-0.22294006174594266,-0.220781618482908,-0.22091782645923164
-0.27310474402297175,-0.2240680387705802,-0.22285125424692445,-0.22432442653189344,-0.22165285136213772,-0.22171691926423157
-0.274641204541669,-0.22521434952266156,-0.2235510762503603,-0.22530583759041775,-0.2226657970941709,-0.22274095703751484
-0.2721273440753171,-0.22590262751772702,-0.22423132224288678,-0.22586742330733067,-0.22335476908314644,-0.2235620866905596
-0.27570249628184307,-0.2264447017555533,-0.22478564214169544,-0.22632616444175796,-0.22398473692102655,-0.2246390876988605
-0.2730802927766824,-0.2269624765429581,-0.22516107531897248,-0.2267478108380816,-0.22445547438739433,-0.2252350541913859
-0.2735893963388747,-0.2273196777149172,-0.22558367130299725,-0.2271717941240412,-0.22499049919237973,-0.22598139366865055
-0.27530377312072946,-0.22786823083760896,-0.22608859963797978,-0.22754784060468453,-0.22540145583494883,-0.22659908336607856
-0.2704676558202062,-0.22792763224481213,-0.2261903249709592,-0.22765486943956287,-0.22560375611508918,-0.22722435288479756
-0.2706524647841966,-0.22812051337397946,-0.22646814276919427,-0.227723225837838,-0.22573850576055007,-0.22756881975609683
-0.26957352280331165,-0.22827220927014438,-0.22639220102285382,-0.22768733454920945,-0.22579754929686305,-0.22831314905092998
-0.2714537701511943,-0.22859398440779605,-0.22643614267130574,-0.22771492031182422,-0.22593915686982086,-0.22823662824493474
-0.2918819078364277,-0.22843032196940327,-0.22643264089435916,-0.22757380057270457,-0.2258421448363074,-0.22823301996515966
-0.2880455706449048,-0.22826722123341156,-0.22623558510815445,-0.22767804510531625,-0.2260622722869756,-0.2283802137059151
-0.29694125084916717,-0.22796017614728906,-0.22608348990964167,-0.22757404139335238,-0.2261530679184128,-0.2281982670652378
-0.3026772196055474,-0.22818024403801254,-0.2262410401850085,-0.22725110894288122,-0.22632790286565563,-0.22798764868662974
-0.3010845876842774,-0.22784828250920353,-0.2261169329347279,-0.22691434685167103,-0.22600279212510416,-0.2276276254900741
-0.2972757173005212,-0.22736981613450669,-0.22586248491470873,-0.22679587030297316,-0.225694787093471,-0.22724117322294315
-0.2936814839843152,-0.22689663790886577,-0.2254990092349671,-0.22674838342044432,-0.2253947622177542,-0.22691025481090193
-0.2995601684974299,-0.22693268465519556,-0.22532914381430277,-0.2262874343749367,-0.22494219603490023,-0.22691479059571787
-0.2976157101675598,-0.2265073029655228,-0.2250851048039696,-0.2260127728816878,-0.2245371483479962,-0.22632635490931866
-0.2950584713869191,-0.22609129212746665,-0.2246469628285478,-0.2258313274361154,-0.22417774824519332,-0.22578274790044334
-0.2899851337437098,-0.2254395604613253,-0.22401860301626553,-0.2251899548263459,-0.22395422996186753,-0.22517967076834083
-0.28518094874867184,-0.22476536922995036,-0.22342507761653202,-0.22486350896048785,-0.2233244774399116,-0.22500028846479445
-0.28164821952175584,-0.2239429361836077,-0.2228553366730937,-0.2241615458162096,-0.22344591414755505,-0.22445349298893333
-0.2785467639525523,-0.22341524843380914,-0.22380232972713412,-0.22344285409323905,-0.22290255214420968,-0.22388949932012142
-0.2744181078841316,-0.22293336401978459,-0.22309127455410993,-0.2228196269876597,-0.2221821175118594,-0.22329824212629762
-0.26998462733982737,-0.22224126692514556,-0.22237493537629155,-0.22223349862783273,-0.221986279354951,-0.22256552261234513
-0.2744564422379113,-0.22169159928491847,-0.2217089785579731,-0.22172409178243643,-0.22131592894694116,-0.22210483042522478
-0.2753590798196755,-0.22081569370231832,-0.221015017795419,-0.22089006417396984,-0.221058444635833,-0.22126195611167365
-0.2733778225665149,-0.22040542921246456,-0.2206024313604775,-0.22007462180516196,-0.22026698262687405,-0.22058348761198662
-0.2716624458865149,-0.2200678116548521,-0.21964099063100156,-0.21928213412507952,-0.2194627956793503,-0.2198998111085233
-0.2669828297701898,-0.21958043238332003,-0.21889527991400407,-0.21878423966076702,-0.21862839102240306,-0.21928024152235534
-0.2625314556004314,-0.21853361471320173,-0.21798106592488936,-0.21791710740217243,-0.21785546545629256,-0.21837375099604947
-0.26348517720473635,-0.21764715042114752,-0.2174800839973727,-0.21718872819691726,-0.21694775492360274,-0.21742174126313374
-0.25703695680809086,-0.21676747379785388,-0.21691757026958153,-0.21672486716103725,-0.2160580636885295,-0.21661020182855736
-0.2551244297484338,-0.2160953759418858,-0.21600491628812474,-0.2160791743709747,-0.2154557245574708,-0.21567149512943737
-0.250331631587879,-0.2151211150813079,-0.21523957791706255,-0.21530457227592728,-0.2148203149962572,-0.2146157235169116
-0.24532747574100738,-0.2140800031882215,-0.2146307255846757,-0.2142982293897555,-0.2139109559821482,-0.21378032267218872
-0.2453154433809752,-0.21312873383986464,-0.21430644597395176,-0.21350461301037446,-0.212962493859988,-0.21275355277805605
-0.24033618163219916,-0.21215361158996063,-0.21347146278751544,-0.21249974179719142,-0.21225221150204746,-0.2117780452494686
-0.23508181626453364,-0.2111544308514972,-0.21241831341637865,-0.21155327114069317,-0.21136869361461888,-0.21081808346607533
-0.23532236463258172,-0.2102136245860038,-0.21157065395663555,-0.21048677878632996,-0.21090847608074245,-0.20984695910395101
-0.23092487774793682,-0.20940328983596548,-0.21098074333499775,-0.2095658662214609,-0.21006051604382936,-0.20963913168282258
-0.22869843207072563,-0.20837456028909998,-0.2098781105680194,-0.20876158638867104,-0.2093264838924298,-0.20906573967926906
-0.22654481045542008,-0.20747528028463563,-0.20872347122162702,-0.20769734246796273,-0.20849755911580953,-0.2080913353202732
-0.22267455060578067,-0.2065284988062858,-0.20797975022639592,-0.20726774156582983,-0.20747030557983442,-0.2071984167400029
-0.2198068692705117,-0.20583241521820692,-0.2069343594478884,-0.20619048920283542,-0.20666924134220024,-0.2063923425338804
-0.2245865601554792,-0.20497164162029743,-0.2061446477569924,-0.2052387893275946,-0.20558672714096896,-0.2053311704694891
-0.2228164471871505,-0.20412069732426535,-0.20500263316395795,-0.20423299519310803,-0.20446396887335727,-0.20432940469447064
-0.21807524810511314,-0.2033395990328387,-0.20419554395675787,-0.203328698192838,-0.2033739134704419,-0.20323296035484753
-0.21436350585915268,-0.20248962018291627,-0.2031558002382282,-0.20224555668298141,-0.2024863234552109,-0.20234729901426252
-0.20914820836675307,-0.20149369887507593,-0.20207315661380798,-0.20126361578641572,-0.20190623728872345,-0.20139941032670503
-0.20594131655898595,-0.20042551043959939,-0.20122319734176192,-0.20073099743967698,-0.2016226120253295,-0.2008248405075158
-0.2046013462322307,-0.19943202208833274,-0.20022280975883466,-0.1997720830701718,-0.20046043118878404,-0.1997913279387972
-0.2238923077386736,-0.19901073395124824,-0.1991539880146058,-0.1986772839859932,-0.20018970332728236,-0.19897405053082942
-0.21941086014159994,-0.1982515244569697,-0.19823342691215573,-0.19765606110970244,-0.19912176173643378,-0.1978946039234505
-0.22234049510109113,-0.19761012725505667,-0.19730456467664403,-0.19664463813012487,-0.19807298334348392,-0.19711195728087066
-0.2266092114730763,-0.1965198089994717,-0.1962172511011375,-0.19574470026066954,-0.1971306242358217,-0.19651221633680804
-0.2289045648531637,-0.19593331486929189,-0.19512007263117426,-0.19493961428318193,-0.19598504548917947,-0.19590581435062154
-0.2222609146748856,-0.19495147143220237,-0.194124297491121,-0.19392666988611362,-0.19496306361640287,-0.1949143640080733
-0.22161711495621655,-0.19409089148437458,-0.19313670736070598,-0.19311078234300794,-0.19449130156485353,-0.19391342341674092
-0.22470407690226757,-0.19348661767196682,-0.19200637751269997,-0.1923066430877344,-0.19335957792765754,-0.19274978071140406
-0.22011810491517494,-0.1924458204124955,-0.1909369042242639,-0.1915772006786354,-0.19221552038722237,-0.19158983048264683
-0.21880195331840252,-0.19184102566717126,-0.18987684972386598,-0.19069979248148933,-0.19193734364313422,-0.19057152476421138
-0.21552109293997776,-0.19077982289706952,-0.18882652309004944,-0.19000482547954664,-0.1923853817018505,-0.18994442802918232
-0.21109350647391142,-0.19006072366857624,-0.18860173047866147,-0.18943366153938246,-0.19135093386854563,-0.18878516272756166
-0.20811278742414419,-0.18984794437923916,-0.18780108052608327,-0.18845047912534307,-0.190466851353955,-0.18765530079420448
-0.21213309916167272,-0.1888783550395084,-0.18716124401237585,-0.18737209023256576,-0.18976350819672927,-0.18659463252269506
-0.21263442695306684,-0.1880455507042367,-0.18606105626556615,-0.18647501469194488,-0.18942919410728654,-0.1856200906097659
-0.2172888529497004,-0.18720048229516137,-0.18507976236048118,-0.1855850251684462,-0.18870888412997394,-0.18477140997521427
-0.2203053980140443,-0.18641788477675128,-0.18407430327883445,-0.1846327378799149,-0.18756676336001987,-0.1842511460588983
-0.21599732541160788,-0.18612352095248333,-0.1832596783187742,-0.18369511009381662,-0.18661618995453216,-0.1835901393351637
-0.21137589868460438,-0.1855589903162258,-0.1822522461309617,-0.1830213947182962,-0.18555889140270743,-0.1825531805747312
-0.2107880290131246,-0.1845716383680527,-0.18131404895814626,-0.1823302199494778,-0.18467152230760395,-0.18206107480219774
-0.2067797637035563,-0.1835106873580811,-0.18067296179997513,-0.18178280126509386,-0.18404003571745237,-0.1813951366153384
-0.21588523476992832,-0.18265235230670726,-0.17993109446119665,-0.18080107758791342,-0.1832535145632214,-0.18060331660485165
-0.2141122194029001,-0.18206323551593942,-0.17932573769968527,-0.17990328983551748,-0.18251456640076957,-0.17967489277191082
-0.21210844248873237,-0.1810860029302671,-0.1782709304320693,-0.17907705756642345,-0.18186993998497883,-0.1788691522989987
-0.20734283126327246,-0.18019448855100975,-0.1773370939663659,-0.17818849267428333,-0.18085157360834747,-0.1783494745212867
-0.20573429095529494,-0.17926559453775032,-0.17662627980654033,-0.1772196679068053,-0.1797818645681323,-0.17793577359823773
-0.20488118936391014,-0.17893797425949878,-0.17597674815135778,-0.17633736981376782,-0.17888221648988417,-0.1769052337592777
-0.1986245735713821,-0.17804297739411482,-0.1752209572570865,-0.17592754966940802,-0.17831286500964105,-0.1759038132086749
-0.2002224885704225,-0.17753139171785254,-0.17424991332571005,-0.17504781036862732,-0.1774478141311674,-0.17493074927797062
-0.1966275872285232,-0.17673906393703603,-0.17367251234639497,-0.17467975224420051,-0.17682931538018687,-0.1740180605430838
-0.19482663457818664,-0.17579019433623183,-0.17279289836541176,-0.17402589969565907,-0.17591816562372148,-0.17347712263814785
-0.1938140910574865,-0.17490816174297044,-0.17193839674952788,-0.17311082343898346,-0.17506942720679397,-0.17248093785358465
-0.19847991670507256,-0.17432545745034955,-0.1710532719438142,-0.17219978145257947,-0.17419284934752952,-0.1716111985170336
-0.1971078176630223,-0.17340999914348257,-0.17022106691197297,-0.1714276625478969,-0.17407294339017024,-0.1706684534279161
-0.19117631759297488,-0.1726560193933781,-0.16944219658818302,-0.17051579510515386,-0.17334490377452835,-0.16982277628995474
-0.19061417768837557,-0.17177682437354147,-0.168767038508485,-0.16978499913190315,-0.1725830798711992,-0.1689069378112543
-0.18654980167135293,-0.17094426577270233,-0.16882842670008508,-0.16894179205771856,-0.17179344646094352,-0.1681425351813459
-0.19008888194533255,-0.17018191273771582,-0.1678988080513147,-0.1681293396122263,-0.1713764316869328,-0.1672837776169395
-0.18471250699255456,-0.1697261802442667,-0.1681418129701602,-0.16735412438173655,-0.17058142644266516,-0.16716662847856675
-0.18609636451166367,-0.16883691622133098,-0.16726103064019796,-0.16681021720216832,-0.17008074556856229,-0.1665224573023551
-0.18302328104832488,-0.16803277691328597,-0.16651790808894634,-0.1660250568700646,-0.16997298275482298,-0.16581062703904303
-0.18476517165473216,-0.16723746664663405,-0.16671959963394847,-0.16528035074374486,-0.16920586644309923,-0.1656911251099462
-0.1815383519153988,-0.16638020600429113,-0.16604881857347883,-0.16492793113974316,-0.16873235741518516,-0.1649410702165473
-0.17708429569659948,-0.16546121311251574,-0.16526265028645168,-0.16404108924398664,-0.16789007786097276,-0.16432897576672112
-0.17426142273198889,-0.16464391716791674,-0.16428617063808548,-0.16375593725217097,-0.16712163444070838,-0.16367245995001564
-0.17709711414437518,-0.16372684793425485,-0.16353108084594603,-0.16291160817566808,-0.16633018315318224,-0.16282124986067997
-0.1743761234155869,-0.16302902365500038,-0.1627982130261918,-0.16275976630072106,-0.16554619117674782,-0.16246903437636576
-0.17048499998266797,-0.16244308915531316,-0.16205090478381037,-0.16216211821681167,-0.1647529738006025,-0.1618372244550774
-0.16679618630714912,-0.1616381991726624,-0.16121257999056782,-0.16141637755783736,-0.1641103012077296,-0.16131411497037
-0.1636928393741538,-0.1608720979033084,-0.16046927219334187,-0.16057143158150253,-0.16333165888571383,-0.160512444986221
-0.1605455529780473,-0.1601634133756391,-0.1605689032066115,-0.15994268892707797,-0.1630326524699476,-0.15971574545111383
-0.16065123053115019,-0.15953270490394203,-0.15969571886809722,-0.15923769755477352,-0.16232241050385096,-0.159063138904366
-0.16833969790521874,-0.1587240116112406,-0.1589105353778931,-0.15849623531485513,-0.1615761958231397,-0.1584660804700616
