x1,x2,x3,x4,x5,x6,x7
477280.4168,477280.4168,477280.4168,543005.7678,543005.7678,543005.2517,543005.2517
477280.4168,477280.4168,477280.4168,543009.8148,543009.8148,543009.8148,543009.8148
477280.4168,477280.4168,477280.4168,543013.8618,543013.8618,543013.8618,543013.8618
477274.7016,477280.4168,477280.4168,543018.2163,543018.2163,543017.9089,543017.9089
477280.4168,477280.4168,477280.4168,543021.9559,543021.9559,543022.2634,543022.2634
477280.4168,477280.4168,477280.4168,543026.0029,543026.0029,543026.0029,543026.0029
477280.4168,477280.4168,477280.4168,543030.05,543030.05,543030.05,543030.05
477280.4168,477280.4168,477280.4168,543041.5332,543041.5332,543035.9996,543035.9996
477280.4168,477280.4168,477280.4168,543042.0747,543042.0747,543042.3822,543042.3822
477280.4168,477280.4168,477280.4168,543048.1589,543048.1589,543048.1589,543048.1589
477280.4168,477649.341,477649.341,543054.243,543054.243,543054.243,543054.243
477280.4168,477274.7016,477274.7016,543060.3272,543060.3272,543060.3272,543060.3272
477286.2179,477280.4168,477280.4168,543066.4114,543066.4114,543066.7188,543066.7188
477280.4168,477280.4168,477280.4168,543067.331,543067.331,543072.4955,543072.4955
